Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,256.870318,[578  45] ; [31 72],[522.59917355 100.40082645] ; [86.40082645 16.59917355],1
p2,1,0.0,46.85649,[544  77] ; [64 41],[520.0661157 100.9338843] ; [87.9338843 17.0661157],1
p11,1,0.0,40.866721,[529  96] ; [61 44],[505.1369863 119.8630137] ; [84.8630137 20.1369863],1
p3,1,1.3e-05,19.006368,[342 282] ; [33 71],[321.42857143 302.57142857] ; [53.57142857 50.42857143],1
b1,1,1.5e-05,18.714658,[208 417] ; [58 47],[227.73972603 397.26027397] ; [38.26027397 66.73972603],1
p8,1,1.6e-05,18.582355,[351 265] ; [36 69],[330.6407767 285.3592233] ; [56.3592233 48.6407767],1
s6,1,7.2e-05,15.770207,[439 171] ; [54 49],[421.78120617 188.21879383] ; [71.21879383 31.78120617],1
s8,1,8.2e-05,15.506173,[305 317] ; [29 74],[286.54896552 335.45103448] ; [47.45103448 55.54896552],1
r4,1,0.000122,14.766724,[596  29] ; [90 15],[587.32876712  37.67123288] ; [98.67123288  6.32876712],1
v1,1,0.000135,14.565327,[353 254] ; [40 65],[335.04353933 271.95646067] ; [57.95646067 47.04353933],1
p4,1,0.000162,14.226487,[397 226] ; [46 58],[379.62723521 243.37276479] ; [63.37276479 40.62723521],1
a5,1,0.000224,13.618586,[481 144] ; [63 42],[465.75342466 159.24657534] ; [78.24657534 26.75342466],1
s2,1,0.00045,12.312471,[341 279] ; [37 65],[324.59833795 295.40166205] ; [53.40166205 48.59833795],1
a3,1,0.000577,11.847939,[462 159] ; [61 44],[447.35950413 173.64049587] ; [75.64049587 29.35950413],1
p6,1,0.000992,10.843249,[256 363] ; [25 78],[240.91274238 378.08725762] ; [40.08725762 62.91274238],1
p7,1,0.00105,10.736399,[411 201] ; [52 51],[396.3020979 215.6979021] ; [66.6979021 36.3020979],0
s7,1,0.001721,9.82578,[323 276] ; [37 63],[308.49785408 290.50214592] ; [51.50214592 48.49785408],0
s3,1,0.002475,9.158977,[365 252] ; [45 59],[350.85991678 266.14008322] ; [59.14008322 44.85991678],0
p12,1,0.003291,8.638846,[ 59 563] ; [  1 104],[ 51.33425034 570.66574966] ; [ 8.66574966 96.33425034],0
n5,1,0.003312,8.627093,[511 113] ; [73 32],[499.88477366 124.11522634] ; [84.11522634 20.88477366],0
r3,1,0.004004,8.281947,[605  18] ; [95  9],[599.86244842  23.13755158] ; [100.13755158   3.86244842],0
s5,1,0.004688,7.99595,[228 371] ; [24 78],[215.33238231 383.66761769] ; [36.66761769 65.33238231],0
v2,1,0.00543,7.730317,[356 244] ; [46 57],[343.10099573 256.89900427] ; [58.89900427 44.10099573],0
v4,1,0.007906,7.054633,[610  13] ; [98  7],[605.88461538  17.11538462] ; [102.11538462   2.88461538],0
p5,1,0.014784,5.942019,[ 81 538] ; [  5 100],[ 73.52762431 545.47237569] ; [12.47237569 92.52762431],0
n4,1,0.015903,5.813515,[514 110] ; [76 29],[505.02057613 118.97942387] ; [84.97942387 20.02057613],0
d5,1,0.020612,5.35931,[516 107] ; [77 28],[507.47115385 115.52884615] ; [85.52884615 19.47115385],0
d1,1,0.024467,5.06124,[388 237] ; [53 52],[377.56849315 247.43150685] ; [63.43150685 41.56849315],0
