Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,65.770263,[108  16] ; [ 8 32],[87.70731707 36.29268293] ; [28.29268293 11.70731707],1
p11,1,5e-06,20.949766,[95 29] ; [15 25],[83.17073171 40.82926829] ; [26.82926829 13.17073171],1
p2,1,3.1e-05,17.382364,[102  21] ; [20 20],[92.06134969 30.93865031] ; [29.93865031 10.06134969],1
r4,1,0.001785,9.758724,[117   7] ; [31  9],[111.90243902  12.09756098] ; [36.09756098  3.90243902],0
s8,1,0.003376,8.592046,[47 77] ; [ 5 34],[39.55828221 84.44171779] ; [12.44171779 26.55828221],0
s6,1,0.00523,7.798288,[82 42] ; [16 23],[74.55214724 49.44785276] ; [23.44785276 15.55214724],0
v4,1,0.006082,7.525713,[119   4] ; [33  6],[115.40740741   7.59259259] ; [36.59259259  2.40740741],0
d3,1,0.007191,7.224632,[93 31] ; [21 19],[86.19512195 37.80487805] ; [27.80487805 12.19512195],0
a7,1,0.008196,6.990052,[100  24] ; [24 16],[93.75609756 30.24390244] ; [30.24390244  9.75609756],0
v1,1,0.01312,6.152872,[60 60] ; [11 29],[53.25 66.75] ; [17.75 22.25],0
a5,1,0.013132,6.151174,[83 41] ; [18 22],[76.36585366 47.63414634] ; [24.63414634 15.36585366],0
s1,1,0.014018,6.035879,[  2 122] ; [ 4 36],[  4.53658537 119.46341463] ; [ 1.46341463 38.53658537],0
r3,1,0.015899,5.814011,[119   5] ; [34  6],[115.68292683   8.31707317] ; [37.31707317  2.68292683],0
n6,1,0.018038,5.59244,[86 36] ; [20 20],[79.82716049 42.17283951] ; [26.17283951 13.82716049],0
b1,1,0.018214,5.575477,[34 90] ; [19 21],[40.07317073 83.92682927] ; [12.92682927 27.07317073],0
a6,1,0.024101,5.087349,[89 35] ; [21 19],[83.17073171 40.82926829] ; [26.82926829 13.17073171],0
s2,1,0.024433,5.063634,[57 67] ; [10 29],[50.96932515 73.03067485] ; [16.03067485 22.96932515],0
s7,1,0.025366,4.998699,[44 74] ; [ 7 32],[38.33121019 79.66878981] ; [12.66878981 26.33121019],0
p7,1,0.02948,4.739353,[74 45] ; [17 23],[68.10691824 50.89308176] ; [22.89308176 17.10691824],0
p8,1,0.053377,3.732075,[62 62] ; [13 27],[56.70731707 67.29268293] ; [18.29268293 21.70731707],0
v2,1,0.059614,3.548086,[68 46] ; [16 22],[63. 51.] ; [21. 17.],0
v3,1,0.063831,3.434925,[39 77] ; [ 7 32],[34.42580645 81.57419355] ; [11.57419355 27.42580645],0
s3,1,0.068455,3.319672,[66 56] ; [15 25],[61. 61.] ; [20. 20.],0
b4,1,0.071177,3.255665,[70 54] ; [29 11],[74.85365854 49.14634146] ; [24.14634146 15.85365854],0
s5,1,0.081679,3.031163,[39 81] ; [ 7 32],[34.71698113 85.28301887] ; [11.28301887 27.71698113],0
p3,1,0.089075,2.891013,[46 78] ; [ 9 31],[41.58536585 82.41463415] ; [13.41463415 26.58536585],0
d2,1,0.117662,2.448173,[39 85] ; [18 22],[43.09756098 80.90243902] ; [13.90243902 26.09756098],0
p4,1,0.151949,2.052572,[59 64] ; [14 26],[55.08588957 67.91411043] ; [17.91411043 22.08588957],0
n5,1,0.168347,1.8976,[45 77] ; [10 30],[41.41975309 80.58024691] ; [13.58024691 26.41975309],0
d5,1,0.250889,1.318348,[95 29] ; [27 13],[92.24390244 31.75609756] ; [29.75609756 10.24390244],0
s4,1,0.303766,1.057586,[28 96] ; [ 6 34],[25.70731707 98.29268293] ; [ 8.29268293 31.70731707],0
r2,1,0.345329,0.890549,[116   7] ; [36  4],[114.6993865   8.3006135] ; [37.3006135  2.6993865],0
b3,1,0.358191,0.844226,[17 38] ; [ 5 19],[15.3164557 39.6835443] ; [ 6.6835443 17.3164557],0
b2,1,0.358191,0.844226,[17 38] ; [ 5 19],[15.3164557 39.6835443] ; [ 6.6835443 17.3164557],0
n2,1,0.379096,0.77363,[29 10] ; [12  7],[27.56896552 11.43103448] ; [13.43103448  5.56896552],0
n3,1,0.379096,0.77363,[29 10] ; [12  7],[27.56896552 11.43103448] ; [13.43103448  5.56896552],0
p1,1,0.412124,0.672665,[  7 115] ; [ 1 39],[  6.02469136 115.97530864] ; [ 1.97530864 38.02469136],0
n1,1,0.417452,0.657477,[ 8 31] ; [ 6 14],[ 9.25423729 29.74576271] ; [ 4.74576271 15.25423729],0
a2,1,0.436957,0.604261,[ 22 102] ; [ 5 35],[ 20.41463415 103.58536585] ; [ 6.58536585 33.41463415],0
u2,1,0.499418,0.456174,[27 14] ; [9 7],[25.89473684 15.10526316] ; [10.10526316  5.89473684],0
p6,1,0.509727,0.434627,[28 94] ; [ 7 32],[26.52173913 95.47826087] ; [ 8.47826087 30.52173913],0
d4,1,0.526699,0.400757,[104  20] ; [31  8],[102.6993865  21.3006135] ; [32.3006135  6.6993865],0
a3,1,0.541923,0.371988,[81 43] ; [24 16],[79.3902439 44.6097561] ; [25.6097561 14.3902439],0
b5,1,0.669997,0.181606,[76 48] ; [23 17],[74.85365854 49.14634146] ; [24.14634146 15.85365854],0
d1,1,0.716102,0.132258,[63 61] ; [19 21],[62. 62.] ; [20. 20.],0
a4,1,0.730396,0.118748,[44 80] ; [13 27],[43.09756098 80.90243902] ; [13.90243902 26.09756098],0
u1,1,0.820415,0.051534,[ 14 110] ; [ 4 36],[ 13.6097561 110.3902439] ; [ 4.3902439 35.6097561],0
u3,1,0.834889,0.043445,[27 14] ; [11  5],[27.33333333 13.66666667] ; [10.66666667  5.33333333],0
a8,1,0.945733,0.004633,[  6 108] ; [ 2 34],[  6.08 107.92] ; [ 1.92 34.08],0
