Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,39.811004,[22  1] ; [15 55],[ 9.15053763 13.84946237] ; [27.84946237 42.15053763],1
s2,1,0.000129,14.655264,[16  7] ; [19 55],[ 8.29896907 14.70103093] ; [26.70103093 47.29896907],1
s6,1,0.002412,9.206083,[16  7] ; [25 49],[ 9.72164948 13.27835052] ; [31.27835052 42.72164948],0
s3,1,0.0025,9.140628,[16  6] ; [26 46],[ 9.82978723 12.17021277] ; [32.17021277 39.82978723],0
p9,1,0.00396,8.302016,[20  3] ; [39 34],[14.13541667  8.86458333] ; [44.86458333 28.13541667],0
p2,1,0.004124,8.228571,[20  4] ; [36 36],[14. 10.] ; [42. 30.],0
p6,1,0.004551,8.049654,[ 9 14] ; [ 9 63],[ 4.35789474 18.64210526] ; [13.64210526 58.35789474],0
p8,1,0.008444,6.936825,[12 12] ; [16 57],[ 6.92783505 17.07216495] ; [21.07216495 51.92783505],0
n5,1,0.014679,5.954565,[18  5] ; [36 37],[12.9375 10.0625] ; [41.0625 31.9375],0
p4,1,0.018918,5.509096,[14 10] ; [23 50],[ 9.15463918 14.84536082] ; [27.84536082 45.15463918],0
p11,1,0.02077,5.346,[18  6] ; [36 39],[13.09090909 10.90909091] ; [40.90909091 34.09090909],0
p10,1,0.027305,4.871427,[17  5] ; [37 36],[12.50526316  9.49473684] ; [41.49473684 31.50526316],0
u3,1,0.0434,4.079757,[5 2] ; [ 7 17],[2.70967742 4.29032258] ; [ 9.29032258 14.70967742],0
v4,1,0.044764,4.027505,[19  4] ; [43 29],[15.01052632  7.98947368] ; [46.98947368 25.01052632],0
s5,1,0.089325,2.886492,[ 7 14] ; [12 61],[ 4.24468085 16.75531915] ; [14.75531915 58.24468085],0
n2,1,0.10766,2.588235,[9 2] ; [18 15],[6.75 4.25] ; [20.25 12.75],0
v3,1,0.161291,1.96208,[ 9 15] ; [17 57],[ 6.36734694 17.63265306] ; [19.63265306 54.36734694],0
n4,1,0.161667,1.95856,[17  7] ; [41 34],[14.06060606  9.93939394] ; [43.93939394 31.06060606],0
n6,1,0.179975,1.797828,[17  6] ; [42 30],[14.28421053  8.71578947] ; [44.71578947 27.28421053],0
r3,1,0.192509,1.698311,[18  6] ; [44 29],[15.34020619  8.65979381] ; [46.65979381 26.34020619],0
p7,1,0.197002,1.664458,[11 11] ; [25 47],[ 8.42553191 13.57446809] ; [27.57446809 44.42553191],0
v2,1,0.255943,1.290567,[13 11] ; [29 42],[10.61052632 13.38947368] ; [31.38947368 39.61052632],0
v1,1,0.262566,1.255176,[11 11] ; [26 45],[ 8.75268817 13.24731183] ; [28.24731183 42.75268817],0
a1,1,0.267679,1.228601,[ 1 23] ; [ 9 66],[ 2.42424242 21.57575758] ; [ 7.57575758 67.42424242],0
b1,1,0.319742,0.99,[10 14] ; [40 35],[12.12121212 11.87878788] ; [37.87878788 37.12121212],0
p5,1,0.331074,0.944694,[ 4 20] ; [ 7 67],[ 2.69387755 21.30612245] ; [ 8.30612245 65.69387755],0
u1,1,0.334993,0.9295,[ 1 23] ; [ 8 67],[ 2.18181818 21.81818182] ; [ 6.81818182 68.18181818],0
p3,1,0.385147,0.754209,[10 14] ; [23 49],[ 8.25 15.75] ; [24.75 47.25],0
s1,1,0.523697,0.406607,[ 1 23] ; [ 6 69],[ 1.6969697 22.3030303] ; [ 5.3030303 69.6969697],0
p1,1,0.523697,0.406607,[ 1 23] ; [ 6 69],[ 1.6969697 22.3030303] ; [ 5.3030303 69.6969697],0
a5,1,0.558865,0.341674,[16  8] ; [45 30],[14.78787879  9.21212121] ; [46.21212121 28.78787879],0
n1,1,0.567109,0.327543,[4 7] ; [ 9 24],[3.25 7.75] ; [ 9.75 23.25],0
s4,1,0.603702,0.269449,[ 5 19] ; [12 62],[ 4.16326531 19.83673469] ; [12.83673469 61.16326531],0
a7,1,0.613581,0.254994,[13 11] ; [45 30],[14.06060606  9.93939394] ; [43.93939394 31.06060606],0
n3,1,0.660631,0.192758,[6 5] ; [15 17],[5.37209302 5.62790698] ; [15.62790698 16.37209302],0
r2,1,0.711421,0.136862,[13  8] ; [39 29],[12.26966292  8.73033708] ; [39.73033708 28.26966292],0
p12,1,0.726117,0.122707,[ 1 23] ; [ 2 71],[ 0.74226804 23.25773196] ; [ 2.25773196 70.74226804],0
a3,1,0.764977,0.089372,[17  7] ; [50 24],[16.40816327  7.59183673] ; [50.59183673 23.40816327],0
r1,1,0.765424,0.089022,[ 7 16] ; [25 49],[ 7.58762887 15.41237113] ; [24.41237113 49.58762887],0
a4,1,0.791441,0.069928,[ 9 15] ; [30 44],[ 9.55102041 14.44897959] ; [29.44897959 44.55102041],0
d2,1,0.810409,0.057551,[11 13] ; [36 38],[11.51020408 12.48979592] ; [35.48979592 38.51020408],0
a2,1,0.811999,0.056571,[ 4 20] ; [11 64],[ 3.63636364 20.36363636] ; [11.36363636 63.63636364],0
a8,1,0.832933,0.044496,[ 1 21] ; [ 4 66],[ 1.19565217 20.80434783] ; [ 3.80434783 66.19565217],0
d1,1,0.840913,0.040291,[14 10] ; [42 33],[13.57575758 10.42424242] ; [42.42424242 32.57575758],0
b2,1,0.892476,0.018271,[ 6 14] ; [13 28],[ 6.2295082 13.7704918] ; [12.7704918 28.2295082],0
b3,1,0.892476,0.018271,[ 6 14] ; [13 28],[ 6.2295082 13.7704918] ; [12.7704918 28.2295082],0
d3,1,0.894224,0.017679,[15  9] ; [48 27],[15.27272727  8.72727273] ; [47.72727273 27.27272727],0
b5,1,0.931247,0.007444,[14 10] ; [43 32],[13.81818182 10.18181818] ; [43.18181818 31.81818182],0
b4,1,0.931247,0.007444,[14 10] ; [43 32],[13.81818182 10.18181818] ; [43.18181818 31.81818182],0
a6,1,0.943203,0.005076,[13 11] ; [40 35],[12.84848485 11.15151515] ; [40.15151515 34.84848485],0
d5,1,0.958408,0.00272,[19  5] ; [59 16],[18.90909091  5.09090909] ; [59.09090909 15.90909091],0
u2,1,0.976835,0.000843,[3 4] ; [10 13],[3.03333333 3.96666667] ; [ 9.96666667 13.03333333],0
