Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,50.544326,[ 8 60] ; [43 15],[27.52380952 40.47619048] ; [23.47619048 34.52380952],1
s7,1,1e-06,24.218178,[14 52] ; [36 19],[27.27272727 38.72727273] ; [22.72727273 32.27272727],1
s6,1,6e-06,20.395422,[23 45] ; [43 15],[35.61904762 32.38095238] ; [30.38095238 27.61904762],1
s8,1,0.001182,10.518411,[18 51] ; [31 26],[26.83333333 42.16666667] ; [22.16666667 34.83333333],0
v1,1,0.002571,9.089522,[17 50] ; [29 27],[25.05691057 41.94308943] ; [20.94308943 35.05691057],0
b5,1,0.007407,7.17151,[30 39] ; [39 19],[37.48818898 31.51181102] ; [31.51181102 26.48818898],0
p7,1,0.008188,6.991991,[16 52] ; [25 29],[22.85245902 45.14754098] ; [18.14754098 35.85245902],0
r1,1,0.008531,6.918494,[41 28] ; [47 11],[47.81102362 21.18897638] ; [40.18897638 17.81102362],0
p10,1,0.01674,5.723389,[32 35] ; [40 18],[38.592 28.408] ; [33.408 24.592],0
p9,1,0.01713,5.682964,[34 32] ; [42 16],[40.4516129 25.5483871] ; [35.5483871 22.4516129],0
r3,1,0.031411,4.630344,[50 19] ; [51  7],[54.87401575 14.12598425] ; [46.12598425 11.87401575],0
d3,1,0.03657,4.370322,[34 35] ; [38 18],[39.744 29.256] ; [32.256 23.744],0
r4,1,0.046901,3.948919,[45 24] ; [47 11],[49.98425197 19.01574803] ; [42.01574803 15.98425197],0
b3,1,0.047168,3.939394,[24 25] ; [12 30],[19.38461538 29.61538462] ; [16.61538462 25.38461538],0
b2,1,0.047168,3.939394,[24 25] ; [12 30],[19.38461538 29.61538462] ; [16.61538462 25.38461538],0
a1,1,0.053563,3.726273,[11 58] ; [ 3 55],[ 7.60629921 61.39370079] ; [ 6.39370079 51.60629921],0
u2,1,0.058013,3.593298,[ 9 17] ; [12  7],[12.13333333 13.86666667] ; [ 8.86666667 10.13333333],0
v4,1,0.059352,3.555398,[50 19] ; [50  8],[54.33070866 14.66929134] ; [45.66929134 12.33070866],0
u3,1,0.06424,3.42439,[11 16] ; [13  6],[14.08695652 12.91304348] ; [9.91304348 9.08695652],0
d1,1,0.07153,3.247547,[33 36] ; [37 21],[38.03149606 30.96850394] ; [31.96850394 26.03149606],0
p3,1,0.08286,3.007882,[20 49] ; [25 32],[24.64285714 44.35714286] ; [20.35714286 36.64285714],0
s1,1,0.10108,2.688424,[ 3 66] ; [ 7 50],[ 5.47619048 63.52380952] ; [ 4.52380952 52.47619048],0
d4,1,0.122589,2.38393,[47 22] ; [45 11],[50.784 18.216] ; [41.216 14.784],0
a7,1,0.137423,2.206578,[40 29] ; [41 17],[44.00787402 24.99212598] ; [36.99212598 21.00787402],0
n1,1,0.141533,2.161217,[11 14] ; [12  6],[13.37209302 11.62790698] ; [9.62790698 8.37209302],0
v2,1,0.154318,2.029042,[28 38] ; [31 25],[31.91803279 34.08196721] ; [27.08196721 28.91803279],0
p5,1,0.177523,1.818236,[ 4 65] ; [ 7 48],[ 6.12096774 62.87903226] ; [ 4.87903226 50.12096774],0
n5,1,0.177921,1.814905,[53 16] ; [50  8],[55.96062992 13.03937008] ; [47.03937008 10.96062992],0
b1,1,0.179009,1.805831,[31 38] ; [33 25],[34.77165354 34.22834646] ; [29.22834646 28.77165354],0
n2,1,0.188722,1.727564,[17  9] ; [15  3],[18.90909091  7.09090909] ; [13.09090909  4.90909091],0
d5,1,0.19695,1.664846,[43 26] ; [41 15],[46.368 22.632] ; [37.632 18.368],0
s4,1,0.279143,1.171259,[ 9 58] ; [12 46],[11.256 55.744] ; [ 9.744 48.256],0
p11,1,0.301342,1.068245,[39 30] ; [38 20],[41.83464567 27.16535433] ; [35.16535433 22.83464567],0
a8,1,0.312907,1.018365,[ 7 56] ; [10 47],[ 8.925 54.075] ; [ 8.075 48.925],0
s5,1,0.325164,0.968062,[13 53] ; [15 40],[15.27272727 50.72727273] ; [12.72727273 42.27272727],0
p12,1,0.343203,0.898429,[ 4 65] ; [ 6 52],[ 5.43307087 63.56692913] ; [ 4.56692913 53.43307087],0
p6,1,0.348547,0.878739,[11 57] ; [13 44],[13.056 54.944] ; [10.944 46.056],0
u1,1,0.353418,0.861148,[11 58] ; [13 45],[13.03937008 55.96062992] ; [10.96062992 47.03937008],0
b4,1,0.44636,0.579877,[37 32] ; [35 23],[39.11811024 29.88188976] ; [32.88188976 25.11811024],0
u4,1,0.511595,0.430804,[ 2 67] ; [ 3 55],[ 2.71653543 66.28346457] ; [ 2.28346457 55.71653543],0
a3,1,0.522516,0.408925,[42 26] ; [39 19],[43.71428571 24.28571429] ; [37.28571429 20.71428571],0
r2,1,0.546852,0.362987,[58  8] ; [52  5],[59.02439024  6.97560976] ; [50.97560976  6.02439024],0
p4,1,0.564442,0.332072,[18 49] ; [18 39],[19.4516129 47.5483871] ; [16.5483871 40.4516129],0
p8,1,0.699594,0.148894,[15 54] ; [11 47],[14.12598425 54.87401575] ; [11.87401575 46.12598425],0
a2,1,0.699594,0.148894,[15 54] ; [11 47],[14.12598425 54.87401575] ; [11.87401575 46.12598425],0
n6,1,0.741293,0.108993,[53 15] ; [43 14],[52.224 15.776] ; [43.776 13.224],0
a6,1,0.752947,0.099072,[45 24] ; [35 21],[44.16 24.84] ; [35.84 20.16],0
p1,1,0.76989,0.085567,[ 7 62] ; [ 5 53],[ 6.51968504 62.48031496] ; [ 5.48031496 52.51968504],0
a5,1,0.782548,0.076176,[46 23] ; [40 18],[46.72440945 22.27559055] ; [39.27559055 18.72440945],0
v3,1,0.796125,0.066753,[25 42] ; [21 32],[25.68333333 41.31666667] ; [20.31666667 32.68333333],0
n3,1,0.885131,0.020871,[15  9] ; [11  6],[15.2195122  8.7804878] ; [10.7804878  6.2195122],0
d2,1,0.908562,0.013191,[34 33] ; [29 27],[34.31707317 32.68292683] ; [28.68292683 27.31707317],0
a4,1,0.931862,0.007311,[31 37] ; [26 32],[30.76190476 37.23809524] ; [26.23809524 31.76190476],0
