Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,100.548556,[206  39] ; [145 193],[147.50428816  97.49571184] ; [203.49571184 134.50428816],1
v1,1,0.0,40.477587,[174  72] ; [148 187],[136.3373494 109.6626506] ; [185.6626506 149.3373494],1
s7,1,0.0,26.153672,[137  97] ; [123 211],[107.11267606 126.88732394] ; [152.88732394 181.11267606],1
s8,1,2e-06,22.564668,[134 112] ; [121 226],[105.7841484 140.2158516] ; [149.2158516 197.7841484],1
n5,1,5e-06,20.749227,[213  36] ; [238 105],[189.69425676  59.30574324] ; [261.30574324  81.69425676],1
n4,1,1.6e-05,18.565345,[221  29] ; [258  90],[200.25083612  49.74916388] ; [278.74916388  69.25083612],1
d1,1,6.5e-05,15.951793,[166  84] ; [174 174],[142.14046823 107.85953177] ; [197.85953177 150.14046823],1
p12,1,0.000196,13.868671,[ 36 211] ; [ 19 324],[ 23.02542373 223.97457627] ; [ 31.97457627 311.02542373],1
p3,1,0.000204,13.792109,[146 101] ; [151 195],[123.70826307 123.29173693] ; [173.29173693 172.70826307],1
p5,1,0.001635,9.919404,[ 45 204] ; [ 32 313],[ 32.27777778 216.72222222] ; [ 44.72222222 300.27777778],0
s2,1,0.00181,9.733239,[129 118] ; [136 210],[110.37942664 136.62057336] ; [154.62057336 191.37942664],0
n6,1,0.003779,8.387006,[225  23] ; [284  61],[212.87015177  35.12984823] ; [296.12984823  48.87015177],0
p1,1,0.004322,8.143228,[ 32 217] ; [ 21 324],[ 22.21717172 226.78282828] ; [ 30.78282828 314.21717172],0
d2,1,0.006214,7.487285,[132 115] ; [146 201],[115.5993266 131.4006734] ; [162.4006734 184.5993266],0
p7,1,0.007947,7.045342,[175  68] ; [207 130],[160.04482759  82.95517241] ; [221.95517241 115.04482759],0
s3,1,0.010759,6.504667,[140 101] ; [164 182],[124.8109029 116.1890971] ; [179.1890971 166.8109029],0
p10,1,0.011415,6.399464,[219  27] ; [280  64],[208.05762712  37.94237288] ; [290.94237288  53.05762712],0
a3,1,0.011456,6.393114,[191  57] ; [235 113],[177.26174497  70.73825503] ; [248.73825503  99.26174497],0
u4,1,0.013532,6.098132,[  8 242] ; [  2 346],[  4.18060201 245.81939799] ; [  5.81939799 342.18060201],0
r1,1,0.016275,5.772872,[210  39] ; [264  82],[198.36302521  50.63697479] ; [275.63697479  70.36302521],0
p8,1,0.019499,5.456197,[150  94] ; [177 165],[136.15699659 107.84300341] ; [190.84300341 151.15699659],0
p4,1,0.023757,5.112299,[161  86] ; [193 152],[147.69932432  99.30067568] ; [206.30067568 138.69932432],0
a2,1,0.025658,4.978922,[ 65 185] ; [ 64 284],[ 53.92976589 196.07023411] ; [ 75.07023411 272.92976589],0
v4,1,0.025688,4.976867,[241   7] ; [321  24],[235.03541315  12.96458685] ; [326.96458685  18.03541315],0
s5,1,0.033157,4.53766,[ 85 158] ; [ 91 249],[ 73.35849057 169.64150943] ; [102.64150943 237.35849057],0
p6,1,0.034063,4.49153,[ 99 145] ; [109 231],[ 86.90410959 157.09589041] ; [121.09589041 218.90410959],0
d5,1,0.035166,4.437092,[209  39] ; [269  79],[198.89932886  49.10067114] ; [279.10067114  68.89932886],0
a4,1,0.036503,4.373465,[120 128] ; [138 209],[107.53613445 140.46386555] ; [150.46386555 196.53613445],0
r4,1,0.039885,4.22276,[232  18] ; [305  43],[224.49832776  25.50167224] ; [312.50167224  35.49832776],0
a5,1,0.043808,4.06393,[195  54] ; [247 101],[184.35175879  64.64824121] ; [257.64824121  90.35175879],0
d4,1,0.059453,3.552565,[210  36] ; [276  72],[201.27272727  44.72727273] ; [284.72727273  63.27272727],0
p9,1,0.066336,3.371432,[220  25] ; [291  53],[212.55517827  32.44482173] ; [298.44482173  45.55517827],0
s6,1,0.087334,2.922843,[162  83] ; [203 140],[152.08333333  92.91666667] ; [212.91666667 130.08333333],0
