Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000157,14.285714,[12  2] ; [ 2 12],[7. 7.] ; [7. 7.],1
d5,1,0.043047,4.093567,[12  2] ; [7 7],[9.5 4.5] ; [9.5 4.5],0
n1,1,0.048328,3.898526,[2 5] ; [5 1],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
s6,1,0.05659,3.634615,[11  2] ; [7 7],[8.66666667 4.33333333] ; [9.33333333 4.66666667],0
s4,1,0.065436,3.393939,[ 1 13] ; [5 9],[ 3. 11.] ; [ 3. 11.],0
v4,1,0.116613,2.462227,[7 5] ; [12  2],[8.76923077 3.23076923] ; [10.23076923  3.76923077],0
d2,1,0.12663,2.333333,[8 6] ; [ 4 10],[6. 8.] ; [6. 8.],0
b1,1,0.12663,2.333333,[8 6] ; [ 4 10],[6. 8.] ; [6. 8.],0
a4,1,0.12663,2.333333,[8 6] ; [ 4 10],[6. 8.] ; [6. 8.],0
r3,1,0.19043,1.714286,[12  2] ; [9 5],[10.5  3.5] ; [10.5  3.5],0
n4,1,0.224765,1.473684,[11  3] ; [8 6],[9.5 4.5] ; [9.5 4.5],0
p7,1,0.233703,1.418182,[9 4] ; [6 7],[7.5 5.5] ; [7.5 5.5],0
a2,1,0.280087,1.166667,[ 3 11] ; [ 1 13],[ 2. 12.] ; [ 2. 12.],0
p5,1,0.280087,1.166667,[ 3 11] ; [ 1 13],[ 2. 12.] ; [ 2. 12.],0
p9,1,0.315425,1.007824,[12  1] ; [11  3],[11.07407407  1.92592593] ; [11.92592593  2.07407407],0
b2,1,0.381905,0.76456,[ 3 10] ; [4 6],[3.95652174 9.04347826] ; [3.04347826 6.95652174],0
b3,1,0.381905,0.76456,[ 3 10] ; [4 6],[3.95652174 9.04347826] ; [3.04347826 6.95652174],0
n3,1,0.390636,0.736961,[3 4] ; [4 2],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
u3,1,0.429195,0.625,[3 1] ; [3 3],[2.4 1.6] ; [3.6 2.4],0
a3,1,0.430223,0.622222,[10  4] ; [8 6],[9. 5.] ; [9. 5.],0
d1,1,0.445009,0.583333,[7 7] ; [5 9],[6. 8.] ; [6. 8.],0
p3,1,0.445009,0.583333,[7 7] ; [5 9],[6. 8.] ; [6. 8.],0
d3,1,0.449692,0.571429,[8 6] ; [6 8],[7. 7.] ; [7. 7.],0
s3,1,0.484118,0.489574,[7 5] ; [10  4],[7.84615385 4.15384615] ; [9.15384615 4.84615385],0
r2,1,0.542541,0.37085,[7 5] ; [6 7],[6.24 5.76] ; [6.76 6.24],0
s7,1,0.556812,0.345255,[10  3] ; [12  2],[10.59259259  2.40740741] ; [11.40740741  2.59259259],0
n6,1,0.579997,0.30624,[9 4] ; [11  3],[9.62962963 3.37037037] ; [10.37037037  3.62962963],0
r1,1,0.585957,0.296703,[5 8] ; [ 4 10],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
p2,1,0.621705,0.243478,[11  3] ; [12  2],[11.5  2.5] ; [11.5  2.5],0
v3,1,0.685734,0.163743,[5 9] ; [ 4 10],[4.5 9.5] ; [4.5 9.5],0
p4,1,0.685734,0.163743,[10  4] ; [9 5],[9.5 4.5] ; [9.5 4.5],0
a5,1,0.698791,0.149733,[9 5] ; [8 6],[8.5 5.5] ; [8.5 5.5],0
b4,1,0.704738,0.14359,[8 6] ; [7 7],[7.5 6.5] ; [7.5 6.5],0
p8,1,0.704738,0.14359,[8 6] ; [7 7],[7.5 6.5] ; [7.5 6.5],0
b5,1,0.704738,0.14359,[8 6] ; [7 7],[7.5 6.5] ; [7.5 6.5],0
p6,1,0.816334,0.053946,[5 8] ; [6 8],[5.2962963 7.7037037] ; [5.7037037 8.2962963],0
p10,1,0.866784,0.028139,[10  2] ; [12  2],[10.15384615  1.84615385] ; [11.84615385  2.15384615],0
s2,1,0.882577,0.021816,[8 5] ; [9 5],[8.18518519 4.81481481] ; [8.81481481 5.18518519],0
n5,1,0.918011,0.010597,[10  3] ; [11  3],[10.11111111  2.88888889] ; [10.88888889  3.11111111],0
a6,1,1.0,0.0,[6 8] ; [6 8],[6. 8.] ; [6. 8.],0
a7,1,1.0,0.0,[7 7] ; [7 7],[7. 7.] ; [7. 7.],0
d4,1,1.0,0.0,[11  3] ; [11  3],[11.  3.] ; [11.  3.],0
u1,1,1.0,0.0,[ 1 13] ; [ 1 13],[ 1. 13.] ; [ 1. 13.],0
u2,1,1.0,0.0,[2 2] ; [3 3],[2. 2.] ; [3. 3.],0
p11,1,1.0,0.0,[11  3] ; [11  3],[11.  3.] ; [11.  3.],0
