Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.001944,9.602017,[16  1] ; [4 6],[12.59259259  4.40740741] ; [7.40740741 2.59259259],0
v4,1,0.008034,7.025851,[15  2] ; [4 6],[11.96296296  5.03703704] ; [7.03703704 2.96296296],0
p2,1,0.018359,5.561562,[9 7] ; [1 9],[6.15384615 9.84615385] ; [3.84615385 6.15384615],0
p9,1,0.023851,5.105455,[12  4] ; [3 7],[9.23076923 6.76923077] ; [5.76923077 4.23076923],0
v2,1,0.025662,4.978651,[9 8] ; [1 9],[ 6.2962963 10.7037037] ; [3.7037037 6.2962963],0
s2,1,0.086673,2.935101,[ 7 10] ; [1 9],[ 5.03703704 11.96296296] ; [2.96296296 7.03703704],0
r4,1,0.086673,2.935101,[ 7 10] ; [1 9],[ 5.03703704 11.96296296] ; [2.96296296 7.03703704],0
s6,1,0.092521,2.829947,[9 8] ; [2 8],[ 6.92592593 10.07407407] ; [4.07407407 5.92592593],0
p10,1,0.118268,2.440107,[12  5] ; [4 6],[10.07407407  6.92592593] ; [5.92592593 4.07407407],0
s8,1,0.14753,2.097605,[ 6 11] ; [1 9],[ 4.40740741 12.59259259] ; [2.59259259 7.40740741],0
p8,1,0.159719,1.976886,[8 9] ; [2 8],[ 6.2962963 10.7037037] ; [3.7037037 6.2962963],0
n2,1,0.204894,1.607143,[6 3] ; [2 4],[4.8 4.2] ; [3.2 2.8],0
p7,1,0.223543,1.481481,[ 5 10] ; [1 8],[ 3.75 11.25] ; [2.25 6.75],0
a1,1,0.259656,1.270588,[ 1 16] ; [2 8],[ 1.88888889 15.11111111] ; [1.11111111 8.88888889],0
p5,1,0.34509,0.891429,[ 4 12] ; [1 9],[ 3.07692308 12.92307692] ; [1.92307692 8.07692308],0
s5,1,0.346912,0.884722,[ 6 10] ; [2 8],[ 4.92307692 11.07692308] ; [3.07692308 6.92307692],0
s7,1,0.371093,0.8,[7 9] ; [2 6],[ 6. 10.] ; [3. 5.],0
n3,1,0.398025,0.714286,[5 4] ; [2 4],[4.2 4.8] ; [2.8 3.2],0
p11,1,0.400659,0.706347,[ 6 11] ; [2 8],[ 5.03703704 11.96296296] ; [2.96296296 7.03703704],0
u2,1,0.427355,0.63,[1 4] ; [1 1],[1.42857143 3.57142857] ; [0.57142857 1.42857143],0
a5,1,0.455924,0.555882,[14  3] ; [7 3],[13.22222222  3.77777778] ; [7.77777778 2.22222222],0
n4,1,0.455924,0.555882,[14  3] ; [7 3],[13.22222222  3.77777778] ; [7.77777778 2.22222222],0
a4,1,0.483231,0.491562,[9 7] ; [7 3],[9.84615385 6.15384615] ; [6.15384615 3.84615385],0
d2,1,0.529233,0.395865,[11  5] ; [8 2],[11.69230769  4.30769231] ; [7.30769231 2.69230769],0
b4,1,0.561411,0.337266,[10  7] ; [7 3],[10.7037037  6.2962963] ; [6.2962963 3.7037037],0
a7,1,0.561411,0.337266,[10  7] ; [7 3],[10.7037037  6.2962963] ; [6.2962963 3.7037037],0
v1,1,0.573025,0.317647,[ 5 12] ; [4 6],[ 5.66666667 11.33333333] ; [3.33333333 6.66666667],0
a3,1,0.589951,0.29042,[12  5] ; [8 2],[12.59259259  4.40740741] ; [7.40740741 2.59259259],0
v3,1,0.589951,0.29042,[ 5 12] ; [2 8],[ 4.40740741 12.59259259] ; [2.59259259 7.40740741],0
s4,1,0.589951,0.29042,[ 5 12] ; [2 8],[ 4.40740741 12.59259259] ; [2.59259259 7.40740741],0
r1,1,0.65591,0.198529,[10  7] ; [5 5],[9.44444444 7.55555556] ; [5.55555556 4.44444444],0
a6,1,0.65591,0.198529,[10  7] ; [5 5],[9.44444444 7.55555556] ; [5.55555556 4.44444444],0
s1,1,0.693196,0.155647,[ 1 16] ; [1 9],[ 1.25925926 15.74074074] ; [0.74074074 9.25925926],0
b1,1,0.778096,0.079412,[11  6] ; [7 3],[11.33333333  5.66666667] ; [6.66666667 3.33333333],0
s3,1,0.806824,0.059792,[ 6 11] ; [4 6],[ 6.2962963 10.7037037] ; [3.7037037 6.2962963],0
r2,1,0.807671,0.059259,[11  4] ; [7 2],[11.25  3.75] ; [6.75 2.25],0
u3,1,0.80915,0.058333,[2 3] ; [1 1],[2.14285714 2.85714286] ; [0.85714286 1.14285714],0
a2,1,0.83131,0.045378,[ 4 13] ; [2 8],[ 3.77777778 13.22222222] ; [2.22222222 7.77777778],0
n1,1,0.832662,0.044643,[4 5] ; [3 3],[4.2 4.8] ; [2.8 3.2],0
p3,1,0.850646,0.035455,[7 9] ; [4 6],[6.76923077 9.23076923] ; [4.23076923 5.76923077],0
p1,1,0.879193,0.023102,[ 3 14] ; [2 8],[ 3.14814815 13.85185185] ; [1.85185185 8.14814815],0
b5,1,0.882577,0.021816,[9 8] ; [5 5],[8.81481481 8.18518519] ; [5.18518519 4.81481481],0
b2,1,1.0,0.0,[ 4 10] ; [2 5],[ 4. 10.] ; [2. 5.],0
b3,1,1.0,0.0,[ 4 10] ; [2 5],[ 4. 10.] ; [2. 5.],0
