Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.3e-05,17.249175,[32 28] ; [13 57],[20.76923077 39.23076923] ; [24.23076923 45.76923077],1
p3,1,8.7e-05,15.400206,[29 33] ; [11 60],[18.64661654 43.35338346] ; [21.35338346 49.64661654],1
p4,1,0.001352,10.2706,[33 28] ; [19 52],[24.03030303 36.96969697] ; [27.96969697 43.03030303],0
p2,1,0.001787,9.756249,[47 14] ; [36 35],[38.35606061 22.64393939] ; [44.64393939 26.35606061],0
s8,1,0.003529,8.511506,[21 41] ; [ 9 62],[13.98496241 48.01503759] ; [16.01503759 54.98496241],0
p6,1,0.005448,7.724259,[23 36] ; [12 58],[16.00775194 42.99224806] ; [18.99224806 51.00775194],0
s2,1,0.009529,6.720798,[26 36] ; [15 56],[19.11278195 42.88721805] ; [21.88721805 49.11278195],0
s6,1,0.009793,6.672128,[31 31] ; [20 51],[23.77443609 38.22556391] ; [27.22556391 43.77443609],0
v4,1,0.016117,5.790015,[53  9] ; [48 23],[47.08270677 14.91729323] ; [53.91729323 17.08270677],0
b3,1,0.018956,5.505598,[ 9 28] ; [21 21],[14.05063291 22.94936709] ; [15.94936709 26.05063291],0
b2,1,0.018956,5.505598,[ 9 28] ; [21 21],[14.05063291 22.94936709] ; [15.94936709 26.05063291],0
u2,1,0.022097,5.238095,[17 11] ; [10 22],[12.6 15.4] ; [14.4 17.6],0
r4,1,0.026623,4.915071,[39 23] ; [31 40],[32.63157895 29.36842105] ; [37.36842105 33.63157895],0
s7,1,0.02972,4.725424,[22 38] ; [13 54],[16.53543307 43.46456693] ; [18.46456693 48.53543307],0
p5,1,0.031226,4.640486,[ 6 55] ; [ 1 70],[ 3.23484848 57.76515152] ; [ 3.76515152 67.23484848],0
s3,1,0.033779,4.505878,[27 33] ; [19 51],[21.23076923 38.76923077] ; [24.76923077 45.23076923],0
r3,1,0.038156,4.298037,[53  9] ; [50 21],[48.01503759 13.98496241] ; [54.98496241 16.01503759],0
a4,1,0.076722,3.133009,[15 47] ; [27 43],[19.72727273 42.27272727] ; [22.27272727 47.72727273],0
a6,1,0.108343,2.578222,[40 22] ; [36 35],[35.42857143 26.57142857] ; [40.57142857 30.42857143],0
n3,1,0.1234,2.373626,[20  6] ; [16 12],[17.33333333  8.66666667] ; [18.66666667  9.33333333],0
u1,1,0.132338,2.264866,[ 1 61] ; [ 5 66],[ 2.79699248 59.20300752] ; [ 3.20300752 67.79699248],0
d2,1,0.145372,2.120155,[21 41] ; [32 37],[25.08396947 36.91603053] ; [27.91603053 41.08396947],0
p10,1,0.152977,2.042312,[40 22] ; [36 33],[35.96946565 26.03053435] ; [40.03053435 28.96946565],0
n5,1,0.185229,1.755159,[35 27] ; [48 23],[38.69172932 23.30827068] ; [44.30827068 26.69172932],0
d1,1,0.221765,1.492912,[19 43] ; [29 42],[22.37593985 39.62406015] ; [25.62406015 45.37593985],0
u3,1,0.235322,1.408399,[11 17] ; [ 8 24],[ 8.86666667 19.13333333] ; [10.13333333 21.86666667],0
r2,1,0.237507,1.395329,[48 13] ; [48 21],[45.04615385 15.95384615] ; [50.95384615 18.04615385],0
d4,1,0.325642,0.966152,[35 27] ; [46 25],[37.7593985 24.2406015] ; [43.2406015 27.7593985],0
b4,1,0.393648,0.727643,[33 29] ; [43 28],[35.42857143 26.57142857] ; [40.57142857 30.42857143],0
p11,1,0.424796,0.637009,[40 22] ; [41 30],[37.7593985 24.2406015] ; [43.2406015 27.7593985],0
