Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,61.584906,[25 77] ; [81 21],[53. 49.] ; [53. 49.],1
u1,1,0.008469,6.931563,[11 93] ; [25 77],[18.17475728 85.82524272] ; [17.82524272 84.17475728],0
n2,1,0.032885,4.551781,[25 18] ; [29  7],[29.39240506 13.60759494] ; [24.60759494 11.39240506],0
d3,1,0.036499,4.373653,[62 41] ; [74 26],[69.00492611 33.99507389] ; [66.99507389 33.00492611],0
n3,1,0.051454,3.793419,[24 16] ; [29  7],[27.89473684 12.10526316] ; [25.10526316 10.89473684],0
r1,1,0.064887,3.407845,[71 32] ; [81 20],[76.74509804 26.25490196] ; [75.25490196 25.74509804],0
d2,1,0.080584,3.053077,[46 58] ; [57 44],[52.25365854 51.74634146] ; [50.74634146 50.25365854],0
d4,1,0.111438,2.533715,[77 27] ; [84 17],[81.67804878 22.32195122] ; [79.32195122 21.67804878],0
u3,1,0.135979,2.22288,[19 20] ; [20 10],[22.04347826 16.95652174] ; [16.95652174 13.04347826],0
d1,1,0.15895,1.984183,[51 53] ; [60 42],[56.03883495 47.96116505] ; [54.96116505 47.03883495],0
a7,1,0.161394,1.961115,[69 35] ; [76 25],[73.56097561 30.43902439] ; [71.43902439 29.56097561],0
p12,1,0.163896,1.937906,[  1 102] ; [ 4 96],[  2.53694581 100.46305419] ; [ 2.46305419 97.53694581],0
d5,1,0.203126,1.619752,[80 24] ; [84 16],[83.60784314 20.39215686] ; [80.39215686 19.60784314],0
p3,1,0.285779,1.139402,[35 67] ; [42 59],[38.68965517 63.31034483] ; [38.31034483 62.68965517],0
a4,1,0.295363,1.095013,[42 61] ; [49 53],[45.72195122 57.27804878] ; [45.27804878 56.72195122],0
u2,1,0.357021,0.848343,[16 22] ; [16 14],[17.88235294 20.11764706] ; [14.11764706 15.88235294],0
a5,1,0.359436,0.839864,[64 40] ; [69 33],[67.14563107 36.85436893] ; [65.85436893 36.14563107],0
a2,1,0.370209,0.802964,[22 82] ; [27 75],[24.73786408 79.26213592] ; [24.26213592 77.73786408],0
v3,1,0.390196,0.73833,[30 69] ; [35 62],[32.83163265 66.16836735] ; [32.16836735 64.83163265],0
a8,1,0.394632,0.724621,[ 8 87] ; [11 79],[ 9.75675676 85.24324324] ; [ 9.24324324 80.75675676],0
p7,1,0.398274,0.713531,[46 55] ; [51 48],[48.985 52.015] ; [48.015 50.985],0
p5,1,0.409519,0.680197,[ 6 96] ; [ 9 92],[ 7.53694581 94.46305419] ; [ 7.46305419 93.53694581],0
b4,1,0.474151,0.512286,[55 49] ; [59 43],[57.55339806 46.44660194] ; [56.44660194 45.55339806],0
