Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,53.604071,[146  91] ; [ 37 118],[110.64030612 126.35969388] ; [72.35969388 82.64030612],1
v1,1,0.0,30.421986,[165  74] ; [63 91],[138.65648855 100.34351145] ; [89.34351145 64.65648855],1
a5,1,0.000903,11.01757,[206  37] ; [113  46],[192.82835821  50.17164179] ; [126.17164179  32.82835821],1
a6,1,0.001474,10.110435,[173  68] ; [89 69],[158.25062657  82.74937343] ; [103.74937343  54.25062657],0
s4,1,0.003919,8.321023,[ 41 201] ; [ 46 112],[ 52.635 189.365] ; [ 34.365 123.635],0
d2,1,0.006973,7.279987,[151  91] ; [77 81],[137.94 104.06] ; [90.06 67.94],0
a7,1,0.011165,6.438851,[183  60] ; [101  58],[171.67164179  71.32835821] ; [112.32835821  46.67164179],0
r3,1,0.013352,6.121849,[238   4] ; [149  10],[233.55112219   8.44887781] ; [153.44887781   5.55112219],0
d4,1,0.01494,5.923575,[213  29] ; [124  33],[204.39598997  37.60401003] ; [132.60401003  24.39598997],0
a3,1,0.022673,5.193363,[207  35] ; [121  37],[198.44  43.56] ; [129.56  28.44],0
n1,1,0.028202,4.815676,[19 27] ; [26 14],[24.06976744 21.93023256] ; [20.93023256 19.06976744],0
u1,1,0.035352,4.428082,[ 70 173] ; [ 31 128],[ 61.05223881 181.94776119] ; [ 39.94776119 119.05223881],0
d5,1,0.039391,4.24393,[210  32] ; [124  33],[202.5764411  39.4235589] ; [131.4235589  25.5764411],0
s8,1,0.04281,4.102881,[174  66] ; [100  59],[164.81203008  75.18796992] ; [109.18796992  49.81203008],0
p7,1,0.04401,4.056163,[174  61] ; [100  55],[165.1025641  69.8974359] ; [108.8974359  46.1025641],0
r1,1,0.049472,3.859272,[212  30] ; [127  31],[205.095  36.905] ; [133.905  24.095],0
s1,1,0.055482,3.667526,[  7 233] ; [ 11 146],[ 10.88161209 229.11838791] ; [  7.11838791 149.88161209],0
d1,1,0.064742,3.411548,[167  76] ; [95 64],[158.37313433  84.62686567] ; [103.62686567  55.37313433],0
r4,1,0.082427,3.016387,[232  11] ; [145  14],[227.8880597  15.1119403] ; [149.1119403   9.8880597],0
s2,1,0.106624,2.60356,[185  57] ; [110  49],[178.02992519  63.97007481] ; [116.97007481  42.02992519],0
p9,1,0.128902,2.305673,[217  23] ; [135  23],[212.26130653  27.73869347] ; [139.73869347  18.26130653],0
a8,1,0.131076,2.27972,[ 42 171] ; [ 20 127],[ 36.68333333 176.31666667] ; [ 25.31666667 121.68333333],0
n3,1,0.171467,1.870068,[36 10] ; [26 14],[33.1627907 12.8372093] ; [28.8372093 11.1627907],0
p3,1,0.182024,1.781018,[145  97] ; [84 74],[138.545 103.455] ; [90.455 67.545],0
s5,1,0.190308,1.715232,[113 119] ; [65 90],[106.70801034 125.29198966] ; [71.29198966 83.70801034],0
b4,1,0.203338,1.618236,[144  99] ; [84 75],[137.82089552 105.17910448] ; [90.17910448 68.82089552],0
p12,1,0.240377,1.378383,[ 27 215] ; [ 12 146],[ 23.595 218.405] ; [ 15.405 142.595],0
p10,1,0.241537,1.371603,[210  31] ; [131  27],[205.96741855  35.03258145] ; [135.03258145  22.96741855],0
p5,1,0.266159,1.236434,[ 35 208] ; [ 29 127],[ 38.97744361 204.02255639] ; [ 25.02255639 130.97744361],0
a2,1,0.271878,1.207248,[ 75 168] ; [ 41 118],[ 70.11940299 172.88059701] ; [ 45.88059701 113.11940299],0
a1,1,0.28324,1.151476,[ 17 226] ; [  7 152],[ 14.50746269 228.49253731] ; [  9.49253731 149.50746269],0
n4,1,0.321203,0.984041,[208  34] ; [130  28],[204.49  37.51] ; [133.51  24.49],0
p11,1,0.398399,0.713154,[195  48] ; [122  37],[191.61940299  51.38059701] ; [125.38059701  33.61940299],0
s6,1,0.405936,0.69067,[203  35] ; [129  28],[200.04050633  37.95949367] ; [131.95949367  25.04050633],0
b1,1,0.414488,0.66589,[ 91 152] ; [66 93],[ 94.90298507 148.09701493] ; [62.09701493 96.90298507],0
n5,1,0.441559,0.592227,[199  41] ; [127  32],[196.09022556  43.90977444] ; [129.90977444  29.09022556],0
u4,1,0.510293,0.433466,[  9 234] ; [  4 155],[  7.85820896 235.14179104] ; [  5.14179104 153.85820896],0
n6,1,0.548154,0.360634,[215  24] ; [140  19],[213.17839196  25.82160804] ; [141.82160804  17.17839196],0
u2,1,0.583397,0.300776,[24 12] ; [23 15],[22.86486486 13.13513514] ; [24.13513514 13.86486486],0
p8,1,0.625226,0.23859,[135 101] ; [87 72],[132.63797468 103.36202532] ; [89.36202532 69.63797468],0
p1,1,0.653475,0.201547,[ 24 218] ; [ 18 141],[ 25.34663342 216.65336658] ; [ 16.65336658 142.34663342],0
b5,1,0.686828,0.162541,[144  99] ; [91 68],[142.05223881 100.94776119] ; [92.94776119 66.05223881],0
p2,1,0.716489,0.131882,[208  35] ; [134  25],[206.73134328  36.26865672] ; [135.26865672  23.73134328],0
a4,1,0.820332,0.051583,[122 120] ; [82 77],[123.11221945 118.88778055] ; [80.88778055 78.11221945],0
