Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.00058,11.840319,[17 16] ; [10 48],[ 9.79120879 23.20879121] ; [17.20879121 40.79120879],1
v2,1,0.031606,4.61972,[19 13] ; [20 36],[14.18181818 17.81818182] ; [24.81818182 31.18181818],0
a2,1,0.087874,2.912898,[ 7 26] ; [ 5 53],[ 4.35164835 28.64835165] ; [ 7.64835165 50.35164835],0
a5,1,0.094644,2.793553,[23 10] ; [30 28],[19.21978022 13.78021978] ; [33.78021978 24.21978022],0
s1,1,0.104515,2.63526,[ 4 28] ; [ 2 55],[ 2.15730337 29.84269663] ; [ 3.84269663 53.15730337],0
a3,1,0.123556,2.37165,[22 11] ; [29 29],[18.49450549 14.50549451] ; [32.50549451 25.49450549],0
p10,1,0.161353,1.961501,[ 8 24] ; [23 35],[11.02222222 20.97777778] ; [19.97777778 38.02222222],0
n2,1,0.17844,1.810571,[7 1] ; [11  7],[5.53846154 2.46153846] ; [12.46153846  5.53846154],0
u1,1,0.178588,1.809335,[ 6 27] ; [ 5 53],[ 3.98901099 29.01098901] ; [ 7.01098901 50.98901099],0
r4,1,0.225862,1.466734,[29  4] ; [45 13],[26.83516484  6.16483516] ; [47.16483516 10.83516484],0
p3,1,0.233878,1.417119,[12 21] ; [14 43],[ 9.53333333 23.46666667] ; [16.46666667 40.53333333],0
p5,1,0.265344,1.240657,[ 2 31] ; [ 1 57],[ 1.08791209 31.91208791] ; [ 1.91208791 56.08791209],0
s2,1,0.274648,1.193384,[15 17] ; [20 37],[12.58426966 19.41573034] ; [22.41573034 34.58426966],0
s3,1,0.29942,1.076777,[18 14] ; [26 32],[15.64444444 16.35555556] ; [28.35555556 29.64444444],0
u3,1,0.311564,1.024033,[8 3] ; [16 13],[6.6 4.4] ; [17.4 11.6],0
b3,1,0.319855,0.989538,[ 8 17] ; [ 7 27],[ 6.3559322 18.6440678] ; [ 8.6440678 25.3559322],0
