Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.019172,5.485714,[ 5 37] ; [3 3],[ 7. 35.] ; [1. 5.],0
s6,1,0.047311,3.934286,[12 33] ; [4 2],[14.11764706 30.88235294] ; [1.88235294 4.11764706],0
n4,1,0.079332,3.078526,[32 14] ; [2 4],[30.07692308 15.92307692] ; [3.92307692 2.07692308],0
u3,1,0.084682,2.972661,[ 2 21] ; [1 1],[ 2.76 20.24] ; [0.24 1.76],0
a7,1,0.123448,2.373016,[23 23] ; [1 5],[21.23076923 24.76923077] ; [2.76923077 3.23076923],0
p1,1,0.129445,2.299149,[ 5 41] ; [2 4],[ 6.19230769 39.80769231] ; [0.80769231 5.19230769],0
n1,1,0.159128,1.982492,[10  8] ; [1 4],[8.60869565 9.39130435] ; [2.39130435 2.60869565],0
b3,1,0.178022,1.814059,[11 17] ; [3 1],[12.25 15.75] ; [1.75 2.25],0
b2,1,0.178022,1.814059,[11 17] ; [3 1],[12.25 15.75] ; [1.75 2.25],0
p10,1,0.22845,1.450484,[19 26] ; [1 5],[17.64705882 27.35294118] ; [2.35294118 3.64705882],0
r1,1,0.243324,1.361232,[19 27] ; [1 5],[17.69230769 28.30769231] ; [2.30769231 3.69230769],0
d4,1,0.277858,1.177536,[33 13] ; [3 3],[31.84615385 14.15384615] ; [4.15384615 1.84615385],0
n2,1,0.32179,0.981658,[ 8 10] ; [1 4],[ 7.04347826 10.95652174] ; [1.95652174 3.04347826],0
a5,1,0.332546,0.938959,[25 21] ; [2 4],[23.88461538 22.11538462] ; [3.11538462 2.88461538],0
s5,1,0.367328,0.812683,[ 8 37] ; [2 4],[ 8.82352941 36.17647059] ; [1.17647059 4.82352941],0
s1,1,0.380426,0.769324,[ 3 43] ; [1 5],[ 3.53846154 42.46153846] ; [0.46153846 5.53846154],0
b4,1,0.399679,0.709292,[31 15] ; [3 3],[30.07692308 15.92307692] ; [3.92307692 2.07692308],0
n6,1,0.413213,0.669538,[23 22] ; [2 4],[22.05882353 22.94117647] ; [2.94117647 3.05882353],0
s2,1,0.437347,0.603233,[ 9 37] ; [2 4],[ 9.73076923 36.26923077] ; [1.26923077 4.73076923],0
n5,1,0.466581,0.53006,[30 16] ; [3 3],[29.19230769 16.80769231] ; [3.80769231 2.19230769],0
a3,1,0.473327,0.514198,[23 22] ; [4 2],[23.82352941 21.17647059] ; [3.17647059 2.82352941],0
p7,1,0.483841,0.490195,[14 32] ; [1 5],[13.26923077 32.73076923] ; [1.73076923 4.26923077],0
r4,1,0.483841,0.490195,[14 32] ; [1 5],[13.26923077 32.73076923] ; [1.73076923 4.26923077],0
p4,1,0.483841,0.490195,[14 32] ; [1 5],[13.26923077 32.73076923] ; [1.73076923 4.26923077],0
p11,1,0.503008,0.448585,[22 24] ; [2 4],[21.23076923 24.76923077] ; [2.76923077 3.23076923],0
d5,1,0.53679,0.381522,[29 17] ; [3 3],[28.30769231 17.69230769] ; [3.69230769 2.30769231],0
p9,1,0.537537,0.380124,[21 24] ; [2 4],[20.29411765 24.70588235] ; [2.70588235 3.29411765],0
d3,1,0.567708,0.326532,[21 25] ; [2 4],[20.34615385 25.65384615] ; [2.65384615 3.34615385],0
r3,1,0.609798,0.260469,[28 18] ; [3 3],[27.42307692 18.57692308] ; [3.57692308 2.42307692],0
d1,1,0.685113,0.164427,[19 27] ; [3 3],[19.46153846 26.53846154] ; [2.53846154 3.46153846],0
p3,1,0.691929,0.157005,[11 35] ; [1 5],[10.61538462 35.38461538] ; [1.38461538 4.61538462],0
s3,1,0.717848,0.130564,[19 26] ; [3 3],[19.41176471 25.58823529] ; [2.58823529 3.41176471],0
v2,1,0.82242,0.05037,[13 32] ; [2 4],[13.23529412 31.76470588] ; [1.76470588 4.23529412],0
b5,1,0.840754,0.040373,[21 25] ; [3 3],[21.23076923 24.76923077] ; [2.76923077 3.23076923],0
p6,1,0.840954,0.04027,[ 6 38] ; [1 5],[ 6.16 37.84] ; [0.84 5.16],0
r2,1,0.849361,0.036075,[25 20] ; [3 2],[25.2 19.8] ; [2.8 2.2],0
a4,1,0.912255,0.012143,[14 31] ; [2 4],[14.11764706 30.88235294] ; [1.88235294 4.11764706],0
p2,1,0.914793,0.011448,[16 29] ; [2 4],[15.88235294 29.11764706] ; [2.11764706 3.88235294],0
b1,1,0.920153,0.010048,[24 22] ; [3 3],[23.88461538 22.11538462] ; [3.11538462 2.88461538],0
d2,1,0.959213,0.002615,[22 23] ; [3 3],[22.05882353 22.94117647] ; [2.94117647 3.05882353],0
n3,1,0.962486,0.002212,[ 7 10] ; [2 3],[ 6.95454545 10.04545455] ; [2.04545455 2.95454545],0
