Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.3e-05,19.061065,[98 12] ; [1 4],[94.69565217 15.30434783] ; [4.30434783 0.69565217],1
r1,1,0.003924,8.318783,[85 25] ; [1 4],[82.26086957 27.73913043] ; [3.73913043 1.26086957],0
s6,1,0.073896,3.194286,[94 13] ; [3 2],[92.66964286 14.33035714] ; [4.33035714 0.66964286],0
d5,1,0.077436,3.117914,[83 27] ; [2 3],[81.30434783 28.69565217] ; [3.69565217 1.30434783],0
s3,1,0.083162,3.001988,[81 27] ; [2 3],[79.32743363 28.67256637] ; [3.67256637 1.32743363],0
s2,1,0.111482,2.533084,[78 29] ; [2 3],[76.42857143 30.57142857] ; [3.57142857 1.42857143],0
n4,1,0.1273,2.32513,[79 31] ; [2 3],[77.47826087 32.52173913] ; [3.52173913 1.47826087],0
r3,1,0.128551,2.309911,[105   5] ; [4 1],[104.26086957   5.73913043] ; [4.73913043 0.26086957],0
s1,1,0.131248,2.277676,[  5 104] ; [1 4],[  5.73684211 103.26315789] ; [0.26315789 4.73684211],0
s8,1,0.152165,2.050407,[58 52] ; [1 4],[56.43478261 53.56521739] ; [2.56521739 2.43478261],0
n2,1,0.15789,1.994318,[21  3] ; [1 1],[20.30769231  3.69230769] ; [1.69230769 0.30769231],0
p2,1,0.172647,1.859809,[92 18] ; [3 2],[90.86956522 19.13043478] ; [4.13043478 0.86956522],0
b1,1,0.173235,1.854722,[34 76] ; [3 2],[35.39130435 74.60869565] ; [1.60869565 3.39130435],0
a5,1,0.173235,1.854722,[76 34] ; [2 3],[74.60869565 35.39130435] ; [3.39130435 1.60869565],0
a7,1,0.207723,1.587229,[74 36] ; [2 3],[72.69565217 37.30434783] ; [3.30434783 1.69565217],0
p6,1,0.255257,1.294303,[50 59] ; [1 4],[48.76315789 60.23684211] ; [2.23684211 2.76315789],0
a6,1,0.264916,1.242884,[71 39] ; [2 3],[69.82608696 40.17391304] ; [3.17391304 1.82608696],0
d4,1,0.281792,1.158425,[88 22] ; [3 2],[87.04347826 22.95652174] ; [3.95652174 1.04347826],0
r2,1,0.300056,1.073947,[102   8] ; [4 1],[101.39130435   8.60869565] ; [4.60869565 0.39130435],0
b5,1,0.35062,0.871212,[67 43] ; [2 3],[66. 44.] ; [3. 2.],0
a4,1,0.35062,0.871212,[45 65] ; [1 4],[44. 66.] ; [2. 3.],0
p9,1,0.359013,0.841342,[101   9] ; [4 1],[100.43478261   9.56521739] ; [4.56521739 0.43478261],0
d2,1,0.397196,0.7168,[45 65] ; [3 2],[45.91304348 64.08695652] ; [2.08695652 2.91304348],0
d1,1,0.471318,0.518884,[62 48] ; [2 3],[61.2173913 48.7826087] ; [2.7826087 2.2173913],0
v2,1,0.518737,0.416404,[48 58] ; [3 2],[48.7027027 57.2972973] ; [2.2972973 2.7027027],0
p10,1,0.530093,0.394214,[98 12] ; [4 1],[97.56521739 12.43478261] ; [4.43478261 0.56521739],0
n6,1,0.590696,0.289258,[96 13] ; [4 1],[95.61403509 13.38596491] ; [4.38596491 0.61403509],0
d3,1,0.601112,0.273321,[78 32] ; [3 2],[77.47826087 32.52173913] ; [3.52173913 1.47826087],0
p7,1,0.607144,0.264355,[75 31] ; [3 2],[74.48648649 31.51351351] ; [3.51351351 1.48648649],0
v1,1,0.6188,0.247557,[53 56] ; [3 2],[53.54385965 55.45614035] ; [2.45614035 2.54385965],0
s5,1,0.631605,0.22989,[52 50] ; [2 3],[51.47663551 50.52336449] ; [2.52336449 2.47663551],0
p8,1,0.683263,0.166476,[65 43] ; [2 2],[64.60714286 43.39285714] ; [2.39285714 1.60714286],0
n1,1,0.72701,0.121875,[ 9 15] ; [1 1],[ 9.23076923 14.76923077] ; [0.76923077 1.23076923],0
a3,1,0.768784,0.086416,[73 37] ; [3 2],[72.69565217 37.30434783] ; [3.30434783 1.69565217],0
p3,1,0.780098,0.077948,[59 51] ; [3 2],[59.30434783 50.69565217] ; [2.69565217 2.30434783],0
p4,1,0.868816,0.027279,[70 40] ; [3 2],[69.82608696 40.17391304] ; [3.17391304 1.82608696],0
b3,1,0.89717,0.016702,[14 49] ; [1 3],[14.10447761 48.89552239] ; [0.89552239 3.10447761],0
b2,1,0.89717,0.016702,[14 49] ; [1 3],[14.10447761 48.89552239] ; [0.89552239 3.10447761],0
s7,1,0.934797,0.006693,[68 42] ; [3 2],[67.91304348 42.08695652] ; [3.08695652 1.91304348],0
n5,1,0.960981,0.002393,[87 23] ; [4 1],[87.04347826 22.95652174] ; [3.95652174 1.04347826],0
b4,1,1.0,0.0,[66 44] ; [3 2],[66. 44.] ; [3. 2.],0
