Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,32.743948,[ 25 111] ; [81 80],[48.53872054 87.46127946] ; [ 57.46127946 103.53872054],1
v1,1,4e-06,21.41684,[51 84] ; [106  58],[70.88628763 64.11371237] ; [86.11371237 77.88628763],1
r1,1,0.000219,13.657038,[89 46] ; [139  26],[102.6  32.4] ; [125.4  39.6],1
a6,1,0.001823,9.719578,[93 43] ; [138  27],[104.37209302  31.62790698] ; [126.62790698  38.37209302],0
r3,1,0.00289,8.875752,[119  16] ; [160   5],[125.55   9.45] ; [153.45  11.55],0
u1,1,0.003155,8.715559,[ 15 121] ; [ 40 125],[ 24.85049834 111.14950166] ; [ 30.14950166 134.85049834],0
d3,1,0.003954,8.304853,[90 45] ; [134  31],[100.8  34.2] ; [123.2  41.8],0
p3,1,0.005205,7.806698,[51 85] ; [88 76],[63.01333333 72.98666667] ; [75.98666667 88.01333333],0
d1,1,0.008021,7.0288,[65 71] ; [104  61],[76.35880399 59.64119601] ; [92.64119601 72.35880399],0
a4,1,0.010502,6.547777,[48 88] ; [82 82],[58.93333333 77.06666667] ; [71.06666667 92.93333333],0
a5,1,0.013832,6.059508,[89 47] ; [129  36],[98.49833887 37.50166113] ; [119.50166113  45.49833887],0
p4,1,0.014157,6.018489,[64 71] ; [101  63],[74.49832776 60.50167224] ; [90.50167224 73.49832776],0
a2,1,0.014564,5.968407,[ 26 110] ; [ 52 113],[ 35.24252492 100.75747508] ; [ 42.75747508 122.24252492],0
r4,1,0.018901,5.510672,[110  26] ; [149  16],[117.02325581  18.97674419] ; [141.97674419  23.02325581],0
d4,1,0.021763,5.264595,[104  32] ; [143  22],[111.6013289  24.3986711] ; [135.3986711  29.6013289],0
p11,1,0.028789,4.780173,[92 44] ; [130  35],[100.30564784  35.69435216] ; [121.69435216  43.30564784],0
s7,1,0.030114,4.702762,[ 27 101] ; [ 50 103],[35.0747331 92.9252669] ; [ 41.9252669 111.0747331],0
p10,1,0.034661,4.461808,[93 40] ; [132  32],[100.75757576  32.24242424] ; [124.24242424  39.75757576],0
s8,1,0.055723,3.660316,[ 26 109] ; [ 47 116],[ 33.0704698 101.9295302] ; [ 39.9295302 123.0704698],0
a3,1,0.063673,3.439019,[84 50] ; [120  45],[91.42474916 42.57525084] ; [112.57525084  52.42474916],0
v4,1,0.070846,3.263316,[122  14] ; [157   8],[126.05980066   9.94019934] ; [152.94019934  12.05980066],0
s6,1,0.080956,3.04561,[51 82] ; [79 84],[58.41216216 74.58783784] ; [71.58783784 91.41216216],0
n4,1,0.087362,2.922332,[90 46] ; [124  41],[96.6910299 39.3089701] ; [117.3089701  47.6910299],0
d2,1,0.088175,2.907386,[51 85] ; [78 87],[58.28571429 77.71428571] ; [70.71428571 94.28571429],0
p9,1,0.101962,2.674579,[98 35] ; [133  30],[103.79391892  29.20608108] ; [127.20608108  35.79391892],0
s5,1,0.110963,2.540446,[ 22 112] ; [ 39 124],[ 27.52188552 106.47811448] ; [ 33.47811448 129.52188552],0
n5,1,0.120875,2.405952,[82 53] ; [113  50],[88.33892617 46.66107383] ; [106.66107383  56.33892617],0
p2,1,0.121387,2.39933,[102  34] ; [135  29],[107.44  28.56] ; [129.56  34.44],0
r2,1,0.122453,2.385659,[119  16] ; [153  11],[122.80936455  12.19063545] ; [149.19063545  14.80936455],0
d5,1,0.125935,2.341915,[108  28] ; [142  23],[112.95681063  23.04318937] ; [137.04318937  27.95681063],0
p7,1,0.128084,2.315573,[71 64] ; [100  63],[77.46644295 57.53355705] ; [93.53355705 69.46644295],0
n1,1,0.24241,1.366525,[13 23] ; [ 9 29],[10.7027027 25.2972973] ; [11.2972973 26.7027027],0
n6,1,0.245838,1.346801,[104  31] ; [136  29],[108.  27.] ; [132.  33.],0
p6,1,0.259935,1.269101,[40 95] ; [ 58 104],[44.54545455 90.45454545] ; [ 53.45454545 108.54545455],0
p5,1,0.282919,1.153013,[ 10 126] ; [ 18 146],[ 12.69333333 123.30666667] ; [ 15.30666667 148.69333333],0
p12,1,0.286705,1.135031,[  4 131] ; [  9 155],[  5.86956522 129.13043478] ; [  7.13043478 156.86956522],0
b1,1,0.338257,0.917025,[50 86] ; [ 52 113],[46.08637874 89.91362126] ; [ 55.91362126 109.08637874],0
a1,1,0.344142,0.89494,[  5 131] ; [ 10 155],[  6.77740864 129.22259136] ; [  8.22259136 156.77740864],0
n2,1,0.375354,0.785864,[23 15] ; [26 11],[24.82666667 13.17333333] ; [24.17333333 12.82666667],0
p1,1,0.471708,0.517972,[ 12 123] ; [ 11 154],[ 10.35 124.65] ; [ 12.65 152.35],0
b5,1,0.500814,0.453211,[94 42] ; [108  57],[91.26910299 44.73089701] ; [110.73089701  54.26910299],0
a8,1,0.514393,0.425121,[ 14 112] ; [ 19 119],[ 15.75 110.25] ; [ 17.25 120.75],0
p8,1,0.54461,0.367061,[66 68] ; [85 76],[68.58983051 65.41016949] ; [82.41016949 78.58983051],0
s4,1,0.553968,0.350256,[ 16 117] ; [ 16 146],[ 14.42711864 118.57288136] ; [ 17.57288136 144.42711864],0
n3,1,0.56574,0.329863,[24 13] ; [27 11],[25.16 11.84] ; [25.84 12.16],0
u3,1,0.588425,0.29281,[30 21] ; [24 21],[28.6875 22.3125] ; [25.3125 19.6875],0
s2,1,0.731283,0.117937,[ 18 117] ; [ 24 139],[ 19.02684564 115.97315436] ; [ 22.97315436 140.02684564],0
