Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,111.109172,[108  32] ; [ 48 179],[59.50953678 80.49046322] ; [ 96.49046322 130.50953678],1
s6,1,0.0,52.282445,[124  20] ; [114 118],[91.14893617 52.85106383] ; [146.85106383  85.14893617],1
s2,1,0.0,37.866817,[96 47] ; [ 80 152],[67.11466667 75.88533333] ; [108.88533333 123.11466667],1
s3,1,0.0,27.193967,[102  40] ; [101 128],[77.69811321 64.30188679] ; [125.30188679 103.69811321],1
s5,1,1.7e-05,18.499646,[56 83] ; [ 45 184],[ 38.14945652 100.85054348] ; [ 62.85054348 166.14945652],1
p10,1,0.000132,14.619031,[121  22] ; [154  77],[105.14705882  37.85294118] ; [169.85294118  61.14705882],1
p9,1,0.000219,13.663718,[124  19] ; [161  69],[109.26273458  33.73726542] ; [175.73726542  54.26273458],1
p6,1,0.001079,10.686843,[47 98] ; [ 41 190],[ 33.93617021 111.06382979] ; [ 54.06382979 176.93617021],0
n6,1,0.002473,9.160371,[126  19] ; [172  61],[114.31216931  30.68783069] ; [183.68783069  49.31216931],0
n4,1,0.00252,9.126098,[116  29] ; [154  81],[103.02631579  41.97368421] ; [166.97368421  68.02631579],0
v1,1,0.002938,8.845471,[83 60] ; [ 98 134],[69.02133333 73.97866667] ; [111.97866667 120.02133333],0
d2,1,0.003907,8.326405,[78 67] ; [ 90 143],[64.44444444 80.55555556] ; [103.55555556 129.44444444],0
v3,1,0.004039,8.266263,[60 81] ; [ 62 160],[47.38842975 93.61157025] ; [ 74.61157025 147.38842975],0
p4,1,0.006579,7.384537,[66 78] ; [ 74 158],[53.61702128 90.38297872] ; [ 86.38297872 145.61702128],0
a8,1,0.007373,7.179737,[ 28 101] ; [ 24 193],[ 19.38728324 109.61271676] ; [ 32.61271676 184.38728324],0
n5,1,0.007398,7.173809,[111  33] ; [149  84],[99.31034483 44.68965517] ; [160.68965517  72.31034483],0
p7,1,0.007676,7.107634,[83 56] ; [102 123],[70.6456044 68.3543956] ; [114.3543956 110.6456044],0
u1,1,0.010586,6.533493,[ 29 116] ; [ 25 211],[ 20.5511811 124.4488189] ; [ 33.4488189 202.5511811],0
d5,1,0.033338,4.528337,[122  23] ; [176  59],[113.71052632  31.28947368] ; [184.28947368  50.71052632],0
a3,1,0.035139,4.438426,[108  37] ; [150  84],[98.70712401 46.29287599] ; [159.29287599  74.70712401],0
p5,1,0.036893,4.355352,[ 11 132] ; [  7 228],[  6.80952381 136.19047619] ; [ 11.19047619 223.80952381],0
a4,1,0.048331,3.898452,[72 73] ; [ 92 142],[62.74406332 82.25593668] ; [101.25593668 132.74406332],0
s4,1,0.052971,3.744835,[ 28 116] ; [ 28 203],[ 21.504 122.496] ; [ 34.496 196.504],0
s1,1,0.053162,3.738828,[  3 139] ; [ 15 214],[  6.88948787 135.11051213] ; [ 11.11051213 217.88948787],0
a5,1,0.088771,2.896523,[109  36] ; [158  78],[101.61417323  43.38582677] ; [165.38582677  70.61417323],0
p8,1,0.107079,2.596811,[61 82] ; [ 79 151],[53.67292225 89.32707775] ; [ 86.32707775 143.67292225],0
r3,1,0.111395,2.534324,[141   4] ; [218  15],[137.71164021   7.28835979] ; [221.28835979  11.71164021],0
r4,1,0.111933,2.526712,[137   8] ; [212  24],[132.82152231  12.17847769] ; [216.17847769  19.82152231],0
a2,1,0.124744,2.356727,[ 38 107] ; [ 46 190],[ 31.96850394 113.03149606] ; [ 52.03149606 183.96850394],0
b3,1,0.139053,2.188406,[35 58] ; [34 87],[29.98598131 63.01401869] ; [39.01401869 81.98598131],0
b2,1,0.139053,2.188406,[35 58] ; [34 87],[29.98598131 63.01401869] ; [39.01401869 81.98598131],0
a1,1,0.141579,2.160712,[  7 138] ; [  5 231],[  4.56692913 140.43307087] ; [  7.43307087 228.56692913],0
b1,1,0.160227,1.972084,[55 90] ; [ 73 163],[48.71391076 96.28608924] ; [ 79.28608924 156.71391076],0
n2,1,0.177599,1.817605,[31  8] ; [52 25],[27.90517241 11.09482759] ; [55.09482759 21.90517241],0
u3,1,0.187498,1.737169,[25 12] ; [46 38],[21.7107438 15.2892562] ; [49.2892562 34.7107438],0
d1,1,0.207042,1.591993,[87 58] ; [126 110],[81.06299213 63.93700787] ; [131.93700787 104.06299213],0
v4,1,0.208082,1.584724,[139   6] ; [215  17],[136.15384615   8.84615385] ; [217.84615385  14.15384615],0
d3,1,0.272571,1.20376,[107  38] ; [161  74],[102.26315789  42.73684211] ; [165.73684211  69.26315789],0
v2,1,0.273929,1.196966,[81 61] ; [111 106],[75.94428969 66.05571031] ; [116.05571031 100.94428969],0
a6,1,0.358795,0.842105,[94 51] ; [163  72],[98.06578947 46.93421053] ; [158.93421053  76.06578947],0
r2,1,0.412828,0.670641,[136   9] ; [222  10],[137.69230769   7.30769231] ; [220.30769231  11.69230769],0
u2,1,0.417298,0.657914,[23 14] ; [45 38],[20.96666667 16.03333333] ; [47.03333333 35.96666667],0
p1,1,0.43492,0.609649,[  6 139] ; [ 14 220],[  7.65171504 137.34828496] ; [ 12.34828496 221.65171504],0
p12,1,0.441517,0.592336,[  8 136] ; [  9 224],[  6.4933687 137.5066313] ; [ 10.5066313 222.4933687],0
p11,1,0.501726,0.451283,[109  36] ; [170  66],[106.18110236  38.81889764] ; [172.81889764  63.18110236],0
n3,1,0.50869,0.436761,[24 14] ; [52 23],[25.55752212 12.44247788] ; [50.44247788 24.55752212],0
n1,1,0.56392,0.332961,[16 23] ; [27 49],[14.5826087 24.4173913] ; [28.4173913 47.5826087],0
b5,1,0.694766,0.153974,[92 53] ; [145  91],[90.19685039 54.80314961] ; [146.80314961  89.19685039],0
p2,1,0.708965,0.139313,[113  32] ; [180  56],[111.50918635  33.49081365] ; [181.49081365  54.50918635],0
a7,1,0.851835,0.034886,[108  37] ; [173  62],[107.22368421  37.77631579] ; [173.77631579  61.22368421],0
u4,1,0.928254,0.008108,[  2 143] ; [  3 233],[  1.90288714 143.09711286] ; [  3.09711286 232.90288714],0
d4,1,0.929516,0.007824,[120  25] ; [192  41],[119.68253968  25.31746032] ; [192.31746032  40.68253968],0
b4,1,0.936705,0.006306,[86 59] ; [139  97],[85.62992126 59.37007874] ; [139.37007874  96.62992126],0
