Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.343295,[53  5] ; [13 17],[43.5 14.5] ; [22.5  7.5],1
s8,1,2.1e-05,18.062397,[46 12] ; [10 20],[36.90909091 21.09090909] ; [19.09090909 10.90909091],1
s5,1,0.000602,11.769298,[38 15] ; [ 9 19],[30.75308642 22.24691358] ; [16.24691358 11.75308642],1
s6,1,0.00093,10.961218,[56  1] ; [23  7],[51.75862069  5.24137931] ; [27.24137931  2.75862069],1
s3,1,0.004284,8.159387,[49  9] ; [17 13],[43.5 14.5] ; [22.5  7.5],0
d2,1,0.011349,6.409811,[46 12] ; [16 14],[40.86363636 17.13636364] ; [21.13636364  8.86363636],0
p6,1,0.038975,4.261943,[36 21] ; [12 18],[31.44827586 25.55172414] ; [16.55172414 13.44827586],0
v3,1,0.068257,3.324447,[23 34] ; [ 6 23],[19.22093023 37.77906977] ; [ 9.77906977 19.22093023],0
u2,1,0.07215,3.233418,[5 2] ; [2 6],[3.26666667 3.73333333] ; [3.73333333 4.26666667],0
p7,1,0.080816,3.04842,[42 14] ; [17 13],[38.41860465 17.58139535] ; [20.58139535  9.41860465],0
r3,1,0.081183,3.041062,[56  2] ; [26  4],[54.04545455  3.95454545] ; [27.95454545  2.04545455],0
a3,1,0.08431,2.979797,[51  7] ; [22  8],[48.11363636  9.88636364] ; [24.88636364  5.11363636],0
p1,1,0.087806,2.914141,[ 9 49] ; [ 1 29],[ 6.59090909 51.40909091] ; [ 3.40909091 26.59090909],0
n2,1,0.093525,2.812632,[11  3] ; [4 5],[9.13043478 4.86956522] ; [5.86956522 3.13043478],0
n3,1,0.107936,2.584189,[12  2] ; [5 4],[10.34782609  3.65217391] ; [6.65217391 2.34782609],0
p8,1,0.119225,2.427469,[35 21] ; [13 16],[31.62352941 24.37647059] ; [16.37647059 12.62352941],0
p9,1,0.151637,2.055709,[54  4] ; [25  5],[52.06818182  5.93181818] ; [26.93181818  3.06818182],0
p11,1,0.154719,2.025096,[45 13] ; [19 11],[42.18181818 15.81818182] ; [21.81818182  8.18181818],0
u1,1,0.158094,1.992368,[20 38] ; [ 6 24],[17.13636364 40.86363636] ; [ 8.86363636 21.13636364],0
p5,1,0.234048,1.416092,[ 9 49] ; [ 2 28],[ 7.25 50.75] ; [ 3.75 26.25],0
a7,1,0.270582,1.213793,[40 18] ; [24  6],[42.18181818 15.81818182] ; [21.81818182  8.18181818],0
p3,1,0.276959,1.181953,[36 22] ; [15 15],[33.61363636 24.38636364] ; [17.38636364 12.61363636],0
a4,1,0.285733,1.139617,[34 24] ; [14 16],[31.63636364 26.36363636] ; [16.36363636 13.63636364],0
n4,1,0.292326,1.108879,[43 15] ; [19 11],[40.86363636 17.13636364] ; [21.13636364  8.86363636],0
r4,1,0.319434,0.991264,[54  4] ; [26  4],[52.72727273  5.27272727] ; [27.27272727  2.72727273],0
p4,1,0.358565,0.842912,[44 14] ; [20 10],[42.18181818 15.81818182] ; [21.81818182  8.18181818],0
p2,1,0.367528,0.812005,[49  9] ; [23  7],[47.45454545 10.54545455] ; [24.54545455  5.45454545],0
a2,1,0.455551,0.556804,[20 38] ; [ 8 22],[18.45454545 39.54545455] ; [ 9.54545455 20.45454545],0
n1,1,0.492519,0.471018,[5 9] ; [2 7],[4.26086957 9.73913043] ; [2.73913043 6.26086957],0
b5,1,0.560393,0.339025,[37 21] ; [21  9],[38.22727273 19.77272727] ; [19.77272727 10.22727273],0
d3,1,0.569406,0.323678,[52  6] ; [28  2],[52.72727273  5.27272727] ; [27.27272727  2.72727273],0
a6,1,0.575395,0.313739,[42 16] ; [20 10],[40.86363636 17.13636364] ; [21.13636364  8.86363636],0
b2,1,0.61333,0.255355,[13 23] ; [ 4 10],[12.24 23.76] ; [4.76 9.24],0
b3,1,0.61333,0.255355,[13 23] ; [ 4 10],[12.24 23.76] ; [4.76 9.24],0
v1,1,0.652872,0.202299,[30 28] ; [14 16],[29. 29.] ; [15. 15.],0
a8,1,0.669103,0.182653,[ 3 51] ; [ 1 28],[ 2.60240964 51.39759036] ; [ 1.39759036 27.60240964],0
v4,1,0.694617,0.154132,[55  3] ; [29  1],[55.36363636  2.63636364] ; [28.63636364  1.36363636],0
u3,1,0.714393,0.133929,[5 2] ; [5 3],[4.66666667 2.33333333] ; [5.33333333 2.66666667],0
a5,1,0.771906,0.084032,[51  7] ; [27  3],[51.40909091  6.59090909] ; [26.59090909  3.40909091],0
n5,1,0.792271,0.06936,[39 19] ; [21  9],[39.54545455 18.45454545] ; [20.45454545  9.54545455],0
b1,1,0.838903,0.04133,[20 38] ; [11 19],[20.43181818 37.56818182] ; [10.56818182 19.43181818],0
n6,1,0.865011,0.0289,[51  7] ; [26  4],[50.75  7.25] ; [26.25  3.75],0
r1,1,0.907244,0.013576,[47 11] ; [24  6],[46.79545455 11.20454545] ; [24.20454545  5.79545455],0
v2,1,0.934971,0.006657,[30 27] ; [15 13],[30.17647059 26.82352941] ; [14.82352941 13.17647059],0
p10,1,0.959641,0.002561,[52  6] ; [27  3],[52.06818182  5.93181818] ; [26.93181818  3.06818182],0
b4,1,0.975007,0.000982,[35 23] ; [18 12],[34.93181818 23.06818182] ; [18.06818182 11.93181818],0
