Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.9e-05,16.129887,[77  7] ; [4 5],[73.16129032 10.83870968] ; [7.83870968 1.16129032],1
v4,1,0.000552,11.930419,[81  3] ; [6 3],[78.58064516  5.41935484] ; [8.41935484 0.58064516],1
p11,1,0.000699,11.491422,[64 20] ; [2 7],[59.61290323 24.38709677] ; [6.38709677 2.61290323],1
v2,1,0.001915,9.629057,[53 29] ; [1 8],[48.65934066 33.34065934] ; [5.34065934 3.65934066],0
n6,1,0.003513,8.519726,[65 18] ; [3 6],[61.34782609 21.65217391] ; [6.65217391 2.34782609],0
a6,1,0.005783,7.616584,[57 26] ; [2 7],[53.22826087 29.77173913] ; [5.77173913 3.22826087],0
v3,1,0.042625,4.110208,[38 44] ; [1 8],[35.14285714 46.85714286] ; [3.85714286 5.14285714],0
p7,1,0.043895,4.060581,[63 20] ; [4 5],[60.44565217 22.55434783] ; [6.55434783 2.44565217],0
p8,1,0.052648,3.755054,[40 43] ; [1 7],[37.3956044 45.6043956] ; [3.6043956 4.3956044],0
s7,1,0.134621,2.238385,[40 43] ; [1 5],[38.23595506 44.76404494] ; [2.76404494 3.23595506],0
s8,1,0.176181,1.829545,[42 42] ; [2 6],[40.17391304 43.82608696] ; [3.82608696 4.17391304],0
n2,1,0.201352,1.63254,[13  1] ; [2 1],[12.35294118  1.64705882] ; [2.64705882 0.35294118],0
a4,1,0.207288,1.590269,[37 47] ; [2 7],[35.22580645 48.77419355] ; [3.77419355 5.22580645],0
a5,1,0.211128,1.563676,[63 21] ; [5 4],[61.41935484 22.58064516] ; [6.58064516 2.41935484],0
r1,1,0.220122,1.503573,[62 21] ; [5 4],[60.44565217 22.55434783] ; [6.55434783 2.44565217],0
p10,1,0.229513,1.443879,[61 21] ; [5 4],[59.47252747 22.52747253] ; [6.52747253 2.47252747],0
s6,1,0.239777,1.381903,[49 34] ; [3 5],[47.42857143 35.57142857] ; [4.57142857 3.42857143],0
p2,1,0.246182,1.344842,[62 22] ; [5 4],[60.51612903 23.48387097] ; [6.48387097 2.51612903],0
b1,1,0.277385,1.17986,[40 44] ; [6 3],[41.5483871 42.4516129] ; [4.4516129 4.5483871],0
s1,1,0.289339,1.122693,[ 3 81] ; [1 8],[ 3.61290323 80.38709677] ; [0.38709677 8.61290323],0
p6,1,0.309827,1.031411,[21 58] ; [1 8],[19.75 59.25] ; [2.25 6.75],0
p1,1,0.380221,0.769988,[10 74] ; [2 7],[10.83870968 73.16129032] ; [1.16129032 7.83870968],0
p5,1,0.42221,0.644156,[ 4 80] ; [1 8],[ 4.51612903 79.48387097] ; [0.48387097 8.51612903],0
d4,1,0.424529,0.637745,[65 19] ; [8 1],[65.93548387 18.06451613] ; [7.06451613 1.93548387],0
s5,1,0.43895,0.599026,[25 54] ; [4 5],[26.03409091 52.96590909] ; [2.96590909 6.03409091],0
v1,1,0.460158,0.545509,[47 35] ; [4 5],[45.95604396 36.04395604] ; [5.04395604 3.95604396],0
d5,1,0.472247,0.516714,[65 19] ; [6 3],[64.12903226 19.87096774] ; [6.87096774 2.12903226],0
n5,1,0.572286,0.318873,[54 29] ; [5 4],[53.22826087 29.77173913] ; [5.77173913 3.22826087],0
s2,1,0.582127,0.302808,[36 48] ; [3 6],[35.22580645 48.77419355] ; [3.77419355 5.22580645],0
d3,1,0.650694,0.205026,[44 40] ; [4 5],[43.35483871 40.64516129] ; [4.64516129 4.35483871],0
d1,1,0.650694,0.205026,[40 44] ; [5 4],[40.64516129 43.35483871] ; [4.35483871 4.64516129],0
a7,1,0.727524,0.121397,[51 33] ; [6 3],[51.48387097 32.51612903] ; [5.51612903 3.48387097],0
b5,1,0.779291,0.078536,[52 32] ; [6 3],[52.38709677 31.61290323] ; [5.61290323 3.38709677],0
s4,1,0.794076,0.068132,[12 72] ; [1 8],[11.74193548 72.25806452] ; [1.25806452 7.74193548],0
n4,1,0.839435,0.041053,[62 21] ; [7 2],[62.25 20.75] ; [6.75 2.25],0
a3,1,0.839435,0.041053,[62 21] ; [7 2],[62.25 20.75] ; [6.75 2.25],0
b2,1,0.875164,0.024681,[24 31] ; [2 3],[23.83333333 31.16666667] ; [2.16666667 2.83333333],0
b3,1,0.875164,0.024681,[24 31] ; [2 3],[23.83333333 31.16666667] ; [2.16666667 2.83333333],0
p9,1,0.892471,0.018273,[64 19] ; [6 2],[63.84615385 19.15384615] ; [6.15384615 1.84615385],0
s3,1,0.909664,0.012874,[45 39] ; [5 4],[45.16129032 38.83870968] ; [4.83870968 4.16129032],0
b4,1,0.909664,0.012874,[45 39] ; [5 4],[45.16129032 38.83870968] ; [4.83870968 4.16129032],0
a8,1,0.96964,0.001449,[ 9 69] ; [1 8],[ 8.96551724 69.03448276] ; [1.03448276 7.96551724],0
d2,1,0.993877,5.9e-05,[37 46] ; [4 5],[36.98913043 46.01086957] ; [4.01086957 4.98913043],0
