Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4.5e-05,16.667507,[ 4 21] ; [65 41],[13.16793893 11.83206107] ; [55.83206107 50.16793893],1
p7,1,0.000124,14.723375,[ 9 16] ; [81 26],[17.04545455  7.95454545] ; [72.95454545 34.04545455],1
v4,1,0.000613,11.737339,[19  6] ; [102   4],[23.09160305  1.90839695] ; [97.90839695  8.09160305],1
n4,1,0.000718,11.441418,[17  8] ; [99  8],[21.96969697  3.03030303] ; [94.03030303 12.96969697],1
n5,1,0.002285,9.305397,[16  9] ; [95 12],[21.02272727  3.97727273] ; [89.97727273 17.02272727],0
p4,1,0.002487,9.150163,[ 9 16] ; [74 34],[15.60150376  9.39849624] ; [67.39849624 40.60150376],0
p9,1,0.002961,8.831166,[17  8] ; [97 10],[21.59090909  3.40909091] ; [92.40909091 14.59090909],0
p10,1,0.006536,7.396338,[16  9] ; [93 14],[20.64393939  4.35606061] ; [88.35606061 18.64393939],0
p3,1,0.010723,6.510593,[ 9 16] ; [69 39],[14.66165414 10.33834586] ; [63.33834586 44.66165414],0
d3,1,0.025459,4.992419,[ 7 18] ; [57 51],[12.03007519 12.96992481] ; [51.96992481 56.03007519],0
n1,1,0.031922,4.602672,[9 1] ; [15 14],[6.15384615 3.84615385] ; [17.84615385 11.15384615],0
d4,1,0.032334,4.5807,[16  9] ; [89 18],[19.88636364  5.11363636] ; [85.11363636 21.88636364],0
s1,1,0.045284,4.008036,[ 3 22] ; [  3 105],[ 1.12781955 23.87218045] ; [  4.87218045 103.12781955],0
p1,1,0.056061,3.650237,[ 5 20] ; [  8 100],[ 2.44360902 22.55639098] ; [10.55639098 97.44360902],0
a8,1,0.109684,2.558768,[ 1 24] ; [17 87],[ 3.48837209 21.51162791] ; [14.51162791 89.48837209],0
p6,1,0.133458,2.251813,[ 8 17] ; [52 55],[11.36363636 13.63636364] ; [48.63636364 58.36363636],0
n6,1,0.133886,2.246853,[19  6] ; [93 13],[21.3740458  3.6259542] ; [90.6259542 15.3740458],0
s6,1,0.171387,1.87077,[18  7] ; [88 17],[20.38461538  4.61538462] ; [85.61538462 19.38461538],0
u3,1,0.236724,1.4,[4 1] ; [8 8],[2.85714286 2.14285714] ; [9.14285714 6.85714286],0
d5,1,0.24629,1.344225,[18  7] ; [88 19],[20.07575758  4.92424242] ; [85.92424242 21.07575758],0
v2,1,0.285532,1.140569,[ 9 14] ; [55 52],[11.32307692 11.67692308] ; [52.67692308 54.32307692],0
s5,1,0.297076,1.087275,[ 9 16] ; [49 54],[11.328125 13.671875] ; [46.671875 56.328125],0
a6,1,0.314705,1.010826,[11 14] ; [36 72],[ 8.83458647 16.16541353] ; [38.16541353 69.83458647],0
b1,1,0.324715,0.969861,[15 10] ; [53 55],[12.78195489 12.21804511] ; [55.21804511 52.78195489],0
p5,1,0.334521,0.931316,[ 2 21] ; [18 90],[ 3.51145038 19.48854962] ; [16.48854962 91.51145038],0
b4,1,0.337461,0.920053,[14 11] ; [49 59],[11.84210526 13.15789474] ; [51.15789474 56.84210526],0
r3,1,0.350994,0.869859,[23  2] ; [104   4],[23.87218045  1.12781955] ; [103.12781955   4.87218045],0
b3,1,0.361078,0.83414,[13  9] ; [37 40],[11.11111111 10.88888889] ; [38.88888889 38.11111111],0
b2,1,0.361078,0.83414,[13  9] ; [37 40],[11.11111111 10.88888889] ; [38.88888889 38.11111111],0
s2,1,0.361556,0.832481,[16  9] ; [79 29],[17.85714286  7.14285714] ; [77.14285714 30.85714286],0
d2,1,0.367182,0.813179,[15 10] ; [54 54],[12.96992481 12.03007519] ; [56.03007519 51.96992481],0
d1,1,0.381549,0.765705,[11 14] ; [58 50],[12.96992481 12.03007519] ; [56.03007519 51.96992481],0
v3,1,0.409125,0.681341,[ 9 14] ; [52 55],[10.79230769 12.20769231] ; [50.20769231 56.79230769],0
s4,1,0.42792,0.628463,[ 8 17] ; [26 81],[ 6.43939394 18.56060606] ; [27.56060606 79.43939394],0
p11,1,0.459944,0.54603,[19  6] ; [89 19],[20.30075188  4.69924812] ; [87.69924812 20.30075188],0
v1,1,0.470364,0.521121,[12 12] ; [61 44],[13.58139535 10.41860465] ; [59.41860465 45.58139535],0
a3,1,0.521719,0.410494,[20  5] ; [92 16],[21.05263158  3.94736842] ; [90.94736842 17.05263158],0
a2,1,0.565277,0.330649,[ 2 23] ; [13 95],[ 2.81954887 22.18045113] ; [12.18045113 95.81954887],0
r1,1,0.609055,0.261553,[18  7] ; [83 25],[18.98496241  6.01503759] ; [82.01503759 25.98496241],0
a5,1,0.609055,0.261553,[18  7] ; [83 25],[18.98496241  6.01503759] ; [82.01503759 25.98496241],0
s8,1,0.636252,0.223678,[19  6] ; [77 31],[18.04511278  6.95488722] ; [77.95488722 30.04511278],0
s3,1,0.682146,0.16772,[18  7] ; [82 26],[18.79699248  6.20300752] ; [81.20300752 26.79699248],0
n2,1,0.687098,0.162245,[9 2] ; [22  7],[8.525 2.475] ; [22.475  6.525],0
r4,1,0.691276,0.157708,[20  5] ; [90 18],[20.67669173  4.32330827] ; [89.32330827 18.67669173],0
u2,1,0.71714,0.13125,[3 2] ; [11  5],[3.33333333 1.66666667] ; [10.66666667  5.33333333],0
b5,1,0.747496,0.103647,[12 13] ; [48 60],[11.27819549 13.72180451] ; [48.72180451 59.27819549],0
a4,1,0.792034,0.069522,[13 12] ; [53 55],[12.40601504 12.59398496] ; [53.59398496 54.40601504],0
n3,1,0.795397,0.067241,[7 3] ; [19 10],[6.66666667 3.33333333] ; [19.33333333  9.66666667],0
u1,1,0.843019,0.039217,[ 2 23] ; [10 98],[ 2.2556391 22.7443609] ; [ 9.7443609 98.2556391],0
r2,1,0.938861,0.005883,[23  2] ; [98  8],[23.09160305  1.90839695] ; [97.90839695  8.09160305],0
u4,1,0.944046,0.004926,[ 1 24] ; [  4 104],[ 0.93984962 24.06015038] ; [  4.06015038 103.93984962],0
p12,1,0.9466,0.004486,[ 2 23] ; [ 9 98],[ 2.08333333 22.91666667] ; [ 8.91666667 98.08333333],0
