Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.017767,5.619013,[25 27] ; [11  2],[28.8 23.2] ; [7.2 5.8],0
p1,1,0.048249,3.90129,[ 5 47] ; [4 9],[ 7.2 44.8] ; [ 1.8 11.2],0
p3,1,0.101829,2.676657,[33 19] ; [5 8],[30.4 21.6] ; [7.6 5.4],0
v3,1,0.12328,2.375145,[22 29] ; [2 9],[19.74193548 31.25806452] ; [4.25806452 6.74193548],0
a6,1,0.132867,2.258687,[32 20] ; [5 8],[29.6 22.4] ; [7.4 5.6],0
s7,1,0.150122,2.071007,[40 11] ; [7 5],[38.04761905 12.95238095] ; [8.95238095 3.04761905],0
n1,1,0.153338,2.03873,[6 8] ; [4 1],[7.36842105 6.63157895] ; [2.63157895 2.36842105],0
n3,1,0.169202,1.89,[12  3] ; [3 3],[10.71428571  4.28571429] ; [4.28571429 1.71428571],0
r2,1,0.230316,1.43891,[43  5] ; [10  3],[41.70491803  6.29508197] ; [11.29508197  1.70491803],0
s1,1,0.254442,1.29875,[ 3 48] ; [ 2 11],[ 3.984375 47.015625] ; [ 1.015625 11.984375],0
d5,1,0.258922,1.27451,[40 12] ; [8 5],[38.4 13.6] ; [9.6 3.4],0
s3,1,0.258922,1.27451,[40 12] ; [8 5],[38.4 13.6] ; [9.6 3.4],0
d3,1,0.263779,1.248814,[29 23] ; [5 8],[27.2 24.8] ; [6.8 6.2],0
p8,1,0.289682,1.121099,[28 23] ; [5 8],[26.296875 24.703125] ; [6.703125 6.296875],0
a3,1,0.294405,1.099366,[36 16] ; [7 6],[34.4 17.6] ; [8.6 4.4],0
p7,1,0.340251,0.909487,[34 16] ; [7 6],[32.53968254 17.46031746] ; [8.46031746 4.53968254],0
s5,1,0.341319,0.905472,[14 30] ; [6 7],[15.43859649 28.56140351] ; [4.56140351 8.43859649],0
p4,1,0.363933,0.824275,[35 17] ; [7 6],[33.6 18.4] ; [8.4 4.6],0
a5,1,0.363933,0.824275,[35 17] ; [7 6],[33.6 18.4] ; [8.4 4.6],0
p10,1,0.377544,0.778683,[42  9] ; [12  1],[43.03125  7.96875] ; [10.96875  2.03125],0
v4,1,0.404987,0.693469,[47  4] ; [11  2],[46.21875  4.78125] ; [11.78125  1.21875],0
n2,1,0.445009,0.583333,[10  5] ; [5 1],[10.71428571  4.28571429] ; [4.28571429 1.71428571],0
d1,1,0.454121,0.560345,[30 22] ; [6 7],[28.8 23.2] ; [7.2 5.8],0
d4,1,0.461743,0.541667,[41 11] ; [9 4],[40. 12.] ; [10.  3.],0
a2,1,0.472607,0.515873,[ 8 44] ; [ 1 12],[ 7.2 44.8] ; [ 1.8 11.2],0
p6,1,0.479074,0.50097,[28 21] ; [6 7],[26.87096774 22.12903226] ; [7.12903226 5.87096774],0
n4,1,0.501676,0.451389,[37 15] ; [8 5],[36. 16.] ; [9. 4.],0
r4,1,0.501676,0.451389,[35 17] ; [10  3],[36. 16.] ; [9. 4.],0
n5,1,0.585465,0.297483,[36 16] ; [10  3],[36.8 15.2] ; [9.2 3.8],0
u3,1,0.59536,0.282051,[10  6] ; [3 3],[9.45454545 6.54545455] ; [3.54545455 2.45454545],0
b1,1,0.612597,0.25641,[20 32] ; [6 7],[20.8 31.2] ; [5.2 7.8],0
s2,1,0.672038,0.179228,[39 13] ; [9 4],[38.4 13.6] ; [9.6 3.4],0
s4,1,0.672038,0.179228,[13 39] ; [4 9],[13.6 38.4] ; [3.4 9.6],0
a7,1,0.705765,0.142544,[31 21] ; [7 6],[30.4 21.6] ; [7.6 5.4],0
p9,1,0.705765,0.142544,[46  6] ; [11  2],[45.6  6.4] ; [11.4  1.6],0
p5,1,0.74847,0.102821,[ 6 46] ; [ 1 11],[ 5.6875 46.3125] ; [ 1.3125 10.6875],0
n6,1,0.756495,0.096154,[42 10] ; [10  3],[41.6 10.4] ; [10.4  2.6],0
a4,1,0.795327,0.067288,[18 34] ; [5 8],[18.4 33.6] ; [4.6 8.4],0
p12,1,0.796356,0.066598,[ 3 49] ; [ 1 12],[ 3.2 48.8] ; [ 0.8 12.2],0
d2,1,0.802214,0.062741,[22 30] ; [6 7],[22.4 29.6] ; [5.6 7.4],0
u2,1,0.856417,0.032738,[10  6] ; [4 2],[10.18181818  5.81818182] ; [3.81818182 2.18181818],0
v2,1,0.86478,0.029,[27 24] ; [5 5],[26.75409836 24.24590164] ; [5.24590164 4.75409836],0
b5,1,0.897747,0.016514,[33 19] ; [8 5],[32.8 19.2] ; [8.2 4.8],0
s6,1,0.944501,0.004846,[38 12] ; [10  3],[38.0952381 11.9047619] ; [9.9047619 3.0952381],0
b2,1,1.0,0.0,[12 24] ; [4 8],[12. 24.] ; [4. 8.],0
v1,1,1.0,0.0,[25 25] ; [6 6],[25. 25.] ; [6. 6.],0
b3,1,1.0,0.0,[12 24] ; [4 8],[12. 24.] ; [4. 8.],0
