Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.3e-05,17.882369,[12  3] ; [11 41],[5.14925373 9.85074627] ; [17.85074627 34.14925373],1
s2,1,0.000221,13.642105,[11  4] ; [13 44],[ 5. 10.] ; [19. 38.],1
s6,1,0.000415,12.46237,[11  4] ; [14 43],[5.20833333 9.79166667] ; [19.79166667 37.20833333],1
p9,1,0.000759,11.339898,[14  1] ; [24 30],[8.26086957 6.73913043] ; [29.73913043 24.26086957],1
r3,1,0.000919,10.984499,[13  2] ; [22 35],[7.29166667 7.70833333] ; [27.70833333 29.29166667],1
p3,1,0.001245,10.422178,[9 6] ; [10 45],[ 4.07142857 10.92857143] ; [14.92857143 40.07142857],0
p6,1,0.001837,9.705495,[7 8] ; [ 6 48],[ 2.82608696 12.17391304] ; [10.17391304 43.82608696],0
p4,1,0.00295,8.838384,[11  4] ; [17 38],[6. 9.] ; [22. 33.],0
p10,1,0.006004,7.54902,[12  3] ; [22 33],[7.28571429 7.71428571] ; [26.71428571 28.28571429],0
s3,1,0.007591,7.127569,[10  5] ; [16 39],[5.57142857 9.42857143] ; [20.42857143 34.57142857],0
p2,1,0.010924,6.477672,[13  2] ; [27 27],[8.69565217 6.30434783] ; [31.30434783 22.69565217],0
p11,1,0.012711,6.208884,[12  3] ; [25 32],[7.70833333 7.29166667] ; [29.29166667 27.70833333],0
a5,1,0.016287,5.77166,[11  4] ; [22 35],[6.875 8.125] ; [26.125 30.875],0
v3,1,0.023773,5.111123,[6 9] ; [ 8 49],[ 2.91666667 12.08333333] ; [11.08333333 45.91666667],0
v2,1,0.029353,4.746792,[8 7] ; [13 41],[ 4.56521739 10.43478261] ; [16.43478261 37.56521739],0
p8,1,0.032623,4.565438,[7 8] ; [11 45],[ 3.8028169 11.1971831] ; [14.1971831 41.8028169],0
a3,1,0.037475,4.32871,[12  3] ; [28 28],[8.45070423 6.54929577] ; [31.54929577 24.45070423],0
n5,1,0.040205,4.209231,[14  1] ; [38 19],[10.83333333  4.16666667] ; [41.16666667 15.83333333],0
p7,1,0.054419,3.699789,[9 6] ; [18 37],[5.78571429 9.21428571] ; [21.21428571 33.78571429],0
n2,1,0.061949,3.484426,[6 1] ; [14 16],[3.78378378 3.21621622] ; [16.21621622 13.78378378],0
u3,1,0.079989,3.065134,[2 1] ; [ 6 23],[0.75 2.25] ; [ 7.25 21.75],0
n6,1,0.082849,3.008107,[12  3] ; [31 25],[9.08450704 5.91549296] ; [33.91549296 22.08450704],0
d4,1,0.14966,2.075713,[11  4] ; [30 27],[8.54166667 6.45833333] ; [32.45833333 24.54166667],0
v1,1,0.212317,1.555556,[7 7] ; [18 38],[5. 9.] ; [20. 36.],0
b4,1,0.215859,1.531689,[6 9] ; [33 24],[8.125 6.875] ; [30.875 26.125],0
n4,1,0.218258,1.515789,[12  3] ; [36 21],[10.  5.] ; [38. 19.],0
n1,1,0.242166,1.367938,[4 3] ; [10 20],[2.64864865 4.35135135] ; [11.35135135 18.64864865],0
p12,1,0.310253,1.029598,[ 1 14] ; [ 1 55],[ 0.42253521 14.57746479] ; [ 1.57746479 54.42253521],0
a8,1,0.325451,0.966915,[ 1 14] ; [ 1 53],[ 0.43478261 14.56521739] ; [ 1.56521739 52.43478261],0
d5,1,0.383988,0.757895,[9 6] ; [27 30],[7.5 7.5] ; [28.5 28.5],0
d2,1,0.395111,0.723156,[8 7] ; [23 33],[6.54929577 8.45070423] ; [24.45070423 31.54929577],0
a4,1,0.39529,0.722608,[6 9] ; [16 40],[ 4.64788732 10.35211268] ; [17.35211268 38.64788732],0
b3,1,0.494963,0.465719,[ 4 10] ; [14 22],[5.04 8.96] ; [12.96 23.04],0
b2,1,0.494963,0.465719,[ 4 10] ; [14 22],[5.04 8.96] ; [12.96 23.04],0
v4,1,0.50338,0.447804,[9 5] ; [31 26],[7.88732394 6.11267606] ; [32.11267606 24.88732394],0
s5,1,0.567771,0.326426,[ 3 12] ; [ 8 49],[ 2.29166667 12.70833333] ; [ 8.70833333 48.29166667],0
a2,1,0.586042,0.296568,[ 1 14] ; [ 2 55],[ 0.625 14.375] ; [ 2.375 54.625],0
r1,1,0.615228,0.252632,[ 3 12] ; [15 42],[ 3.75 11.25] ; [14.25 42.75],0
d3,1,0.622214,0.242768,[ 4 11] ; [19 38],[ 4.79166667 10.20833333] ; [18.20833333 38.79166667],0
