Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000103,15.078049,[10 61] ; [16 16],[17.9223301 53.0776699] ; [ 8.0776699 23.9223301],1
p7,1,0.057344,3.612575,[27 42] ; [19 13],[31.42574257 37.57425743] ; [14.57425743 17.42574257],0
v4,1,0.067085,3.352946,[59 11] ; [31  1],[61.76470588  8.23529412] ; [28.23529412  3.76470588],0
r2,1,0.080325,3.058306,[62  8] ; [24  8],[59.01960784 10.98039216] ; [26.98039216  5.01960784],0
a3,1,0.092727,2.826382,[32 38] ; [ 9 23],[28.1372549 41.8627451] ; [12.8627451 19.1372549],0
b2,1,0.151537,2.056709,[11 26] ; [ 2 15],[ 8.90740741 28.09259259] ; [ 4.09259259 12.90740741],0
b3,1,0.151537,2.056709,[11 26] ; [ 2 15],[ 8.90740741 28.09259259] ; [ 4.09259259 12.90740741],0
p9,1,0.167015,1.909536,[45 23] ; [16 15],[41.8989899 26.1010101] ; [19.1010101 11.8989899],0
p8,1,0.174706,1.84209,[21 49] ; [14 18],[24.01960784 45.98039216] ; [10.98039216 21.01960784],0
p6,1,0.17481,1.841199,[11 56] ; [ 9 23],[13.53535354 53.46464646] ; [ 6.46464646 25.53535354],0
a6,1,0.194925,1.68,[28 43] ; [17 15],[31.01941748 39.98058252] ; [13.98058252 18.01941748],0
d3,1,0.212781,1.552402,[39 31] ; [22 10],[41.8627451 28.1372549] ; [19.1372549 12.8627451],0
s6,1,0.24552,1.348617,[24 45] ; [15 17],[26.64356436 42.35643564] ; [12.35643564 19.64356436],0
a4,1,0.246666,1.34209,[13 58] ; [ 3 29],[11.02912621 59.97087379] ; [ 4.97087379 27.02912621],0
p2,1,0.283154,1.151892,[45 25] ; [24  8],[47.35294118 22.64705882] ; [21.64705882 10.35294118],0
v2,1,0.292854,1.106456,[28 40] ; [ 9 21],[25.67346939 42.32653061] ; [11.32653061 18.67346939],0
p1,1,0.31077,1.0274,[ 3 67] ; [ 3 29],[ 4.11764706 65.88235294] ; [ 1.88235294 30.11764706],0
u3,1,0.350904,0.870185,[20 19] ; [14  8],[21.73770492 17.26229508] ; [12.26229508  9.73770492],0
