Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000897,11.02864,[19  9] ; [ 89 161],[10.87769784 17.12230216] ; [ 97.12230216 152.87769784],1
s6,1,0.00168,9.869859,[27  1] ; [172  81],[19.82918149  8.17081851] ; [179.17081851  73.82918149],0
s3,1,0.002706,8.995733,[25  4] ; [143 106],[17.52517986 11.47482014] ; [150.47482014  98.52517986],0
s2,1,0.004281,8.160551,[24  5] ; [140 114],[16.80565371 12.19434629] ; [147.19434629 106.80565371],0
s7,1,0.085161,2.963537,[23  7] ; [144  94],[18.69402985 11.30597015] ; [148.30597015  89.69402985],0
s8,1,0.098345,2.732177,[21  9] ; [137 116],[16.74911661 13.25088339] ; [141.25088339 111.74911661],0
n4,1,0.147939,2.093377,[26  4] ; [241  16],[27.90940767  2.09059233] ; [239.09059233  17.90940767],0
p2,1,0.157727,1.995883,[28  2] ; [212  42],[25.35211268  4.64788732] ; [214.64788732  39.35211268],0
u1,1,0.21596,1.531014,[ 9 21] ; [ 52 205],[ 6.37630662 23.62369338] ; [ 54.62369338 202.37630662],0
p8,1,0.245884,1.346542,[20  9] ; [145 106],[17.08928571 11.91071429] ; [147.91071429 103.08928571],0
d1,1,0.265806,1.238265,[22  8] ; [162  95],[19.23344948 10.76655052] ; [164.76655052  92.23344948],0
b2,1,0.2999,1.074641,[ 4 10] ; [74 99],[5.83957219 8.16042781] ; [ 72.16042781 100.83957219],0
b3,1,0.2999,1.074641,[ 4 10] ; [74 99],[5.83957219 8.16042781] ; [ 72.16042781 100.83957219],0
d4,1,0.303686,1.057939,[27  3] ; [209  44],[25.01766784  4.98233216] ; [210.98233216  42.01766784],0
n3,1,0.306928,1.043848,[4 3] ; [34 11],[5.11538462 1.88461538] ; [32.88461538 12.11538462],0
p7,1,0.32364,0.97418,[23  6] ; [175  73],[20.72924188  8.27075812] ; [177.27075812  70.72924188],0
d3,1,0.344387,0.894034,[23  7] ; [174  81],[20.73684211  9.26315789] ; [176.26315789  78.73684211],0
p9,1,0.364065,0.823822,[28  2] ; [221  31],[26.4893617  3.5106383] ; [222.5106383  29.4893617],0
v2,1,0.381939,0.764453,[22  8] ; [202  50],[23.82978723  6.17021277] ; [200.17021277  51.82978723],0
p3,1,0.41177,0.673685,[20 10] ; [149 104],[17.91519435 12.08480565] ; [151.08480565 101.91519435],0
a3,1,0.415939,0.66176,[25  5] ; [195  59],[23.23943662  6.76056338] ; [196.76056338  57.23943662],0
p4,1,0.436619,0.605153,[22  8] ; [167  85],[20.10638298  9.89361702] ; [168.89361702  83.10638298],0
a7,1,0.448469,0.574519,[19 11] ; [178  76],[20.80985915  9.19014085] ; [176.19014085  77.80985915],0
a8,1,0.465111,0.533568,[ 3 25] ; [ 36 189],[ 4.31620553 23.68379447] ; [ 34.68379447 190.31620553],0
n1,1,0.476485,0.506897,[2 5] ; [18 24],[2.85714286 4.14285714] ; [17.14285714 24.85714286],0
p11,1,0.598896,0.276665,[26  4] ; [213  44],[24.9825784  5.0174216] ; [214.0174216  42.9825784],0
p12,1,0.602355,0.271459,[ 3 27] ; [ 34 220],[ 3.9084507 26.0915493] ; [ 33.0915493 220.9084507],0
d5,1,0.622196,0.242793,[26  4] ; [212  43],[25.05263158  4.94736842] ; [212.94736842  42.05263158],0
d2,1,0.62329,0.241271,[15 15] ; [139 115],[16.26760563 13.73239437] ; [137.73239437 116.26760563],0
p1,1,0.651572,0.203924,[ 3 27] ; [ 33 223],[ 3.77622378 26.22377622] ; [ 32.22377622 223.77622378],0
a4,1,0.65487,0.199816,[16 14] ; [125 130],[14.84210526 15.15789474] ; [126.15789474 128.84210526],0
a6,1,0.660552,0.192854,[19 11] ; [171  83],[20.07042254  9.92957746] ; [169.92957746  84.07042254],0
a1,1,0.672008,0.179262,[ 3 27] ; [ 20 237],[ 2.40418118 27.59581882] ; [ 20.59581882 236.40418118],0
b5,1,0.685909,0.16355,[16 14] ; [147 110],[17.03832753 12.96167247] ; [145.96167247 111.03832753],0
p10,1,0.714386,0.133935,[27  3] ; [221  31],[26.38297872  3.61702128] ; [221.61702128  30.38297872],0
p6,1,0.730945,0.118245,[13 16] ; [105 148],[12.13475177 16.86524823] ; [105.86524823 147.13475177],0
b4,1,0.730964,0.118228,[17 13] ; [154 103],[17.87456446 12.12543554] ; [153.12543554 103.87456446],0
r3,1,0.733239,0.116158,[29  1] ; [243  12],[28.63157895  1.36842105] ; [243.36842105  11.63157895],0
a2,1,0.81924,0.052223,[ 9 21] ; [ 72 185],[ 8.46689895 21.53310105] ; [ 72.53310105 184.46689895],0
n2,1,0.820278,0.051614,[6 1] ; [37  8],[5.78846154 1.21153846] ; [37.21153846  7.78846154],0
r1,1,0.830098,0.046043,[25  5] ; [218  39],[25.40069686  4.59930314] ; [217.59930314  39.40069686],0
p5,1,0.852822,0.034417,[ 5 25] ; [ 46 209],[ 5.36842105 24.63157895] ; [ 45.63157895 209.36842105],0
u2,1,0.853532,0.034082,[3 2] ; [34 27],[2.8030303 2.1969697] ; [34.1969697 26.8030303],0
s1,1,0.862449,0.030018,[ 1 29] ; [  7 245],[ 0.85106383 29.14893617] ; [  7.14893617 244.85106383],0
v1,1,0.925777,0.008679,[21  9] ; [175  78],[20.77738516  9.22261484] ; [175.22261484  77.77738516],0
u3,1,0.93273,0.007125,[3 2] ; [36 26],[2.91044776 2.08955224] ; [36.08955224 25.91044776],0
a5,1,0.933275,0.00701,[23  7] ; [198  58],[23.18181818  6.81818182] ; [197.81818182  58.18181818],0
b1,1,0.940771,0.005521,[12 18] ; [101 156],[11.81184669 18.18815331] ; [101.18815331 155.81184669],0
u4,1,0.947719,0.0043,[ 1 29] ; [  8 249],[ 0.94076655 29.05923345] ; [  8.05923345 248.94076655],0
n6,1,0.995676,2.9e-05,[28  2] ; [239  17],[28.00699301  1.99300699] ; [238.99300699  17.00699301],0
