Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.1e-05,18.085543,[24 83] ; [16  8],[32.67175573 74.32824427] ; [ 7.32824427 16.67175573],1
p7,1,2.6e-05,17.665556,[34 71] ; [19  5],[43.13953488 61.86046512] ; [ 9.86046512 14.13953488],1
p4,1,0.001757,9.787346,[27 79] ; [14 10],[33.43076923 72.56923077] ; [ 7.56923077 16.43076923],0
p8,1,0.001801,9.742309,[24 83] ; [13 11],[30.22137405 76.77862595] ; [ 6.77862595 17.22137405],0
p5,1,0.006692,7.353743,[  3 103] ; [ 4 20],[  5.70769231 100.29230769] ; [ 1.29230769 22.70769231],0
p2,1,0.009686,6.691817,[49 58] ; [18  6],[54.72519084 52.27480916] ; [12.27480916 11.72519084],0
r4,1,0.011764,6.346154,[60 48] ; [20  4],[65.45454545 42.54545455] ; [14.54545455  9.45454545],0
r3,1,0.027991,4.82864,[69 38] ; [21  3],[73.51145038 33.48854962] ; [16.48854962  7.51145038],0
s7,1,0.034531,4.468226,[17 86] ; [ 8 14],[20.6 82.4] ; [ 4.4 17.6],0
p10,1,0.046023,3.980737,[38 67] ; [14 10],[42.3255814 62.6744186] ; [ 9.6744186 14.3255814],0
p9,1,0.053989,3.713051,[42 61] ; [15  9],[46.22834646 56.77165354] ; [10.77165354 13.22834646],0
s8,1,0.058198,3.588018,[12 96] ; [ 6 17],[14.83969466 93.16030534] ; [ 3.16030534 19.83969466],0
r2,1,0.072453,3.226547,[84 20] ; [23  1],[86.9375 17.0625] ; [20.0625  3.9375],0
s4,1,0.072905,3.216374,[12 96] ; [ 6 18],[14.72727273 93.27272727] ; [ 3.27272727 20.72727273],0
n6,1,0.074043,3.191039,[59 48] ; [18  6],[62.89312977 44.10687023] ; [14.10687023  9.89312977],0
v2,1,0.123966,2.366488,[31 74] ; [11 13],[34.18604651 70.81395349] ; [ 7.81395349 16.18604651],0
b5,1,0.12932,2.300654,[63 45] ; [18  6],[66.27272727 41.72727273] ; [14.72727273  9.27272727],0
s6,1,0.133937,2.246264,[34 74] ; [11 12],[37.09923664 70.90076336] ; [ 7.90076336 15.09923664],0
u2,1,0.146352,2.109864,[13 29] ; [6 5],[15.05660377 26.94339623] ; [3.94339623 7.05660377],0
s5,1,0.153651,2.03563,[15 92] ; [ 6 17],[17.28461538 89.71538462] ; [ 3.71538462 19.28461538],0
r1,1,0.155342,2.018996,[63 43] ; [18  6],[66.04615385 39.95384615] ; [14.95384615  9.04615385],0
n3,1,0.172814,1.858365,[22 23] ; [6 2],[23.77358491 21.22641509] ; [4.22641509 3.77358491],0
v4,1,0.201204,1.633615,[80 26] ; [21  3],[82.35384615 23.64615385] ; [18.64615385  5.35384615],0
n4,1,0.243449,1.36051,[62 45] ; [17  7],[64.52671756 42.47328244] ; [14.47328244  9.52671756],0
a4,1,0.268105,1.226415,[40 66] ; [12 12],[42.4 63.6] ; [ 9.6 14.4],0
n5,1,0.277682,1.1784,[63 44] ; [17  7],[65.34351145 41.65648855] ; [14.65648855  9.34351145],0
d2,1,0.280364,1.165323,[45 62] ; [13 11],[47.3740458 59.6259542] ; [10.6259542 13.3740458],0
u3,1,0.296382,1.090405,[16 27] ; [6 5],[17.51851852 25.48148148] ; [4.48148148 6.51851852],0
a7,1,0.301074,1.069431,[70 37] ; [13 11],[67.79389313 39.20610687] ; [15.20610687  8.79389313],0
v1,1,0.307386,1.041873,[33 74] ; [10 14],[35.1221374 71.8778626] ; [ 7.8778626 16.1221374],0
d1,1,0.34332,0.897994,[47 61] ; [13 11],[49.09090909 58.90909091] ; [10.90909091 13.09090909],0
a8,1,0.447809,0.57619,[10 90] ; [ 1 20],[ 9.09090909 90.90909091] ; [ 1.90909091 19.09090909],0
p1,1,0.463936,0.536381,[  5 103] ; [ 2 22],[  5.72727273 102.27272727] ; [ 1.27272727 22.72727273],0
a2,1,0.47019,0.521529,[20 88] ; [ 6 18],[21.27272727 86.72727273] ; [ 4.72727273 19.27272727],0
s3,1,0.566503,0.328569,[25 81] ; [ 7 17],[26.09230769 79.90769231] ; [ 5.90769231 18.09230769],0
v3,1,0.608618,0.262192,[26 77] ; [ 7 16],[26.97619048 76.02380952] ; [ 6.02380952 16.97619048],0
a6,1,0.621014,0.244444,[60 48] ; [12 12],[58.90909091 49.09090909] ; [13.09090909 10.90909091],0
u1,1,0.62984,0.232278,[10 98] ; [ 3 21],[10.63636364 97.36363636] ; [ 2.36363636 21.63636364],0
a3,1,0.631764,0.229676,[65 40] ; [13 10],[63.984375 41.015625] ; [14.015625  8.984375],0
a5,1,0.647141,0.209524,[62 46] ; [15  9],[63. 45.] ; [14. 10.],0
n2,1,0.660689,0.192688,[26 22] ; [5 3],[26.57142857 21.42857143] ; [4.42857143 3.57142857],0
d4,1,0.6728,0.178345,[76 31] ; [16  8],[75.14503817 31.85496183] ; [16.85496183  7.14503817],0
n1,1,0.731881,0.117391,[20 26] ; [4 4],[20.44444444 25.55555556] ; [3.55555556 4.44444444],0
b4,1,0.74227,0.108141,[58 50] ; [12 12],[57.27272727 50.72727273] ; [12.72727273 11.27272727],0
b1,1,0.837287,0.042175,[56 52] ; [13 11],[56.45454545 51.54545455] ; [12.54545455 11.45454545],0
b2,1,0.865321,0.028766,[20 40] ; [5 9],[20.27027027 39.72972973] ; [4.72972973 9.27027027],0
b3,1,0.865321,0.028766,[20 40] ; [5 9],[20.27027027 39.72972973] ; [4.72972973 9.27027027],0
s1,1,0.914619,0.011495,[  5 102] ; [ 1 23],[  4.90076336 102.09923664] ; [ 1.09923664 22.90076336],0
d3,1,0.932498,0.007174,[60 48] ; [13 10],[60.18320611 47.81679389] ; [12.81679389 10.18320611],0
