Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.46487,[ 8 27] ; [30  7],[18.47222222 16.52777778] ; [19.52777778 17.47222222],1
a5,1,0.000387,12.593703,[14 21] ; [32  8],[21.46666667 13.53333333] ; [24.53333333 15.46666667],1
n2,1,0.005698,7.643382,[ 7 10] ; [14  2],[10.81818182  6.18181818] ; [10.18181818  5.81818182],0
a4,1,0.015329,5.878202,[ 8 27] ; [20 20],[13.06666667 21.93333333] ; [14.93333333 25.06666667],0
a6,1,0.033865,4.501488,[18 17] ; [30 10],[22.4 12.6] ; [25.6 14.4],0
a3,1,0.071297,3.252916,[18 17] ; [28 11],[21.75675676 13.24324324] ; [24.24324324 14.75675676],0
d5,1,0.090012,2.874167,[24 11] ; [34  6],[27.06666667  7.93333333] ; [30.93333333  9.06666667],0
v2,1,0.112132,2.52392,[12 22] ; [21 18],[15.36986301 18.63013699] ; [17.63013699 21.36986301],0
p9,1,0.138221,2.197654,[19 16] ; [27 11],[22.05479452 12.94520548] ; [23.94520548 14.05479452],0
p5,1,0.138984,2.189174,[ 2 31] ; [ 7 33],[ 4.06849315 28.93150685] ; [ 4.93150685 35.06849315],0
d2,1,0.228573,1.449722,[11 24] ; [18 22],[13.53333333 21.46666667] ; [15.46666667 24.53333333],0
n6,1,0.246069,1.345483,[17 18] ; [23 14],[19.44444444 15.55555556] ; [20.55555556 16.44444444],0
a2,1,0.24716,1.339286,[ 5 30] ; [10 30],[ 7. 28.] ; [ 8. 32.],0
u1,1,0.256458,1.287775,[ 3 32] ; [ 7 33],[ 4.66666667 30.33333333] ; [ 5.33333333 34.66666667],0
p3,1,0.281987,1.157487,[ 8 26] ; [14 26],[10.10810811 23.89189189] ; [11.89189189 28.10810811],0
s1,1,0.305937,1.048137,[ 4 31] ; [ 2 38],[ 2.8 32.2] ; [ 3.2 36.8],0
b3,1,0.331569,0.942761,[ 4 14] ; [ 8 14],[ 5.4 12.6] ; [ 6.6 15.4],0
b2,1,0.331569,0.942761,[ 4 14] ; [ 8 14],[ 5.4 12.6] ; [ 6.6 15.4],0
p1,1,0.332346,0.939734,[ 2 32] ; [ 5 35],[ 3.21621622 30.78378378] ; [ 3.78378378 36.21621622],0
n1,1,0.382797,0.761701,[ 4 13] ; [ 6 10],[ 5.15151515 11.84848485] ; [ 4.84848485 11.15151515],0
s7,1,0.385188,0.754079,[ 9 25] ; [13 23],[10.68571429 23.31428571] ; [11.31428571 24.68571429],0
s4,1,0.412543,0.67146,[ 8 27] ; [ 6 33],[ 6.62162162 28.37837838] ; [ 7.37837838 31.62162162],0
v3,1,0.451347,0.567266,[ 7 27] ; [11 28],[ 8.38356164 25.61643836] ; [ 9.61643836 29.38356164],0
r3,1,0.510541,0.432958,[24 11] ; [22 14],[22.67605634 12.32394366] ; [23.32394366 12.67605634],0
u2,1,0.515759,0.422366,[9 8] ; [4 6],[8.18518519 8.81481481] ; [4.81481481 5.18518519],0
s8,1,0.526106,0.401907,[ 6 29] ; [ 9 30],[ 7.09459459 27.90540541] ; [ 7.90540541 31.09459459],0
p2,1,0.526864,0.400437,[22 12] ; [23 17],[20.67567568 13.32432432] ; [24.32432432 15.67567568],0
u3,1,0.590826,0.289056,[ 6 11] ; [5 6],[ 6.67857143 10.32142857] ; [4.32142857 6.67857143],0
s6,1,0.597844,0.27826,[13 22] ; [16 21],[14.09722222 20.90277778] ; [14.90277778 22.09722222],0
p11,1,0.598241,0.277657,[18 17] ; [23 17],[19.13333333 15.86666667] ; [21.86666667 18.13333333],0
v4,1,0.609185,0.261364,[23 10] ; [23 13],[22. 11.] ; [24. 12.],0
