Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000139,14.520942,[ 5 11] ; [74 21],[11.38738739  4.61261261] ; [67.61261261 27.38738739],1
s3,1,0.000344,12.815412,[ 6 10] ; [76 19],[11.81981982  4.18018018] ; [70.18018018 24.81981982],1
d1,1,0.005849,7.596311,[ 4 12] ; [60 37],[9.0619469 6.9380531] ; [54.9380531 42.0619469],0
r2,1,0.006598,7.379251,[12  4] ; [92  5],[14.72566372  1.27433628] ; [89.27433628  7.72566372],0
r3,1,0.009659,6.696752,[13  3] ; [94  3],[15.15044248  0.84955752] ; [91.84955752  5.15044248],0
d2,1,0.010824,6.494062,[ 2 14] ; [45 52],[6.65486726 9.34513274] ; [40.34513274 56.65486726],0
s5,1,0.012273,6.270968,[ 3 12] ; [51 42],[7.5 7.5] ; [46.5 46.5],0
s7,1,0.018571,5.541496,[ 6 10] ; [66 31],[10.19469027  5.80530973] ; [61.80530973 35.19469027],0
s8,1,0.018673,5.53186,[ 4 12] ; [55 42],[8.3539823 7.6460177] ; [50.6460177 46.3539823],0
r4,1,0.034307,4.479319,[11  5] ; [86 11],[13.73451327  2.26548673] ; [83.26548673 13.73451327],0
r1,1,0.05781,3.599134,[9 7] ; [76 21],[12.03539823  3.96460177] ; [72.96460177 24.03539823],0
v4,1,0.073896,3.194286,[13  2] ; [94  3],[14.33035714  0.66964286] ; [92.66964286  4.33035714],0
p4,1,0.088243,2.906145,[7 9] ; [64 33],[10.05309735  5.94690265] ; [60.94690265 36.05309735],0
a3,1,0.112377,2.520465,[8 8] ; [68 29],[10.76106195  5.23893805] ; [65.23893805 31.76106195],0
v3,1,0.11396,2.498423,[ 2 14] ; [30 64],[ 4.65454545 11.34545455] ; [27.34545455 66.65454545],0
n6,1,0.140895,2.168156,[12  4] ; [85 11],[13.85714286  2.14285714] ; [83.14285714 12.85714286],0
u1,1,0.171008,1.874085,[ 1 15] ; [20 77],[ 2.97345133 13.02654867] ; [18.02654867 78.97345133],0
b4,1,0.172005,1.865377,[7 9] ; [60 37],[9.48672566 6.51327434] ; [57.51327434 39.48672566],0
d5,1,0.203326,1.618324,[10  6] ; [75 22],[12.03539823  3.96460177] ; [72.96460177 24.03539823],0
a6,1,0.21808,1.516959,[8 8] ; [64 33],[10.19469027  5.80530973] ; [61.80530973 35.19469027],0
p6,1,0.244434,1.354839,[ 5 11] ; [45 51],[7.14285714 8.85714286] ; [42.85714286 53.14285714],0
a5,1,0.270513,1.214145,[9 7] ; [68 29],[10.90265487  5.09734513] ; [66.09734513 30.90265487],0
b1,1,0.31125,1.025363,[7 9] ; [30 67],[ 5.23893805 10.76106195] ; [31.76106195 65.23893805],0
p7,1,0.329752,0.949872,[9 6] ; [68 26],[10.59633028  4.40366972] ; [66.40366972 27.59633028],0
a1,1,0.334297,0.932179,[ 1 15] ; [ 2 95],[ 0.42477876 15.57522124] ; [ 2.57522124 94.42477876],0
p3,1,0.375436,0.785592,[7 9] ; [54 43],[8.63716814 7.36283186] ; [52.36283186 44.63716814],0
a4,1,0.405896,0.69079,[ 5 11] ; [41 56],[6.51327434 9.48672566] ; [39.48672566 57.51327434],0
u3,1,0.423026,0.641893,[4 4] ; [19 10],[4.97297297 3.02702703] ; [18.02702703 10.97297297],0
p8,1,0.472919,0.515148,[8 8] ; [56 38],[9.30909091 6.69090909] ; [54.69090909 39.30909091],0
p10,1,0.477109,0.505464,[15  1] ; [85 12],[14.15929204  1.84070796] ; [85.84070796 11.15929204],0
b3,1,0.480827,0.496986,[ 2 11] ; [13 40],[ 2.95454545 10.04545455] ; [12.04545455 40.95454545],0
b2,1,0.480827,0.496986,[ 2 11] ; [13 40],[ 2.95454545 10.04545455] ; [12.04545455 40.95454545],0
a8,1,0.572655,0.31826,[ 1 15] ; [ 3 87],[ 0.60377358 15.39622642] ; [ 3.39622642 86.60377358],0
p9,1,0.611803,0.257558,[15  1] ; [87 10],[14.44247788  1.55752212] ; [87.55752212  9.44247788],0
b5,1,0.670071,0.18152,[9 7] ; [60 37],[9.7699115 6.2300885] ; [59.2300885 37.7699115],0
n5,1,0.69136,0.157617,[12  4] ; [77 20],[12.60176991  3.39823009] ; [76.39823009 20.60176991],0
v2,1,0.719757,0.128726,[8 8] ; [42 51],[7.33944954 8.66055046] ; [42.66055046 50.33944954],0
d3,1,0.750485,0.101124,[12  4] ; [69 28],[11.46902655  4.53097345] ; [69.53097345 27.46902655],0
a7,1,0.786214,0.073566,[10  6] ; [64 33],[10.47787611  5.52212389] ; [63.52212389 33.47787611],0
p2,1,0.823169,0.049939,[13  3] ; [81 16],[13.30973451  2.69026549] ; [80.69026549 16.30973451],0
d4,1,0.863444,0.029581,[13  3] ; [77 20],[12.74336283  3.25663717] ; [77.25663717 19.74336283],0
s1,1,0.863973,0.02935,[ 1 15] ; [ 5 91],[ 0.85714286 15.14285714] ; [ 5.14285714 90.85714286],0
n4,1,0.912937,0.011954,[11  5] ; [68 29],[11.18584071  4.81415929] ; [67.81415929 29.18584071],0
u2,1,0.931166,0.007461,[4 4] ; [15 14],[4.10810811 3.89189189] ; [14.89189189 14.10810811],0
v1,1,0.938493,0.005954,[8 8] ; [47 49],[7.85714286 8.14285714] ; [47.14285714 48.85714286],0
