Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.100379,2.699504,[1 4] ; [19 13],[2.7027027 2.2972973] ; [17.2972973 14.7027027],0
n4,1,0.149953,2.072727,[4 1] ; [15 18],[2.5 2.5] ; [16.5 16.5],0
p8,1,0.271879,1.20724,[3 2] ; [11 21],[1.89189189 3.10810811] ; [12.10810811 19.89189189],0
n6,1,0.282686,1.154132,[4 1] ; [18 15],[2.89473684 2.10526316] ; [19.10526316 13.89473684],0
a6,1,0.313628,1.015336,[2 3] ; [21 12],[3.02631579 1.97368421] ; [19.97368421 13.02631579],0
a5,1,0.313628,1.015336,[2 3] ; [21 12],[3.02631579 1.97368421] ; [19.97368421 13.02631579],0
p10,1,0.376504,0.782085,[4 1] ; [19 13],[3.10810811 1.89189189] ; [19.89189189 12.10810811],0
r3,1,0.379676,0.771751,[3 2] ; [25  7],[3.78378378 1.21621622] ; [24.21621622  7.78378378],0
p3,1,0.379676,0.771751,[2 3] ; [ 7 25],[1.21621622 3.78378378] ; [ 7.78378378 24.21621622],0
b4,1,0.384478,0.756336,[2 3] ; [20 13],[2.89473684 2.10526316] ; [19.10526316 13.89473684],0
d3,1,0.402154,0.701876,[4 1] ; [20 13],[3.15789474 1.84210526] ; [20.84210526 12.15789474],0
p2,1,0.402154,0.701876,[4 1] ; [20 13],[3.15789474 1.84210526] ; [20.84210526 12.15789474],0
p9,1,0.445885,0.58109,[4 1] ; [20 12],[3.24324324 1.75675676] ; [20.75675676 11.24324324],0
a1,1,0.458864,0.548663,[1 4] ; [ 3 30],[0.52631579 4.47368421] ; [ 3.47368421 29.52631579],0
p7,1,0.461384,0.542535,[3 2] ; [14 19],[2.23684211 2.76315789] ; [14.76315789 18.23684211],0
s6,1,0.461384,0.542535,[3 2] ; [14 19],[2.23684211 2.76315789] ; [14.76315789 18.23684211],0
v1,1,0.472301,0.516587,[1 4] ; [12 21],[1.71052632 3.28947368] ; [11.28947368 21.71052632],0
d1,1,0.472301,0.516587,[1 4] ; [12 21],[1.71052632 3.28947368] ; [11.28947368 21.71052632],0
v2,1,0.497727,0.459779,[3 2] ; [14 18],[2.2972973 2.7027027] ; [14.7027027 17.2972973],0
b1,1,0.631299,0.230303,[3 2] ; [16 17],[2.5 2.5] ; [16.5 16.5],0
d5,1,0.635934,0.2241,[4 1] ; [23 10],[3.55263158 1.44736842] ; [23.44736842  9.55263158],0
d2,1,0.635934,0.2241,[1 4] ; [10 23],[1.44736842 3.55263158] ; [ 9.55263158 23.44736842],0
p11,1,0.635934,0.2241,[4 1] ; [23 10],[3.55263158 1.44736842] ; [23.44736842  9.55263158],0
u2,1,0.6885,0.160714,[3 1] ; [9 5],[2.66666667 1.33333333] ; [9.33333333 4.66666667],0
p4,1,0.723264,0.125387,[2 3] ; [16 17],[2.36842105 2.63157895] ; [15.63157895 17.36842105],0
d4,1,0.730731,0.118442,[4 1] ; [24  9],[3.68421053 1.31578947] ; [24.31578947  8.68421053],0
a4,1,0.76966,0.085744,[2 3] ; [11 22],[1.71052632 3.28947368] ; [11.28947368 21.71052632],0
u3,1,0.799846,0.064286,[2 2] ; [6 8],[1.77777778 2.22222222] ; [6.22222222 7.77777778],0
s2,1,0.805047,0.060921,[1 4] ; [ 5 27],[0.81081081 4.18918919] ; [ 5.18918919 26.81081081],0
b2,1,0.80725,0.059524,[1 3] ; [ 5 11],[1.2 2.8] ; [ 4.8 11.2],0
b3,1,0.80725,0.059524,[1 3] ; [ 5 11],[1.2 2.8] ; [ 4.8 11.2],0
s3,1,0.808514,0.05873,[1 4] ; [ 8 24],[1.21621622 3.78378378] ; [ 7.78378378 24.21621622],0
p6,1,0.808514,0.05873,[1 4] ; [ 8 24],[1.21621622 3.78378378] ; [ 7.78378378 24.21621622],0
s7,1,0.840344,0.040584,[1 4] ; [ 7 22],[1.17647059 3.82352941] ; [ 6.82352941 22.17647059],0
b5,1,0.979387,0.000668,[3 2] ; [20 13],[3.02631579 1.97368421] ; [19.97368421 13.02631579],0
