Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3.6e-05,17.048989,[4 1] ; [ 6 53],[0.78125 4.21875] ; [ 9.21875 49.78125],1
s7,1,0.00046,12.272727,[4 1] ; [ 8 47],[1. 4.] ; [11. 44.],1
p9,1,0.003096,8.750282,[4 1] ; [12 47],[1.25 3.75] ; [14.75 44.25],0
p4,1,0.005893,7.582787,[4 1] ; [14 47],[1.36363636 3.63636364] ; [16.63636364 44.36363636],0
s6,1,0.011897,6.326215,[4 1] ; [16 45],[1.51515152 3.48484848] ; [18.48484848 42.51515152],0
s3,1,0.01762,5.633568,[4 1] ; [17 43],[1.61538462 3.38461538] ; [19.38461538 40.61538462],0
p3,1,0.029444,4.74148,[3 2] ; [11 49],[1.07692308 3.92307692] ; [12.92307692 47.07692308],0
v2,1,0.032463,4.573877,[4 1] ; [19 40],[1.796875 3.203125] ; [21.203125 37.796875],0
d1,1,0.053248,3.736116,[4 1] ; [22 39],[1.96969697 3.03030303] ; [24.03030303 36.96969697],0
r3,1,0.088794,2.896099,[4 1] ; [24 35],[2.1875 2.8125] ; [25.8125 33.1875],0
d2,1,0.088794,2.896099,[4 1] ; [24 35],[2.1875 2.8125] ; [25.8125 33.1875],0
p11,1,0.132843,2.258959,[3 2] ; [17 44],[1.51515152 3.48484848] ; [18.48484848 42.51515152],0
s4,1,0.145324,2.120656,[2 3] ; [ 9 52],[0.83333333 4.16666667] ; [10.16666667 50.83333333],0
a5,1,0.162852,1.947541,[4 1] ; [29 32],[2.5 2.5] ; [30.5 30.5],0
a4,1,0.230873,1.435473,[3 2] ; [20 40],[1.76923077 3.23076923] ; [21.23076923 38.76923077],0
n5,1,0.249121,1.328225,[4 1] ; [32 28],[2.76923077 2.23076923] ; [33.23076923 26.76923077],0
u1,1,0.274796,1.192647,[1 4] ; [ 4 57],[0.37878788 4.62121212] ; [ 4.62121212 56.37878788],0
d5,1,0.322596,0.978394,[4 1] ; [35 26],[2.95454545 2.04545455] ; [36.04545455 24.95454545],0
s5,1,0.325373,0.967224,[1 2] ; [ 8 53],[0.421875 2.578125] ; [ 8.578125 52.421875],0
v1,1,0.326931,0.961017,[2 2] ; [16 43],[1.14285714 2.85714286] ; [16.85714286 42.14285714],0
u3,1,0.399075,0.711111,[1 1] ; [ 7 23],[0.5 1.5] ; [ 7.5 22.5],0
a2,1,0.574468,0.315263,[1 4] ; [ 7 54],[0.60606061 4.39393939] ; [ 7.39393939 53.60606061],0
a6,1,0.592021,0.287199,[2 3] ; [32 29],[2.57575758 2.42424242] ; [31.42424242 29.57575758],0
d3,1,0.641802,0.216393,[3 2] ; [30 31],[2.5 2.5] ; [30.5 30.5],0
b4,1,0.641802,0.216393,[2 3] ; [31 30],[2.5 2.5] ; [30.5 30.5],0
b2,1,0.684687,0.164897,[1 3] ; [13 24],[1.36585366 2.63414634] ; [12.63414634 24.36585366],0
b3,1,0.684687,0.164897,[1 3] ; [13 24],[1.36585366 2.63414634] ; [12.63414634 24.36585366],0
p7,1,0.744502,0.106209,[1 4] ; [16 44],[1.30769231 3.69230769] ; [15.69230769 44.30769231],0
a3,1,0.748324,0.102944,[3 2] ; [31 28],[2.65625 2.34375] ; [31.34375 27.65625],0
a1,1,0.753126,0.098923,[1 4] ; [ 9 52],[0.75757576 4.24242424] ; [ 9.24242424 51.75757576],0
p8,1,0.848536,0.036476,[1 4] ; [10 50],[0.84615385 4.15384615] ; [10.15384615 49.84615385],0
a7,1,0.860257,0.030993,[2 3] ; [26 33],[2.1875 2.8125] ; [25.8125 33.1875],0
n4,1,0.942077,0.005279,[3 2] ; [35 25],[2.92307692 2.07692308] ; [35.07692308 24.92307692],0
b1,1,0.965697,0.00185,[3 2] ; [36 25],[2.95454545 2.04545455] ; [36.04545455 24.95454545],0
v3,1,1.0,0.0,[1 4] ; [12 48],[1. 4.] ; [12. 48.],0
