Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000149,14.380847,[ 6 31] ; [10  4],[11.60784314 25.39215686] ; [4.39215686 9.60784314],1
p2,1,0.000844,11.140954,[10 27] ; [11  3],[15.23529412 21.76470588] ; [5.76470588 8.23529412],1
r2,1,0.001275,10.378439,[15 22] ; [12  1],[19.98 17.02] ; [7.02 5.98],0
r1,1,0.001517,10.057536,[ 9 29] ; [10  4],[13.88461538 24.11538462] ; [5.11538462 8.88461538],0
d4,1,0.007542,7.139236,[20 18] ; [13  1],[24.11538462 13.88461538] ; [8.88461538 5.11538462],0
d5,1,0.008315,6.964322,[17 21] ; [12  2],[21.19230769 16.80769231] ; [7.80769231 6.19230769],0
s3,1,0.026505,4.92278,[ 9 28] ; [8 6],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
p9,1,0.031971,4.600064,[14 23] ; [10  4],[17.41176471 19.58823529] ; [6.58823529 7.41176471],0
s6,1,0.080021,3.06448,[ 8 30] ; [6 7],[10.43137255 27.56862745] ; [3.56862745 9.43137255],0
p8,1,0.080021,3.06448,[ 7 30] ; [6 8],[ 9.43137255 27.56862745] ; [ 3.56862745 10.43137255],0
n6,1,0.090277,2.86943,[14 23] ; [9 5],[16.68627451 20.31372549] ; [6.31372549 7.68627451],0
p6,1,0.130506,2.28647,[ 4 32] ; [ 4 10],[ 5.76 30.24] ; [ 2.24 11.76],0
n1,1,0.148795,2.084559,[ 6 11] ; [3 1],[7.28571429 9.71428571] ; [1.71428571 2.28571429],0
s8,1,0.175433,1.835894,[ 3 35] ; [ 3 11],[ 4.38461538 33.61538462] ; [ 1.61538462 12.38461538],0
d3,1,0.188742,1.727409,[14 24] ; [8 6],[16.07692308 21.92307692] ; [5.92307692 8.07692308],0
p11,1,0.188742,1.727409,[14 24] ; [8 6],[16.07692308 21.92307692] ; [5.92307692 8.07692308],0
u3,1,0.212317,1.555556,[ 2 19] ; [2 5],[ 3. 18.] ; [1. 6.],0
b3,1,0.250592,1.32,[ 7 18] ; [4 4],[ 8.33333333 16.66666667] ; [2.66666667 5.33333333],0
b2,1,0.250592,1.32,[ 7 18] ; [4 4],[ 8.33333333 16.66666667] ; [2.66666667 5.33333333],0
a8,1,0.256329,1.288475,[ 4 34] ; [ 3 10],[ 5.21568627 32.78431373] ; [ 1.78431373 11.21568627],0
b5,1,0.2788,1.172932,[18 20] ; [9 5],[19.73076923 18.26923077] ; [7.26923077 6.73076923],0
v3,1,0.306928,1.043848,[ 4 34] ; [ 3 11],[ 5.11538462 32.88461538] ; [ 1.88461538 12.11538462],0
p10,1,0.331887,0.941521,[13 24] ; [7 7],[14.50980392 22.49019608] ; [5.49019608 8.50980392],0
p4,1,0.342895,0.899577,[11 27] ; [6 8],[12.42307692 25.57692308] ; [4.57692308 9.42307692],0
n5,1,0.342895,0.899577,[27 11] ; [8 6],[25.57692308 12.42307692] ; [9.42307692 4.57692308],0
n4,1,0.375717,0.78467,[25 13] ; [11  3],[26.30769231 11.69230769] ; [9.69230769 4.30769231],0
p12,1,0.417121,0.658411,[ 1 37] ; [ 1 12],[ 1.49019608 36.50980392] ; [ 0.50980392 12.49019608],0
a6,1,0.42707,0.630777,[17 21] ; [8 6],[18.26923077 19.73076923] ; [6.73076923 7.26923077],0
a7,1,0.42707,0.630777,[17 21] ; [8 6],[18.26923077 19.73076923] ; [6.73076923 7.26923077],0
d1,1,0.448292,0.574967,[12 26] ; [6 8],[13.15384615 24.84615385] ; [4.84615385 9.15384615],0
v1,1,0.568134,0.325815,[ 8 30] ; [ 4 10],[ 8.76923077 29.23076923] ; [ 3.23076923 10.76923077],0
s5,1,0.638855,0.220243,[ 4 34] ; [ 2 11],[ 4.47058824 33.52941176] ; [ 1.52941176 11.47058824],0
d2,1,0.66519,0.18728,[16 21] ; [7 7],[16.68627451 20.31372549] ; [6.31372549 7.68627451],0
p3,1,0.718094,0.130326,[ 9 29] ; [ 4 10],[ 9.5 28.5] ; [ 3.5 10.5],0
s2,1,0.726614,0.122244,[ 7 31] ; [ 2 12],[ 6.57692308 31.42307692] ; [ 2.42307692 11.57692308],0
a4,1,0.790864,0.070325,[12 25] ; [ 4 10],[11.60784314 25.39215686] ; [4.39215686 9.60784314],0
a3,1,0.795749,0.067005,[17 20] ; [7 7],[17.41176471 19.58823529] ; [6.58823529 7.41176471],0
u2,1,0.801059,0.063492,[ 5 16] ; [2 5],[ 5.25 15.75] ; [1.75 5.25],0
p7,1,0.834895,0.043442,[12 26] ; [ 4 10],[11.69230769 26.30769231] ; [4.30769231 9.69230769],0
b1,1,0.866214,0.028382,[18 20] ; [7 7],[18.26923077 19.73076923] ; [6.73076923 7.26923077],0
p5,1,0.908903,0.013092,[ 3 34] ; [ 1 13],[ 2.90196078 34.09803922] ; [ 1.09803922 12.90196078],0
a2,1,0.928087,0.008145,[ 3 35] ; [ 1 13],[ 2.92307692 35.07692308] ; [ 1.07692308 12.92307692],0
b4,1,0.961176,0.00237,[22 16] ; [8 6],[21.92307692 16.07692308] ; [8.07692308 5.92307692],0
a5,1,1.0,0.0,[19 19] ; [7 7],[19. 19.] ; [7. 7.],0
