Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.009984,6.637781,[94  9] ; [26  9],[89.56521739 13.43478261] ; [30.43478261  4.56521739],0
b5,1,0.040059,4.2154,[70 33] ; [17 18],[64.93478261 38.06521739] ; [22.06521739 12.93478261],0
s5,1,0.041233,4.166402,[39 61] ; [ 7 28],[34.07407407 65.92592593] ; [11.92592593 23.07407407],0
d5,1,0.057805,3.599273,[83 20] ; [22 12],[78.94160584 24.05839416] ; [26.05839416  7.94160584],0
s8,1,0.059672,3.546464,[35 68] ; [ 6 29],[30.60144928 72.39855072] ; [10.39855072 24.60144928],0
p4,1,0.074382,3.183562,[62 41] ; [15 20],[57.47101449 45.52898551] ; [19.52898551 15.47101449],0
s4,1,0.074769,3.175099,[22 77] ; [ 3 32],[18.47014925 80.52985075] ; [ 6.52985075 28.47014925],0
v4,1,0.15847,1.988761,[98  5] ; [30  4],[96.23357664  6.76642336] ; [31.76642336  2.23357664],0
b1,1,0.176725,1.824955,[34 69] ; [16 19],[37.31884058 65.68115942] ; [12.68115942 22.31884058],0
a7,1,0.232488,1.425577,[82 20] ; [24 10],[79.5 22.5] ; [26.5  7.5],0
a2,1,0.234441,1.41371,[21 82] ; [ 4 31],[18.65942029 84.34057971] ; [ 6.34057971 28.65942029],0
n6,1,0.268541,1.224186,[82 20] ; [25 10],[79.66423358 22.33576642] ; [27.33576642  7.66423358],0
s3,1,0.268541,1.224186,[82 20] ; [25 10],[79.66423358 22.33576642] ; [27.33576642  7.66423358],0
r3,1,0.27487,1.192279,[99  4] ; [32  3],[97.77536232  5.22463768] ; [33.22463768  1.77536232],0
a8,1,0.278422,1.174774,[ 8 89] ; [ 5 29],[ 9.6259542 87.3740458] ; [ 3.3740458 30.6259542],0
d3,1,0.279166,1.171148,[71 32] ; [20 14],[68.41605839 34.58394161] ; [22.58394161 11.41605839],0
a6,1,0.280271,1.165775,[72 31] ; [21 14],[69.41304348 33.58695652] ; [23.58695652 11.41304348],0
p8,1,0.283856,1.148535,[49 54] ; [13 22],[46.27536232 56.72463768] ; [15.72463768 19.27536232],0
d4,1,0.284033,1.147691,[90 13] ; [28  7],[88.07246377 14.92753623] ; [29.92753623  5.07246377],0
u1,1,0.301704,1.066647,[16 87] ; [ 3 32],[14.18115942 88.81884058] ; [ 4.81884058 30.18115942],0
p9,1,0.313094,1.017578,[83 18] ; [26  9],[80.94852941 20.05147059] ; [28.05147059  6.94852941],0
u2,1,0.344484,0.893672,[23 19] ; [ 7 10],[21.3559322 20.6440678] ; [8.6440678 8.3559322],0
a4,1,0.371841,0.797503,[38 65] ; [10 25],[35.82608696 67.17391304] ; [12.17391304 22.82608696],0
a5,1,0.390552,0.737222,[70 33] ; [21 14],[67.92028986 35.07971014] ; [23.07971014 11.92028986],0
u3,1,0.423672,0.640106,[24 17] ; [8 9],[22.62068966 18.37931034] ; [9.37931034 7.62068966],0
s1,1,0.429077,0.62532,[  1 100] ; [ 1 34],[ 1.48529412 99.51470588] ; [ 0.51470588 34.48529412],0
a3,1,0.481709,0.494992,[60 43] ; [18 17],[58.2173913 44.7826087] ; [19.7826087 15.2173913],0
n5,1,0.493784,0.468271,[64 39] ; [24 11],[65.68115942 37.31884058] ; [22.31884058 12.68115942],0
b3,1,0.513869,0.426181,[13 35] ; [ 7 13],[14.11764706 33.88235294] ; [ 5.88235294 14.11764706],0
b2,1,0.513869,0.426181,[13 35] ; [ 7 13],[14.11764706 33.88235294] ; [ 5.88235294 14.11764706],0
v1,1,0.520334,0.41323,[49 50] ; [19 15],[50.61654135 48.38345865] ; [17.38345865 16.61654135],0
n4,1,0.561856,0.3365,[62 41] ; [23 12],[63.44202899 39.55797101] ; [21.55797101 13.44202899],0
n3,1,0.601508,0.272727,[14  8] ; [8 3],[14.66666667  7.33333333] ; [7.33333333 3.66666667],0
d1,1,0.615917,0.251648,[58 45] ; [18 17],[56.72463768 46.27536232] ; [19.27536232 15.72463768],0
