Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,50.576504,[15 31] ; [120  19],[33.56756757 12.43243243] ; [101.43243243  37.56756757],1
s7,1,0.000108,15.0,[27 18] ; [117  18],[36.  9.] ; [108.  27.],1
s6,1,0.000294,13.110827,[32 14] ; [124  12],[39.42857143  6.57142857] ; [116.57142857  19.42857143],1
s5,1,0.00131,10.328382,[14 31] ; [76 53],[23.27586207 21.72413793] ; [66.72413793 62.27586207],0
n1,1,0.007842,7.069281,[1 7] ; [16  8],[4.25 3.75] ; [12.75 11.25],0
n2,1,0.012866,6.1875,[3 6] ; [19  5],[6. 3.] ; [16.  8.],0
a3,1,0.015127,5.901611,[30 17] ; [112  26],[36.07567568 10.92432432] ; [105.92432432  32.07567568],0
a2,1,0.022505,5.206285,[ 6 41] ; [41 98],[11.87634409 35.12365591] ; [ 35.12365591 103.87634409],0
b4,1,0.034161,4.486628,[33 14] ; [73 66],[26.78494624 20.21505376] ; [79.21505376 59.78494624],0
u3,1,0.043341,4.082043,[9 8] ; [22  5],[11.97727273  5.02272727] ; [19.02272727  7.97727273],0
a4,1,0.063445,3.444972,[18 29] ; [75 64],[23.5 23.5] ; [69.5 69.5],0
u1,1,0.093266,2.817078,[ 8 39] ; [41 98],[12.38172043 34.61827957] ; [ 36.61827957 102.38172043],0
n4,1,0.122964,2.379161,[44  3] ; [118  21],[40.93548387  6.06451613] ; [121.06451613  17.93548387],0
r2,1,0.153426,2.037856,[43  3] ; [134   3],[44.49180328  1.50819672] ; [132.50819672   4.49180328],0
s4,1,0.158327,1.990129,[ 7 40] ; [ 34 103],[10.47282609 36.52717391] ; [ 30.52717391 106.47282609],0
p3,1,0.165869,1.919884,[28 19] ; [98 41],[31.83870968 15.16129032] ; [94.16129032 44.83870968],0
b1,1,0.176191,1.829466,[16 31] ; [63 76],[19.96236559 27.03763441] ; [59.03763441 79.96236559],0
a6,1,0.192037,1.701917,[26 21] ; [91 47],[29.72432432 17.27567568] ; [87.27567568 50.72432432],0
p12,1,0.207012,1.592202,[ 4 41] ; [ 23 116],[ 6.60326087 38.39673913] ; [ 20.39673913 118.60326087],0
d3,1,0.239033,1.386288,[31 16] ; [104  35],[34.11290323 12.88709677] ; [100.88709677  38.11290323],0
d1,1,0.251386,1.315582,[30 17] ; [101  38],[33.10215054 13.89784946] ; [97.89784946 41.10215054],0
p10,1,0.266833,1.232956,[39  7] ; [126  13],[41.02702703  4.97297297] ; [123.97297297  15.02702703],0
v4,1,0.275013,1.191572,[44  3] ; [135   4],[45.2311828  1.7688172] ; [133.7688172   5.2311828],0
p11,1,0.301619,1.067022,[41  6] ; [112  27],[38.66129032  8.33870968] ; [114.33870968  24.66129032],0
a1,1,0.325402,0.96711,[ 2 45] ; [ 12 127],[ 3.53763441 43.46236559] ; [ 10.46236559 128.53763441],0
p4,1,0.351025,0.869747,[41  6] ; [113  26],[38.91397849  8.08602151] ; [115.08602151  23.91397849],0
p9,1,0.36293,0.82773,[42  4] ; [132   7],[43.26486486  2.73513514] ; [130.73513514   8.26486486],0
s1,1,0.408115,0.684287,[ 1 45] ; [  7 132],[ 1.98918919 44.01081081] ; [  6.01081081 132.98918919],0
d2,1,0.433533,0.61334,[25 22] ; [83 56],[27.29032258 19.70967742] ; [80.70967742 58.29032258],0
a5,1,0.463093,0.538408,[37 10] ; [116  23],[38.66129032  8.33870968] ; [114.33870968  24.66129032],0
r4,1,0.478335,0.502658,[45  2] ; [129  10],[43.96774194  3.03225806] ; [130.03225806   8.96774194],0
a8,1,0.480454,0.497833,[ 6 36] ; [ 25 106],[ 7.52601156 34.47398844] ; [ 23.47398844 107.52601156],0
b3,1,0.556428,0.345926,[15 19] ; [47 47],[16.46875 17.53125] ; [45.53125 48.46875],0
b2,1,0.556428,0.345926,[15 19] ; [47 47],[16.46875 17.53125] ; [45.53125 48.46875],0
p2,1,0.606274,0.265636,[41  6] ; [125  14],[41.94623656  5.05376344] ; [124.05376344  14.94623656],0
v2,1,0.614275,0.253997,[28 19] ; [86 49],[29.43956044 17.56043956] ; [84.56043956 50.43956044],0
p5,1,0.649223,0.206882,[ 9 38] ; [ 31 108],[10.10752688 36.89247312] ; [ 29.89247312 109.10752688],0
n6,1,0.690491,0.158554,[42  5] ; [126  12],[42.68108108  4.31891892] ; [125.31891892  12.68108108],0
v3,1,0.721651,0.126916,[23 24] ; [62 73],[21.95054945 25.04945055] ; [63.04945055 71.95054945],0
d4,1,0.723359,0.125297,[41  6] ; [123  15],[41.66486486  5.33513514] ; [122.33513514  15.66486486],0
d5,1,0.748634,0.102683,[40  7] ; [120  18],[40.64864865  6.35135135] ; [119.35135135  18.64864865],0
p8,1,0.784651,0.074673,[33 12] ; [99 40],[32.2826087 12.7173913] ; [99.7173913 39.2826087],0
r1,1,0.796264,0.06666,[39  8] ; [113  26],[38.40860215  8.59139785] ; [113.59139785  25.40860215],0
n3,1,0.816571,0.053804,[6 3] ; [17  7],[6.27272727 2.72727273] ; [16.72727273  7.27272727],0
v1,1,0.820642,0.051402,[32 15] ; [95 41],[32.61748634 14.38251366] ; [94.38251366 41.61748634],0
p7,1,0.847771,0.03685,[38  8] ; [114  22],[38.41758242  7.58241758] ; [113.58241758  22.41758242],0
a7,1,0.849456,0.036029,[32 15] ; [96 42],[32.51891892 14.48108108] ; [95.48108108 42.51891892],0
u2,1,0.893716,0.01785,[11  6] ; [18  9],[11.20454545  5.79545455] ; [17.79545455  9.20454545],0
