Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,51.352038,[104   6] ; [ 5 12],[94.40944882 15.59055118] ; [14.59055118  2.40944882],1
d1,1,0.0,34.327513,[85 25] ; [ 1 16],[74.48818898 35.51181102] ; [11.51181102  5.48818898],1
d3,1,0.000908,11.005576,[87 23] ; [ 7 10],[81.41732283 28.58267717] ; [12.58267717  4.41732283],1
a3,1,0.001566,9.999683,[93 16] ; [9 8],[88.23809524 20.76190476] ; [13.76190476  3.23809524],0
s1,1,0.006645,7.366521,[  1 107] ; [ 2 15],[  2.592 105.408] ; [ 0.408 16.592],0
d2,1,0.006785,7.329147,[64 45] ; [ 4 13],[58.82539683 50.17460317] ; [9.17460317 7.82539683],0
a4,1,0.014255,6.006282,[61 49] ; [ 4 13],[56.2992126 53.7007874] ; [8.7007874 8.2992126],0
a5,1,0.017439,5.651624,[96 14] ; [11  6],[92.67716535 17.32283465] ; [14.32283465  2.67716535],0
p2,1,0.038858,4.267057,[97 12] ; [12  5],[94.29365079 14.70634921] ; [14.70634921  2.29365079],0
u1,1,0.042283,4.123821,[32 78] ; [ 1 16],[28.58267717 81.41732283] ; [ 4.41732283 12.58267717],0
s2,1,0.043272,4.084727,[88 21] ; [10  7],[84.77777778 24.22222222] ; [13.22222222  3.77777778],0
p4,1,0.045751,3.990739,[87 21] ; [10  7],[83.808 24.192] ; [13.192  3.808],0
v1,1,0.056355,3.641546,[82 27] ; [9 8],[78.72222222 30.27777778] ; [12.27777778  4.72222222],0
s3,1,0.087411,2.921418,[81 25] ; [9 7],[78.19672131 27.80327869] ; [11.80327869  4.19672131],0
a2,1,0.090357,2.868008,[35 75] ; [ 2 15],[32.04724409 77.95275591] ; [ 4.95275591 12.04724409],0
s6,1,0.117765,2.44679,[97 12] ; [12  4],[95.048 13.952] ; [13.952  2.048],0
s8,1,0.144762,2.126593,[77 32] ; [9 8],[74.3968254 34.6031746] ; [11.6031746  5.3968254],0
p1,1,0.162836,1.947686,[17 92] ; [ 5 12],[19.03174603 89.96825397] ; [ 2.96825397 14.03174603],0
p9,1,0.175515,1.835196,[98  8] ; [14  3],[96.5203252  9.4796748] ; [15.4796748  1.5203252],0
p3,1,0.259014,1.274017,[73 36] ; [9 8],[70.93650794 38.06349206] ; [11.06349206  5.93650794],0
p8,1,0.265579,1.239442,[74 33] ; [14  3],[75.93548387 31.06451613] ; [12.06451613  4.93548387],0
p10,1,0.292307,1.108964,[98 10] ; [14  3],[96.768 11.232] ; [15.232  1.768],0
u3,1,0.317113,1.000817,[12  5] ; [4 4],[10.88  6.12] ; [5.12 2.88],0
p5,1,0.413825,0.667784,[34 75] ; [ 7 10],[35.46825397 73.53174603] ; [ 5.53174603 11.46825397],0
u2,1,0.48384,0.490196,[11  6] ; [4 4],[10.2  6.8] ; [4.8 3.2],0
b1,1,0.485676,0.486091,[42 68] ; [8 9],[43.30708661 66.69291339] ; [ 6.69291339 10.30708661],0
r3,1,0.488192,0.480508,[107   3] ; [16  1],[106.53543307   3.46456693] ; [16.46456693  0.53543307],0
v2,1,0.505994,0.442343,[89 20] ; [15  2],[89.96825397 19.03174603] ; [14.03174603  2.96825397],0
p6,1,0.50854,0.43707,[47 59] ; [9 8],[48.2601626 57.7398374] ; [7.7398374 9.2601626],0
b2,1,0.56154,0.337045,[30 32] ; [3 5],[29.22857143 32.77142857] ; [3.77142857 4.22857143],0
b3,1,0.56154,0.337045,[30 32] ; [3 5],[29.22857143 32.77142857] ; [3.77142857 4.22857143],0
r1,1,0.582375,0.302411,[98 11] ; [16  1],[98.61904762 10.38095238] ; [15.38095238  1.61904762],0
a8,1,0.657277,0.196848,[ 9 91] ; [ 2 14],[ 9.48275862 90.51724138] ; [ 1.51724138 14.48275862],0
n1,1,0.667167,0.184934,[ 8 15] ; [1 1],[ 8.28 14.72] ; [0.72 1.28],0
p11,1,0.73714,0.112656,[88 22] ; [13  4],[87.48031496 22.51968504] ; [13.51968504  3.48031496],0
s4,1,0.743444,0.107123,[23 86] ; [ 3 14],[22.49206349 86.50793651] ; [ 3.50793651 13.49206349],0
a6,1,0.79439,0.06792,[74 35] ; [11  6],[73.53174603 35.46825397] ; [11.46825397  5.53174603],0
b4,1,0.813386,0.055725,[68 42] ; [10  7],[67.55905512 42.44094488] ; [10.44094488  6.55905512],0
n4,1,0.817337,0.053348,[93 17] ; [14  3],[92.67716535 17.32283465] ; [14.32283465  2.67716535],0
n5,1,0.829603,0.046316,[92 17] ; [14  3],[91.6984127 17.3015873] ; [14.3015873  2.6984127],0
s7,1,0.857536,0.032224,[80 26] ; [11  4],[79.71900826 26.28099174] ; [11.28099174  3.71900826],0
p7,1,0.865526,0.028678,[83 23] ; [13  4],[82.73170732 23.26829268] ; [13.26829268  3.73170732],0
a7,1,0.916597,0.010967,[79 31] ; [12  5],[78.81889764 31.18110236] ; [12.18110236  4.81889764],0
b5,1,0.931267,0.007439,[57 53] ; [9 8],[57.16535433 52.83464567] ; [8.83464567 8.16535433],0
p12,1,0.944474,0.004851,[20 89] ; [ 3 14],[19.8968254 89.1031746] ; [ 3.1031746 13.8968254],0
n6,1,0.956558,0.002967,[102   6] ; [16  1],[101.952   6.048] ; [16.048  0.952],0
