Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1.6e-05,18.599583,[ 4 54] ; [21 29],[13.42592593 44.57407407] ; [11.57407407 38.42592593],1
s2,1,8.6e-05,15.424885,[10 48] ; [27 24],[19.68807339 38.31192661] ; [17.31192661 33.68807339],1
s7,1,0.00031,13.008164,[ 8 45] ; [24 26],[16.46601942 36.53398058] ; [15.53398058 34.46601942],1
s4,1,0.000479,12.193822,[ 4 54] ; [17 34],[11.17431193 46.82568807] ; [ 9.82568807 41.17431193],1
p10,1,0.000582,11.832684,[24 31] ; [39 12],[32.68867925 22.31132075] ; [30.31132075 20.68867925],1
s8,1,0.000665,11.585245,[ 7 51] ; [21 31],[14.76363636 43.23636364] ; [13.23636364 38.76363636],1
p9,1,0.000786,11.273779,[27 28] ; [41 10],[35.28301887 19.71698113] ; [32.71698113 18.28301887],1
s3,1,0.001252,10.411283,[16 41] ; [30 21],[24.27777778 32.72222222] ; [21.72222222 29.27777778],0
p4,1,0.001394,10.213986,[16 42] ; [30 22],[24.25454545 33.74545455] ; [21.74545455 30.25454545],0
r1,1,0.00208,9.477157,[22 36] ; [35 17],[30.05454545 27.94545455] ; [26.94545455 25.05454545],0
r3,1,0.005816,7.606402,[40 18] ; [47  5],[45.87272727 12.12727273] ; [41.12727273 10.87272727],0
r4,1,0.007279,7.202728,[33 25] ; [42 10],[39.54545455 18.45454545] ; [35.45454545 16.54545455],0
u3,1,0.011866,6.330815,[ 8 27] ; [15 13],[12.77777778 22.22222222] ; [10.22222222 17.77777778],0
p11,1,0.01898,5.503387,[31 27] ; [39 13],[36.90909091 21.09090909] ; [33.09090909 18.90909091],0
b2,1,0.025737,4.97362,[11 23] ; [ 2 23],[ 7.49152542 26.50847458] ; [ 5.50847458 19.49152542],0
b3,1,0.025737,4.97362,[11 23] ; [ 2 23],[ 7.49152542 26.50847458] ; [ 5.50847458 19.49152542],0
a6,1,0.043954,4.058324,[28 30] ; [35 17],[33.21818182 24.78181818] ; [29.78181818 22.21818182],0
v4,1,0.048994,3.875571,[45 12] ; [48  4],[48.63302752  8.36697248] ; [44.36697248  7.63302752],0
p3,1,0.049947,3.843221,[15 42] ; [23 29],[19.87155963 37.12844037] ; [18.12844037 33.87155963],0
