Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.047904,3.913368,[13 13] ; [ 4 15],[ 9.82222222 16.17777778] ; [ 7.17777778 11.82222222],0
p2,1,0.647804,0.20868,[22  7] ; [14  6],[21.30612245  7.69387755] ; [14.69387755  5.30612245],0
p7,1,0.647804,0.20868,[22  7] ; [14  6],[21.30612245  7.69387755] ; [14.69387755  5.30612245],0
b1,1,0.905544,0.01408,[14 15] ; [10 10],[14.20408163 14.79591837] ; [ 9.79591837 10.20408163],0
p11,1,0.905544,0.01408,[14 15] ; [10 10],[14.20408163 14.79591837] ; [ 9.79591837 10.20408163],0
