Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.035586,4.416839,[33 37] ; [21  9],[37.8 32.2] ; [16.2 13.8],0
v1,1,0.061255,3.503077,[23 46] ; [16 14],[27.18181818 41.81818182] ; [11.81818182 18.18181818],0
s8,1,0.085701,2.953331,[23 49] ; [15 15],[26.82352941 45.17647059] ; [11.17647059 18.82352941],0
p8,1,0.085887,2.94983,[24 48] ; [15 14],[27.8019802 44.1980198] ; [11.1980198 17.8019802],0
r4,1,0.138927,2.189808,[59 13] ; [28  2],[61.41176471 10.58823529] ; [25.58823529  4.41176471],0
p9,1,0.140995,2.167062,[53 18] ; [18 12],[49.91089109 21.08910891] ; [21.08910891  8.91089109],0
v4,1,0.150862,2.06351,[62  9] ; [29  1],[63.97029703  7.02970297] ; [27.02970297  2.97029703],0
p10,1,0.173716,1.850577,[48 23] ; [16 14],[44.99009901 26.00990099] ; [19.00990099 10.99009901],0
p11,1,0.181132,1.788312,[57 15] ; [20 10],[54.35294118 17.64705882] ; [22.64705882  7.35294118],0
a8,1,0.226592,1.462127,[ 6 60] ; [ 5 23],[ 7.72340426 58.27659574] ; [ 3.27659574 24.72340426],0
u1,1,0.234722,1.412014,[11 61] ; [ 2 28],[ 9.17647059 62.82352941] ; [ 3.82352941 26.17647059],0
n1,1,0.235595,1.406759,[ 3 16] ; [2 3],[ 3.95833333 15.04166667] ; [1.04166667 3.95833333],0
b5,1,0.23922,1.385185,[44 28] ; [22  8],[46.58823529 25.41176471] ; [19.41176471 10.58823529],0
a2,1,0.242122,1.368195,[17 55] ; [ 4 26],[14.82352941 57.17647059] ; [ 6.17647059 23.82352941],0
p4,1,0.271269,1.21032,[36 36] ; [11 18],[33.5049505 38.4950495] ; [13.4950495 15.5049505],0
u2,1,0.324756,0.969697,[15  7] ; [5 5],[13.75  8.25] ; [6.25 3.75],0
b2,1,0.348174,0.880102,[18 31] ; [ 5 15],[16.33333333 32.66666667] ; [ 6.66666667 13.33333333],0
b3,1,0.348174,0.880102,[18 31] ; [ 5 15],[16.33333333 32.66666667] ; [ 6.66666667 13.33333333],0
p5,1,0.356552,0.85,[ 2 70] ; [ 2 28],[ 2.82352941 69.17647059] ; [ 1.17647059 28.82352941],0
a1,1,0.356552,0.85,[ 2 70] ; [ 2 28],[ 2.82352941 69.17647059] ; [ 1.17647059 28.82352941],0
s3,1,0.362543,0.829064,[36 34] ; [12 17],[33.93939394 36.06060606] ; [14.06060606 14.93939394],0
b1,1,0.366344,0.816027,[29 43] ; [15 15],[31.05882353 40.94117647] ; [12.94117647 17.05882353],0
a7,1,0.390168,0.738417,[54 18] ; [20 10],[52.23529412 19.76470588] ; [21.76470588  8.23529412],0
d5,1,0.419058,0.652955,[58 14] ; [22  8],[56.47058824 15.52941176] ; [23.52941176  6.47058824],0
d4,1,0.439355,0.597965,[62 10] ; [24  6],[60.70588235 11.29411765] ; [25.29411765  4.70588235],0
d2,1,0.43992,0.596491,[30 42] ; [15 15],[31.76470588 40.23529412] ; [13.23529412 16.76470588],0
r2,1,0.442247,0.590446,[60  8] ; [28  2],[61.06122449  6.93877551] ; [26.93877551  3.06122449],0
d1,1,0.458365,0.549885,[35 37] ; [17 13],[36.70588235 35.29411765] ; [15.29411765 14.70588235],0
a5,1,0.461257,0.542844,[50 22] ; [23  7],[51.52941176 20.47058824] ; [21.47058824  8.52941176],0
r3,1,0.480035,0.498785,[67  5] ; [29  1],[67.76470588  4.23529412] ; [28.23529412  1.76470588],0
s7,1,0.549425,0.358348,[29 41] ; [13 14],[30.30927835 39.69072165] ; [11.69072165 15.30927835],0
