Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,1.4e-05,18.898762,[48 19] ; [19 39],[35.912 31.088] ; [31.088 26.912],1
v3,1,0.000942,10.938009,[36 30] ; [15 44],[26.928 39.072] ; [24.072 34.928],1
n3,1,0.01128,6.42059,[12  2] ; [ 8 11],[8.48484848 5.51515152] ; [11.51515152  7.48484848],0
s4,1,0.025099,5.017061,[10 59] ; [18 40],[15.21259843 53.78740157] ; [12.78740157 45.21259843],0
p1,1,0.063808,3.435523,[ 3 66] ; [ 8 51],[ 5.9296875 63.0703125] ; [ 5.0703125 53.9296875],0
p7,1,0.064591,3.4154,[48 18] ; [33 25],[43.11290323 22.88709677] ; [37.88709677 20.11290323],0
d2,1,0.100059,2.704596,[60 10] ; [43 15],[56.328125 13.671875] ; [46.671875 11.328125],0
r3,1,0.114209,2.494995,[66  3] ; [52  7],[63.609375  5.390625] ; [54.390625  4.609375],0
u1,1,0.126462,2.335407,[ 4 66] ; [ 8 51],[ 6.51162791 63.48837209] ; [ 5.48837209 53.51162791],0
d3,1,0.139775,2.180434,[45 25] ; [45 14],[48.8372093 21.1627907] ; [41.1627907 17.8372093],0
u4,1,0.143256,2.142636,[ 5 65] ; [ 1 58],[ 3.25581395 66.74418605] ; [ 2.74418605 56.25581395],0
b1,1,0.157497,1.998094,[34 36] ; [36 23],[37.98449612 32.01550388] ; [32.01550388 26.98449612],0
a3,1,0.167414,1.905951,[61  9] ; [46 13],[58.0620155 11.9379845] ; [48.9379845 10.0620155],0
a8,1,0.174492,1.843919,[ 8 58] ; [ 3 55],[ 5.85483871 60.14516129] ; [ 5.14516129 52.85483871],0
n4,1,0.185822,1.750435,[60  8] ; [47 12],[57.29133858 10.70866142] ; [49.70866142  9.29133858],0
p9,1,0.188537,1.729013,[58  9] ; [45 13],[55.208 11.792] ; [47.792 10.208],0
u3,1,0.193297,1.692308,[3 6] ; [8 5],[4.5 4.5] ; [6.5 6.5],0
p5,1,0.246007,1.34584,[ 8 61] ; [11 47],[10.32283465 58.67716535] ; [ 8.67716535 49.32283465],0
u2,1,0.284117,1.14729,[3 5] ; [8 5],[4.19047619 3.80952381] ; [6.80952381 6.19047619],0
s6,1,0.302426,1.063464,[43 25] ; [41 16],[45.696 22.304] ; [38.304 18.696],0
p6,1,0.311404,1.024712,[24 40] ; [27 31],[26.75409836 37.24590164] ; [24.24590164 33.75409836],0
v4,1,0.364223,0.823281,[64  6] ; [51  8],[62.40310078  7.59689922] ; [52.59689922  6.40310078],0
r4,1,0.365641,0.818425,[61  9] ; [48 11],[59.14728682 10.85271318] ; [49.85271318  9.14728682],0
s7,1,0.374161,0.789798,[35 31] ; [33 21],[37.4 28.6] ; [30.6 23.4],0
n1,1,0.381768,0.765,[7 7] ; [ 7 13],[5.76470588 8.23529412] ; [ 8.23529412 11.76470588],0
n2,1,0.409,0.681704,[9 5] ; [10 10],[7.82352941 6.17647059] ; [11.17647059  8.82352941],0
p11,1,0.451139,0.56779,[55 15] ; [43 16],[53.17829457 16.82170543] ; [44.82170543 14.17829457],0
s3,1,0.470089,0.521767,[36 32] ; [35 24],[38.01574803 29.98425197] ; [32.98425197 26.01574803],0
b2,1,0.486093,0.485164,[21 30] ; [18 19],[22.60227273 28.39772727] ; [16.39772727 20.60227273],0
b3,1,0.486093,0.485164,[21 30] ; [18 19],[22.60227273 28.39772727] ; [16.39772727 20.60227273],0
r2,1,0.60185,0.272215,[62  5] ; [55  3],[62.712  4.288] ; [54.288  3.712],0
n5,1,0.665343,0.187098,[52 16] ; [47 12],[53.00787402 14.99212598] ; [45.99212598 13.00787402],0
b5,1,0.679775,0.17038,[31 39] ; [24 35],[29.84496124 40.15503876] ; [25.15503876 33.84496124],0
s5,1,0.694053,0.154733,[30 33] ; [26 33],[28.91803279 34.08196721] ; [27.08196721 31.91803279],0
p3,1,0.706273,0.142028,[38 31] ; [30 28],[36.94488189 32.05511811] ; [31.05511811 26.94488189],0
a2,1,0.71454,0.133785,[ 8 62] ; [ 8 51],[ 8.68217054 61.31782946] ; [ 7.31782946 51.68217054],0
a6,1,0.722837,0.12579,[24 46] ; [22 37],[24.96124031 45.03875969] ; [21.03875969 37.96124031],0
a5,1,0.7308,0.118379,[59 11] ; [51  8],[59.68992248 10.31007752] ; [50.31007752  8.68992248],0
p4,1,0.73513,0.114453,[40 26] ; [34 25],[39.072 26.928] ; [34.928 24.072],0
p2,1,0.763995,0.090143,[54 14] ; [44 13],[53.312 14.688] ; [44.688 12.312],0
