Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,59.090138,[293   7] ; [5 5],[288.38709677  11.61290323] ; [9.61290323 0.38709677],1
r4,1,0.0,30.929874,[287  16] ; [5 5],[282.67092652  20.32907348] ; [9.32907348 0.67092652],1
r1,1,0.000179,14.036454,[257  46] ; [4 6],[252.66134185  50.33865815] ; [8.33865815 1.66134185],1
p9,1,0.005645,7.660144,[259  37] ; [5 4],[256.20983607  39.79016393] ; [7.79016393 1.20983607],0
p2,1,0.029367,4.745971,[256  44] ; [6 4],[253.5483871  46.4516129] ; [8.4516129 1.5483871],0
p11,1,0.052989,3.744279,[253  50] ; [6 4],[250.72523962  52.27476038] ; [8.27476038 1.72523962],0
s5,1,0.073636,3.200046,[119 173] ; [1 8],[116.41196013 175.58803987] ; [3.58803987 5.41196013],0
p10,1,0.089946,2.875343,[258  40] ; [6 3],[256.26058632  41.73941368] ; [7.73941368 1.26058632],0
s8,1,0.098074,2.736587,[160 139] ; [8 2],[162.5631068 136.4368932] ; [5.4368932 4.5631068],0
d1,1,0.099261,2.717376,[198 105] ; [4 6],[195.54632588 107.45367412] ; [6.45367412 3.54632588],0
a8,1,0.120647,2.408898,[ 39 230] ; [3 6],[ 40.64028777 228.35971223] ; [1.35971223 7.64028777],0
p7,1,0.152227,2.049795,[206  84] ; [5 5],[203.96666667  86.03333333] ; [7.03333333 2.96666667],0
b4,1,0.211057,1.564161,[183 120] ; [8 2],[184.89776358 118.10223642] ; [6.10223642 3.89776358],0
v1,1,0.215939,1.531154,[205  94] ; [5 5],[203.2038835  95.7961165] ; [6.7961165 3.2038835],0
p3,1,0.230483,1.437877,[177 123] ; [4 6],[175.16129032 124.83870968] ; [5.83870968 4.16129032],0
p8,1,0.231069,1.434267,[174 121] ; [4 6],[172.16393443 122.83606557] ; [5.83606557 4.16393443],0
a5,1,0.241519,1.371708,[230  72] ; [6 4],[228.43589744  73.56410256] ; [7.56410256 2.43589744],0
a4,1,0.25762,1.281502,[145 156] ; [3 7],[143.24115756 157.75884244] ; [4.75884244 5.24115756],0
r3,1,0.25917,1.273184,[292  10] ; [9 1],[291.3525641  10.6474359] ; [9.6474359 0.3525641],0
b1,1,0.352368,0.864912,[108 195] ; [5 5],[109.38977636 193.61022364] ; [3.61022364 6.38977636],0
d3,1,0.385181,0.754101,[219  83] ; [6 4],[217.78846154  84.21153846] ; [7.21153846 2.78846154],0
a7,1,0.407698,0.685504,[216  84] ; [6 4],[214.83870968  85.16129032] ; [7.16129032 2.83870968],0
v2,1,0.479513,0.49997,[237  62] ; [7 3],[236.10355987  62.89644013] ; [7.89644013 2.10355987],0
b5,1,0.488823,0.479116,[179 124] ; [7 3],[180.05750799 122.94249201] ; [5.94249201 4.05750799],0
p12,1,0.49929,0.456445,[ 38 261] ; [2 8],[ 38.70550162 260.29449838] ; [1.29449838 8.70550162],0
p5,1,0.529462,0.395423,[ 53 247] ; [1 9],[ 52.25806452 247.74193548] ; [1.74193548 8.25806452],0
d4,1,0.643645,0.214006,[254  46] ; [9 1],[254.51612903  45.48387097] ; [8.48387097 1.51612903],0
n1,1,0.665063,0.187431,[20 37] ; [1 1],[20.28813559 36.71186441] ; [0.71186441 1.28813559],0
s6,1,0.720363,0.128145,[212  82] ; [6 3],[211.52475248  82.47524752] ; [6.47524752 2.52475248],0
b3,1,0.727828,0.121115,[ 80 118] ; [2 4],[ 79.58823529 118.41176471] ; [2.41176471 3.58823529],0
b2,1,0.727828,0.121115,[ 80 118] ; [2 4],[ 79.58823529 118.41176471] ; [2.41176471 3.58823529],0
n5,1,0.744439,0.106263,[261  41] ; [9 1],[261.34615385  40.65384615] ; [8.65384615 1.34615385],0
p4,1,0.745503,0.105349,[193 104] ; [6 4],[192.51791531 104.48208469] ; [6.48208469 3.51791531],0
d2,1,0.76338,0.090628,[165 136] ; [5 5],[164.53376206 136.46623794] ; [5.46623794 4.53376206],0
d5,1,0.796501,0.066501,[251  51] ; [8 2],[250.69871795  51.30128205] ; [8.30128205 1.69871795],0
n4,1,0.808028,0.059035,[264  38] ; [9 1],[264.25  37.75] ; [8.75 1.25],0
u3,1,0.822001,0.050613,[40 29] ; [1 1],[39.84507042 29.15492958] ; [1.15492958 0.84507042],0
s3,1,0.859708,0.031239,[172 122] ; [5 4],[171.74257426 122.25742574] ; [5.25742574 3.74257426],0
u2,1,0.868892,0.027247,[38 30] ; [1 1],[37.88571429 30.11428571] ; [1.11428571 0.88571429],0
a2,1,0.874334,0.025013,[ 84 219] ; [3 7],[ 84.22044728 218.77955272] ; [2.77955272 7.22044728],0
a3,1,0.880487,0.022606,[234  66] ; [8 2],[234.19354839  65.80645161] ; [7.80645161 2.19354839],0
p1,1,0.898507,0.016268,[ 34 267] ; [1 9],[ 33.87459807 267.12540193] ; [1.12540193 8.87459807],0
a6,1,0.89936,0.015995,[205  96] ; [7 3],[205.18327974  95.81672026] ; [6.81672026 3.18327974],0
s7,1,0.902434,0.015028,[172 113] ; [5 3],[172.16723549 112.83276451] ; [4.83276451 3.16723549],0
p6,1,0.97593,0.00091,[119 175] ; [4 6],[118.95394737 175.04605263] ; [4.04605263 5.95394737],0
s2,1,0.985881,0.000313,[167 132] ; [5 4],[166.97402597 132.02597403] ; [5.02597403 3.97402597],0
