Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5.8e-05,16.180127,[ 4 40] ; [6 3],[ 8.30188679 35.69811321] ; [1.69811321 7.30188679],1
p4,1,0.000642,11.649612,[ 6 37] ; [6 3],[ 9.92307692 33.07692308] ; [2.07692308 6.92307692],1
s7,1,0.001236,10.435563,[ 8 34] ; [6 2],[11.76 30.24] ; [2.24 5.76],0
p8,1,0.001501,10.077519,[ 7 36] ; [6 3],[10.75 32.25] ; [2.25 6.75],0
p7,1,0.002551,9.103397,[ 6 36] ; [5 3],[ 9.24 32.76] ; [1.76 6.24],0
p2,1,0.003993,8.287206,[12 32] ; [7 2],[15.77358491 28.22641509] ; [3.22641509 5.77358491],0
p10,1,0.007674,7.10801,[13 30] ; [7 2],[16.53846154 26.46153846] ; [3.46153846 5.53846154],0
p11,1,0.00889,6.844748,[10 34] ; [6 3],[13.28301887 30.71698113] ; [2.71698113 6.28301887],0
p9,1,0.010627,6.526649,[13 28] ; [7 2],[16.4 24.6] ; [3.6 5.4],0
s8,1,0.016026,5.800001,[ 5 39] ; [4 5],[ 7.47169811 36.52830189] ; [1.52830189 7.47169811],0
r4,1,0.050325,3.830604,[ 4 40] ; [3 6],[ 5.81132075 38.18867925] ; [1.18867925 7.81132075],0
s4,1,0.054442,3.699096,[ 7 37] ; [4 5],[ 9.13207547 34.86792453] ; [1.86792453 7.13207547],0
p5,1,0.072036,3.236003,[ 2 41] ; [2 7],[ 3.30769231 39.69230769] ; [0.69230769 8.30769231],0
n3,1,0.087398,2.921655,[10 16] ; [4 1],[11.74193548 14.25806452] ; [2.25806452 2.74193548],0
s5,1,0.100762,2.693446,[ 6 38] ; [3 5],[ 7.61538462 36.38461538] ; [1.38461538 6.61538462],0
u3,1,0.105817,2.615602,[ 6 13] ; [3 1],[ 7.43478261 11.56521739] ; [1.56521739 2.43478261],0
b5,1,0.122122,2.389888,[17 27] ; [6 3],[19.09433962 24.90566038] ; [3.90566038 5.09433962],0
s3,1,0.130506,2.28647,[10 32] ; [4 4],[11.76 30.24] ; [2.24 5.76],0
n6,1,0.157231,2.000653,[18 26] ; [6 3],[19.9245283 24.0754717] ; [4.0754717 4.9245283],0
r2,1,0.161316,1.961845,[26 16] ; [7 1],[27.72 14.28] ; [5.28 2.72],0
v2,1,0.162263,1.953008,[ 6 37] ; [3 6],[ 7.44230769 35.55769231] ; [1.55769231 7.44230769],0
u1,1,0.204862,1.607373,[ 1 43] ; [1 8],[ 1.66037736 42.33962264] ; [0.33962264 8.66037736],0
s6,1,0.238042,1.392154,[11 33] ; [4 5],[12.45283019 31.54716981] ; [2.54716981 6.45283019],0
s1,1,0.257281,1.28333,[ 4 40] ; [2 7],[ 4.98113208 39.01886792] ; [1.01886792 7.98113208],0
d3,1,0.283471,1.150373,[16 28] ; [5 4],[17.43396226 26.56603774] ; [3.56603774 5.43396226],0
a5,1,0.300399,1.072423,[21 23] ; [6 3],[22.41509434 21.58490566] ; [4.58490566 4.41509434],0
n5,1,0.304534,1.054235,[32 12] ; [8 1],[33.20754717 10.79245283] ; [6.79245283 2.20754717],0
n2,1,0.306644,1.045074,[15 12] ; [4 1],[16.03125 10.96875] ; [2.96875 2.03125],0
b1,1,0.347945,0.880939,[27 17] ; [4 5],[25.73584906 18.26415094] ; [5.26415094 3.73584906],0
r1,1,0.349482,0.875336,[17 27] ; [2 7],[15.77358491 28.22641509] ; [3.22641509 5.77358491],0
d5,1,0.361448,0.832857,[22 22] ; [6 3],[23.24528302 20.75471698] ; [4.75471698 4.24528302],0
a7,1,0.419216,0.652511,[18 26] ; [5 4],[19.09433962 24.90566038] ; [3.90566038 5.09433962],0
n1,1,0.522003,0.409935,[12 15] ; [3 2],[12.65625 14.34375] ; [2.34375 2.65625],0
v1,1,0.605391,0.266941,[11 33] ; [3 6],[11.62264151 32.37735849] ; [2.37735849 6.62264151],0
d2,1,0.635429,0.22477,[18 25] ; [3 6],[17.36538462 25.63461538] ; [3.63461538 5.36538462],0
n4,1,0.67202,0.179248,[26 18] ; [6 3],[26.56603774 17.43396226] ; [5.43396226 3.56603774],0
a4,1,0.690411,0.158641,[17 25] ; [3 6],[16.47058824 25.52941176] ; [3.52941176 5.47058824],0
d1,1,0.713052,0.135247,[12 32] ; [3 6],[12.45283019 31.54716981] ; [2.54716981 6.45283019],0
d4,1,0.761303,0.092276,[22 22] ; [4 5],[21.58490566 22.41509434] ; [4.41509434 4.58490566],0
a3,1,0.82625,0.048186,[25 17] ; [5 4],[24.70588235 17.29411765] ; [5.29411765 3.70588235],0
a2,1,0.838452,0.041565,[ 6 38] ; [1 8],[ 5.81132075 38.18867925] ; [1.18867925 7.81132075],0
a6,1,0.857344,0.032312,[21 23] ; [4 5],[20.75471698 23.24528302] ; [4.24528302 4.75471698],0
v3,1,0.905162,0.014195,[ 9 35] ; [2 7],[ 9.13207547 34.86792453] ; [1.86792453 7.13207547],0
b4,1,0.944483,0.004849,[25 19] ; [5 4],[24.90566038 19.09433962] ; [5.09433962 3.90566038],0
b2,1,0.981731,0.000524,[13 17] ; [3 4],[12.97297297 17.02702703] ; [3.02702703 3.97297297],0
b3,1,0.981731,0.000524,[13 17] ; [3 4],[12.97297297 17.02702703] ; [3.02702703 3.97297297],0
p1,1,0.982619,0.000475,[ 5 39] ; [1 8],[ 4.98113208 39.01886792] ; [1.01886792 7.98113208],0
