Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,8e-06,19.949251,[ 8 31] ; [13  2],[15.16666667 23.83333333] ; [5.83333333 9.16666667],1
d4,1,3.8e-05,16.985123,[12 27] ; [14  1],[18.77777778 20.22222222] ; [7.22222222 7.77777778],1
a5,1,0.006249,7.476923,[15 24] ; [12  3],[19.5 19.5] ; [7.5 7.5],0
a4,1,0.020161,5.397932,[11 27] ; [9 5],[14.61538462 23.38461538] ; [5.38461538 8.61538462],0
a7,1,0.026504,4.922861,[13 26] ; [10  5],[16.61111111 22.38888889] ; [6.38888889 8.61111111],0
d2,1,0.027848,4.837446,[12 27] ; [9 5],[15.45283019 23.54716981] ; [5.54716981 8.45283019],0
p2,1,0.037036,4.348733,[17 22] ; [ 2 13],[13.72222222 25.27777778] ; [5.27777778 9.72222222],0
a6,1,0.062631,3.466313,[15 24] ; [10  5],[18.05555556 20.94444444] ; [6.94444444 8.05555556],0
a2,1,0.062988,3.456909,[ 3 36] ; [ 4 11],[ 5.05555556 33.94444444] ; [ 1.94444444 13.05555556],0
p7,1,0.158766,1.98594,[10 28] ; [ 1 12],[ 8.19607843 29.80392157] ; [ 2.80392157 10.19607843],0
n6,1,0.210393,1.568721,[16 23] ; [9 6],[18.05555556 20.94444444] ; [6.94444444 8.05555556],0
s8,1,0.221383,1.495385,[ 5 34] ; [ 4 11],[ 6.5 32.5] ; [ 2.5 12.5],0
v2,1,0.238042,1.392154,[ 5 33] ; [ 4 11],[ 6.45283019 31.54716981] ; [ 2.54716981 12.45283019],0
u3,1,0.242809,1.364211,[ 6 13] ; [3 2],[ 7.125 11.875] ; [1.875 3.125],0
n4,1,0.253212,1.305495,[22 17] ; [11  4],[23.83333333 15.16666667] ; [9.16666667 5.83333333],0
b3,1,0.307431,1.041678,[12 13] ; [4 9],[10.52631579 14.47368421] ; [5.47368421 7.52631579],0
b2,1,0.307431,1.041678,[12 13] ; [4 9],[10.52631579 14.47368421] ; [5.47368421 7.52631579],0
p5,1,0.316385,1.003831,[ 2 36] ; [ 2 13],[ 2.86792453 35.13207547] ; [ 1.13207547 13.86792453],0
r4,1,0.339697,0.911574,[ 4 35] ; [ 3 12],[ 5.05555556 33.94444444] ; [ 1.94444444 13.05555556],0
r2,1,0.393485,0.728147,[24 15] ; [9 3],[25.23529412 13.76470588] ; [7.76470588 4.23529412],0
a3,1,0.404265,0.695605,[20 17] ; [10  5],[21.34615385 15.65384615] ; [8.65384615 6.34615385],0
s7,1,0.415985,0.661629,[ 9 28] ; [5 9],[10.15686275 26.84313725] ; [ 3.84313725 10.15686275],0
v3,1,0.425872,0.634054,[ 9 30] ; [ 2 13],[ 7.94444444 31.05555556] ; [ 3.05555556 11.94444444],0
n2,1,0.466608,0.529996,[14  8] ; [5 5],[13.0625  8.9375] ; [5.9375 4.0625],0
s4,1,0.476182,0.507595,[ 7 32] ; [ 4 11],[ 7.94444444 31.05555556] ; [ 3.05555556 11.94444444],0
s1,1,0.519249,0.415385,[ 5 34] ; [ 1 14],[ 4.33333333 34.66666667] ; [ 1.66666667 13.33333333],0
p1,1,0.519249,0.415385,[ 5 34] ; [ 1 14],[ 4.33333333 34.66666667] ; [ 1.66666667 13.33333333],0
p4,1,0.536554,0.381965,[ 8 31] ; [ 4 10],[ 8.83018868 30.16981132] ; [ 3.16981132 10.83018868],0
v1,1,0.537721,0.37978,[11 28] ; [ 3 12],[10.11111111 28.88888889] ; [ 3.88888889 11.11111111],0
