Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.034258,4.481793,[27  7] ; [8 8],[23.8 10.2] ; [11.2  4.8],0
v4,1,0.047311,3.934286,[33  2] ; [12  4],[30.88235294  4.11764706] ; [14.11764706  1.88235294],0
n5,1,0.051145,3.803505,[19 16] ; [ 4 12],[15.78431373 19.21568627] ; [7.21568627 8.78431373],0
b1,1,0.086101,2.94581,[15 20] ; [11  5],[17.84313725 17.15686275] ; [8.15686275 7.84313725],0
p4,1,0.12619,2.338765,[19 16] ; [ 5 11],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
a5,1,0.137315,2.207792,[25 10] ; [8 8],[22.64705882 12.35294118] ; [10.35294118  5.64705882],0
p3,1,0.139179,2.187015,[12 23] ; [9 7],[14.41176471 20.58823529] ; [6.58823529 9.41176471],0
p10,1,0.141391,2.162759,[23 12] ; [6 8],[20.71428571 14.28571429] ; [8.28571429 5.71428571],0
u2,1,0.152338,2.048677,[3 7] ; [4 2],[4.375 5.625] ; [2.625 3.375],0
s6,1,0.174567,1.843277,[26  7] ; [9 6],[24.0625  8.9375] ; [10.9375  4.0625],0
u3,1,0.182422,1.777778,[5 5] ; [5 1],[6.25 3.75] ; [3.75 2.25],0
a2,1,0.210257,1.569658,[ 7 28] ; [ 1 15],[ 5.49019608 29.50980392] ; [ 2.50980392 13.49019608],0
p6,1,0.215793,1.532128,[10 25] ; [7 8],[11.9 23.1] ; [5.1 9.9],0
s3,1,0.220997,1.497885,[20 15] ; [12  4],[21.96078431 13.03921569] ; [10.03921569  5.96078431],0
p9,1,0.251015,1.317647,[23 11] ; [7 7],[21.25 12.75] ; [8.75 5.25],0
d3,1,0.278742,1.173214,[28  6] ; [11  5],[26.52  7.48] ; [12.48  3.52],0
b5,1,0.286179,1.137512,[23 12] ; [8 8],[21.2745098 13.7254902] ; [9.7254902 6.2745098],0
d4,1,0.287046,1.133425,[26  9] ; [14  2],[27.45098039  7.54901961] ; [12.54901961  3.45098039],0
d5,1,0.313659,1.015207,[31  3] ; [13  3],[29.92  4.08] ; [14.08  1.92],0
b3,1,0.362656,0.828676,[ 3 12] ; [3 5],[ 3.91304348 11.08695652] ; [2.08695652 5.91304348],0
b2,1,0.362656,0.828676,[ 3 12] ; [3 5],[ 3.91304348 11.08695652] ; [2.08695652 5.91304348],0
b4,1,0.373934,0.790551,[20 15] ; [7 9],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
r2,1,0.379981,0.770763,[32  2] ; [13  2],[31.2244898  2.7755102] ; [13.7755102  1.2244898],0
p8,1,0.409493,0.680272,[11 24] ; [ 3 12],[ 9.8 25.2] ; [ 4.2 10.8],0
r4,1,0.511972,0.430035,[29  6] ; [12  4],[28.1372549  6.8627451] ; [12.8627451  3.1372549],0
a3,1,0.523716,0.406569,[25 10] ; [10  6],[24.01960784 10.98039216] ; [10.98039216  5.01960784],0
n1,1,0.525718,0.402661,[ 3 11] ; [3 6],[ 3.65217391 10.34782609] ; [2.34782609 6.65217391],0
a8,1,0.591646,0.287781,[ 1 30] ; [ 1 14],[ 1.34782609 29.65217391] ; [ 0.65217391 14.34782609],0
n4,1,0.610764,0.259063,[18 17] ; [7 9],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
s8,1,0.653841,0.201092,[13 22] ; [7 9],[13.7254902 21.2745098] ; [6.2745098 9.7254902],0
r1,1,0.669538,0.182143,[24 11] ; [10  6],[23.33333333 11.66666667] ; [10.66666667  5.33333333],0
s5,1,0.671554,0.17979,[17 15] ; [6 7],[16.35555556 15.64444444] ; [6.64444444 6.35555556],0
u1,1,0.672263,0.178966,[ 6 29] ; [ 2 14],[ 5.49019608 29.50980392] ; [ 2.50980392 13.49019608],0
n2,1,0.675447,0.175296,[9 5] ; [5 4],[8.52173913 5.47826087] ; [5.47826087 3.52173913],0
v2,1,0.697051,0.151558,[15 19] ; [8 8],[15.64 18.36] ; [7.36 8.64],0
n3,1,0.735039,0.114535,[10  4] ; [7 2],[10.34782609  3.65217391] ; [6.65217391 2.34782609],0
a6,1,0.748903,0.102455,[18 17] ; [9 7],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
a4,1,0.748903,0.102455,[17 18] ; [7 9],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
d2,1,0.800664,0.06375,[21 14] ; [9 7],[20.58823529 14.41176471] ; [9.41176471 6.58823529],0
s7,1,0.815032,0.054728,[16 16] ; [7 6],[16.35555556 15.64444444] ; [6.64444444 6.35555556],0
s2,1,0.823629,0.049675,[23 12] ; [10  6],[22.64705882 12.35294118] ; [10.35294118  5.64705882],0
p2,1,0.823629,0.049675,[23 12] ; [10  6],[22.64705882 12.35294118] ; [10.35294118  5.64705882],0
r3,1,0.844579,0.038431,[28  6] ; [12  3],[27.75510204  6.24489796] ; [12.24489796  2.75510204],0
s1,1,0.896608,0.016886,[ 2 33] ; [ 1 14],[ 2.1 32.9] ; [ 0.9 14.1],0
p7,1,0.901678,0.015263,[17 18] ; [7 8],[16.8 18.2] ; [7.2 7.8],0
p1,1,0.912255,0.012143,[ 4 31] ; [ 2 14],[ 4.11764706 30.88235294] ; [ 1.88235294 14.11764706],0
