Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,2e-06,22.256387,[ 11 159] ; [4 3],[ 14.40677966 155.59322034] ; [0.59322034 6.40677966],1
a4,1,0.002212,9.364762,[ 36 132] ; [5 2],[ 39.36 128.64] ; [1.64 5.36],0
p1,1,0.003504,8.524457,[ 15 155] ; [3 4],[ 17.28813559 152.71186441] ; [0.71186441 6.28813559],0
s7,1,0.086933,2.930266,[ 53 108] ; [4 2],[ 54.95209581 106.04790419] ; [2.04790419 3.95209581],0
a1,1,0.104067,2.642083,[  5 165] ; [1 6],[  5.76271186 164.23728814] ; [0.23728814 6.76271186],0
u1,1,0.104067,2.642083,[  5 165] ; [1 6],[  5.76271186 164.23728814] ; [0.23728814 6.76271186],0
a7,1,0.112362,2.520684,[93 75] ; [6 1],[95.04 72.96] ; [3.96 3.04],0
b5,1,0.131971,2.269165,[97 73] ; [6 1],[98.92655367 71.07344633] ; [4.07344633 2.92655367],0
s2,1,0.185006,1.756943,[ 55 112] ; [4 3],[ 56.62643678 110.37356322] ; [2.37356322 4.62643678],0
v4,1,0.220872,1.498695,[146  21] ; [5 2],[144.92528736  22.07471264] ; [6.07471264 0.92528736],0
p6,1,0.251405,1.31548,[ 40 128] ; [3 4],[ 41.28 126.72] ; [1.72 5.28],0
p8,1,0.362133,0.830484,[ 67 101] ; [4 3],[68.16 99.84] ; [2.84 4.16],0
p2,1,0.402433,0.701043,[121  49] ; [6 1],[121.97740113  48.02259887] ; [5.02259887 1.97740113],0
n3,1,0.405703,0.691358,[41 13] ; [1 1],[40.5 13.5] ; [1.5 0.5],0
s6,1,0.406002,0.690476,[85 83] ; [2 4],[84. 84.] ; [3. 3.],0
n5,1,0.426346,0.632758,[121  47] ; [6 1],[121.92  46.08] ; [5.08 1.92],0
n2,1,0.427554,0.629457,[42 14] ; [1 1],[41.51724138 14.48275862] ; [1.48275862 0.51724138],0
v1,1,0.456182,0.555245,[71 95] ; [2 5],[70.04624277 95.95375723] ; [2.95375723 4.04624277],0
n6,1,0.466475,0.530313,[124  45] ; [6 1],[124.82954545  44.17045455] ; [5.17045455 1.82954545],0
b1,1,0.468775,0.524862,[72 98] ; [2 5],[71.07344633 98.92655367] ; [2.92655367 4.07344633],0
r4,1,0.489844,0.476868,[126  44] ; [6 1],[126.77966102  43.22033898] ; [5.22033898 1.77966102],0
s8,1,0.491835,0.472508,[ 52 118] ; [3 4],[ 52.82485876 117.17514124] ; [2.17514124 4.82485876],0
p4,1,0.496892,0.461569,[75 95] ; [4 3],[75.87570621 94.12429379] ; [3.12429379 3.87570621],0
p3,1,0.499761,0.455443,[ 62 108] ; [3 3],[ 62.78409091 107.21590909] ; [2.21590909 3.78409091],0
r1,1,0.560795,0.33833,[101  66] ; [5 2],[101.73563218  65.26436782] ; [4.26436782 2.73563218],0
a8,1,0.610523,0.259415,[ 16 141] ; [1 5],[ 16.37423313 140.62576687] ; [0.62576687 5.37423313],0
s4,1,0.730719,0.118452,[ 33 136] ; [1 6],[ 32.64772727 136.35227273] ; [1.35227273 5.64772727],0
b4,1,0.733887,0.115572,[84 86] ; [3 4],[83.55932203 86.44067797] ; [3.44067797 3.55932203],0
b2,1,0.764503,0.089744,[26 74] ; [1 4],[25.71428571 74.28571429] ; [1.28571429 3.71428571],0
b3,1,0.764503,0.089744,[26 74] ; [1 4],[25.71428571 74.28571429] ; [1.28571429 3.71428571],0
p10,1,0.801431,0.06325,[111  55] ; [5 2],[111.30635838  54.69364162] ; [4.69364162 2.30635838],0
p11,1,0.833789,0.044035,[115  55] ; [5 2],[115.25423729  54.74576271] ; [4.74576271 2.25423729],0
v2,1,0.837608,0.042006,[62 97] ; [3 4],[62.25903614 96.74096386] ; [2.74096386 4.25903614],0
p7,1,0.865749,0.028581,[90 77] ; [4 3],[90.2183908 76.7816092] ; [3.7816092 3.2183908],0
r3,1,0.86816,0.027555,[140  28] ; [6 1],[140.16  27.84] ; [5.84 1.16],0
s3,1,0.903671,0.014647,[75 91] ; [3 4],[74.84393064 91.15606936] ; [3.15606936 3.84393064],0
v3,1,0.960271,0.002481,[ 46 120] ; [2 5],[ 46.05780347 119.94219653] ; [1.94219653 5.05780347],0
p9,1,0.965032,0.001922,[118  49] ; [5 2],[118.05172414  48.94827586] ; [4.94827586 2.05172414],0
s5,1,0.973989,0.001063,[ 27 140] ; [1 5],[ 27.02890173 139.97109827] ; [0.97109827 5.02890173],0
