Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.6e-05,18.641304,[ 6 18] ; [36 10],[14.4  9.6] ; [27.6 18.4],1
p3,1,0.000225,13.612981,[ 4 20] ; [29 17],[11.31428571 12.68571429] ; [21.68571429 24.31428571],1
p2,1,0.00029,13.133234,[12 12] ; [41  5],[18.17142857  5.82857143] ; [34.82857143 11.17142857],1
p11,1,0.001046,10.744614,[10 14] ; [37  9],[16.11428571  7.88571429] ; [30.88571429 15.11428571],0
p8,1,0.001216,10.465966,[ 5 18] ; [29 17],[11.33333333 11.66666667] ; [22.66666667 23.33333333],0
a5,1,0.01995,5.416264,[11 13] ; [34 12],[15.42857143  8.57142857] ; [29.57142857 16.42857143],0
p6,1,0.021033,5.324074,[ 4 20] ; [20 25],[ 8.34782609 15.65217391] ; [15.65217391 29.34782609],0
d5,1,0.024563,5.054448,[22  2] ; [31 15],[18.17142857  5.82857143] ; [34.82857143 11.17142857],0
n3,1,0.030522,4.67963,[5 7] ; [13  3],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
b2,1,0.036472,4.37491,[9 4] ; [10 19],[5.88095238 7.11904762] ; [13.11904762 15.88095238],0
b3,1,0.036472,4.37491,[9 4] ; [10 19],[5.88095238 7.11904762] ; [13.11904762 15.88095238],0
s4,1,0.060539,3.522544,[ 5 19] ; [20 26],[ 8.57142857 15.42857143] ; [16.42857143 29.57142857],0
n6,1,0.069403,3.297074,[13 11] ; [34 11],[16.34782609  7.65217391] ; [30.65217391 14.34782609],0
n5,1,0.079021,3.084921,[ 6 18] ; [21 24],[ 9.39130435 14.60869565] ; [17.60869565 27.39130435],0
u1,1,0.080536,3.054046,[ 1 23] ; [ 9 37],[ 3.42857143 20.57142857] ; [ 6.57142857 39.42857143],0
b4,1,0.086763,2.933437,[19  5] ; [27 19],[15.77142857  8.22857143] ; [30.22857143 15.77142857],0
p10,1,0.09965,2.711133,[17  7] ; [40  6],[19.54285714  4.45714286] ; [37.45714286  8.54285714],0
n2,1,0.104205,2.639985,[8 5] ; [14  2],[9.86206897 3.13793103] ; [12.13793103  3.86206897],0
v4,1,0.179285,1.803543,[20  4] ; [43  3],[21.6  2.4] ; [41.4  4.6],0
d1,1,0.237854,1.39327,[14 10] ; [20 26],[11.65714286 12.34285714] ; [22.34285714 23.65714286],0
p9,1,0.276391,1.184753,[17  6] ; [39  7],[18.66666667  4.33333333] ; [37.33333333  8.66666667],0
u3,1,0.291841,1.111111,[7 1] ; [8 4],[6. 2.] ; [9. 3.],0
d4,1,0.37297,0.793747,[20  4] ; [34 12],[18.51428571  5.48571429] ; [35.48571429 10.51428571],0
a8,1,0.389843,0.739431,[ 1 20] ; [ 5 39],[ 1.93846154 19.06153846] ; [ 4.06153846 39.93846154],0
r3,1,0.396387,0.71926,[21  3] ; [43  3],[21.94285714  2.05714286] ; [42.05714286  3.94285714],0
r2,1,0.396387,0.71926,[21  3] ; [43  3],[21.94285714  2.05714286] ; [42.05714286  3.94285714],0
d3,1,0.429309,0.624691,[15  9] ; [33 13],[16.45714286  7.54285714] ; [31.54285714 14.45714286],0
b1,1,0.512977,0.427989,[ 9 15] ; [21 25],[10.28571429 13.71428571] ; [19.71428571 26.28571429],0
a3,1,0.52411,0.405797,[16  8] ; [34 12],[17.14285714  6.85714286] ; [32.85714286 13.14285714],0
p1,1,0.536662,0.381762,[ 2 22] ; [ 6 39],[ 2.7826087 21.2173913] ; [ 5.2173913 39.7826087],0
r4,1,0.554006,0.350189,[19  5] ; [39  7],[19.88571429  4.11428571] ; [38.11428571  7.88571429],0
v1,1,0.566665,0.328294,[14 10] ; [23 22],[12.86956522 11.13043478] ; [24.13043478 20.86956522],0
u2,1,0.580543,0.305357,[6 1] ; [9 3],[5.52631579 1.47368421] ; [9.47368421 2.52631579],0
v3,1,0.613571,0.255008,[ 6 15] ; [15 28],[ 6.890625 14.109375] ; [14.109375 28.890625],0
u4,1,0.634768,0.22565,[ 1 23] ; [ 1 45],[ 0.68571429 23.31428571] ; [ 1.31428571 44.68571429],0
r1,1,0.660236,0.193237,[16  8] ; [33 13],[16.8  7.2] ; [32.2 13.8],0
v2,1,0.678378,0.171958,[10 10] ; [25 20],[10.76923077  9.23076923] ; [24.23076923 20.76923077],0
d2,1,0.729419,0.119645,[12 12] ; [21 25],[11.31428571 12.68571429] ; [21.68571429 24.31428571],0
n1,1,0.742787,0.107692,[6 7] ; [6 9],[5.57142857 7.42857143] ; [6.42857143 8.57142857],0
a7,1,0.75778,0.095109,[18  6] ; [36 10],[18.51428571  5.48571429] ; [35.48571429 10.51428571],0
s2,1,0.75778,0.095109,[15  9] ; [27 19],[14.4  9.6] ; [27.6 18.4],0
a2,1,0.77085,0.084835,[ 5 19] ; [11 35],[ 5.48571429 18.51428571] ; [10.51428571 35.48571429],0
s8,1,0.821807,0.050725,[15  9] ; [30 16],[15.42857143  8.57142857] ; [29.57142857 16.42857143],0
a6,1,0.821807,0.050725,[15  9] ; [30 16],[15.42857143  8.57142857] ; [29.57142857 16.42857143],0
s5,1,0.839568,0.040984,[10 13] ; [18 26],[ 9.6119403 13.3880597] ; [18.3880597 25.6119403],0
b5,1,0.85065,0.035453,[13 11] ; [26 20],[13.37142857 10.62857143] ; [25.62857143 20.37142857],0
