Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,35.658827,[53 76] ; [188  72],[79.92030848 49.07969152] ; [161.07969152  98.92030848],1
d3,1,0.0,33.956517,[55 74] ; [189  70],[81.12371134 47.87628866] ; [162.87628866  96.12371134],1
d4,1,0.0002,13.831746,[83 45] ; [213  47],[97.64948454 30.35051546] ; [198.35051546  61.64948454],1
a2,1,0.000357,12.744106,[ 12 117] ; [ 64 197],[ 25.13846154 103.86153846] ; [ 50.86153846 210.13846154],1
d5,1,0.00164,9.913981,[83 45] ; [207  53],[95.67010309 32.32989691] ; [194.32989691  65.67010309],0
b5,1,0.001902,9.642267,[65 64] ; [174  87],[79.05384615 49.94615385] ; [159.94615385 101.05384615],0
d1,1,0.003662,8.444266,[51 78] ; [144 117],[64.5 64.5] ; [130.5 130.5],0
u1,1,0.007378,7.178509,[  9 120] ; [ 44 217],[ 17.53076923 111.46923077] ; [ 35.46923077 225.53076923],0
r4,1,0.007788,7.081698,[105  24] ; [237  24],[113.12307692  15.87692308] ; [228.87692308  32.12307692],0
u3,1,0.011002,6.46505,[22 27] ; [61 30],[29.05 19.95] ; [53.95 37.05],0
r2,1,0.012926,6.179171,[115  14] ; [247  11],[120.66666667   8.33333333] ; [241.33333333  16.66666667],0
p2,1,0.022838,5.180762,[95 33] ; [219  42],[103.32133676  24.67866324] ; [210.67866324  50.32133676],0
b1,1,0.028033,4.826013,[65 64] ; [101 160],[54.90769231 74.09230769] ; [111.09230769 149.90769231],0
r1,1,0.049723,3.850784,[86 43] ; [197  62],[94.09020619 34.90979381] ; [188.90979381  70.09020619],0
p10,1,0.055767,3.658992,[87 41] ; [198  59],[94.75324675 33.24675325] ; [190.24675325  66.75324675],0
p4,1,0.061807,3.488209,[63 65] ; [154 106],[71.58762887 56.41237113] ; [145.41237113 114.58762887],0
a1,1,0.089039,2.891669,[  8 121] ; [  7 254],[  4.96153846 124.03846154] ; [ 10.03846154 250.96153846],0
n3,1,0.09769,2.742857,[26 19] ; [46 17],[30. 15.] ; [42. 21.],0
s2,1,0.102643,2.663995,[52 76] ; [128 131],[59.53488372 68.46511628] ; [120.46511628 138.53488372],0
p8,1,0.121885,2.392936,[55 74] ; [132 127],[62.17268041 66.82731959] ; [124.82731959 134.17268041],0
s5,1,0.22,1.504371,[44 80] ; [ 74 179],[38.81167109 85.18832891] ; [ 79.18832891 173.81167109],0
r3,1,0.237448,1.395681,[115  14] ; [241  19],[118.05655527  10.94344473] ; [237.94344473  22.05655527],0
n5,1,0.238346,1.390349,[96 32] ; [180  80],[91.05154639 36.94845361] ; [184.94845361  75.05154639],0
s7,1,0.300917,1.070127,[59 65] ; [104 144],[54.33333333 69.66666667] ; [108.66666667 139.33333333],0
p9,1,0.313474,1.01598,[96 31] ; [205  51],[99.80939948 27.19060052] ; [201.19060052  54.80939948],0
