Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4.3e-05,16.71358,[39 57] ; [29  7],[49.45454545 46.54545455] ; [18.54545455 17.45454545],1
a5,1,0.006883,7.303232,[58 44] ; [31  7],[64.84285714 37.15714286] ; [24.15714286 13.84285714],0
r1,1,0.007077,7.253389,[71 30] ; [35  3],[77.02158273 23.97841727] ; [28.97841727  9.02158273],0
r4,1,0.047389,3.93154,[79 23] ; [35  3],[83.05714286 18.94285714] ; [30.94285714  7.05714286],0
b4,1,0.06468,3.413119,[52 50] ; [26 12],[56.82857143 45.17142857] ; [21.17142857 16.82857143],0
v4,1,0.069296,3.299612,[86 13] ; [37  1],[88.88321168 10.11678832] ; [34.11678832  3.88321168],0
p8,1,0.113225,2.508621,[38 63] ; [19 17],[42.02189781 58.97810219] ; [14.97810219 21.02189781],0
a2,1,0.120729,2.407832,[19 83] ; [ 3 35],[16.02857143 85.97142857] ; [ 5.97142857 32.02857143],0
b5,1,0.173861,1.849329,[69 33] ; [21 17],[65.57142857 36.42857143] ; [24.42857143 13.57142857],0
v1,1,0.175336,1.836717,[39 59] ; [20 18],[42.51470588 55.48529412] ; [16.48529412 21.51470588],0
p5,1,0.185248,1.755009,[ 3 99] ; [ 3 34],[ 4.4028777 97.5971223] ; [ 1.5971223 35.4028777],0
n4,1,0.213643,1.546564,[47 55] ; [22 16],[50.27142857 51.72857143] ; [18.72857143 19.27142857],0
d2,1,0.254439,1.298764,[43 59] ; [12 26],[40.07142857 61.92857143] ; [14.92857143 23.07142857],0
p12,1,0.278938,1.172256,[ 2 98] ; [ 2 34],[ 2.94117647 97.05882353] ; [ 1.05882353 34.94117647],0
p10,1,0.286565,1.135691,[60 41] ; [25 11],[62.66423358 38.33576642] ; [22.33576642 13.66423358],0
p3,1,0.296748,1.08875,[35 66] ; [16 20],[37.59854015 63.40145985] ; [13.40145985 22.59854015],0
a6,1,0.308985,1.035008,[71 31] ; [23 15],[68.48571429 33.51428571] ; [25.51428571 12.48571429],0
r2,1,0.329656,0.950248,[86 14] ; [35  3],[87.68115942 12.31884058] ; [33.31884058  4.68115942],0
s5,1,0.332565,0.938886,[23 73] ; [ 6 31],[20.93233083 75.06766917] ; [ 8.06766917 28.93233083],0
a8,1,0.351683,0.867375,[11 85] ; [ 2 32],[ 9.6 86.4] ; [ 3.4 30.6],0
u2,1,0.369978,0.80374,[25 12] ; [12  3],[26.32692308 10.67307692] ; [10.67307692  4.32692308],0
