Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5e-06,20.764447,[33 25] ; [117  18],[45.07772021 12.92227979] ; [104.92227979  30.07772021],1
v1,1,0.001408,10.19588,[27 32] ; [95 41],[36.91282051 22.08717949] ; [85.08717949 50.91282051],0
v3,1,0.011308,6.416268,[15 42] ; [62 73],[22.859375 34.140625] ; [54.140625 80.859375],0
n1,1,0.011325,6.413555,[ 3 10] ; [16  8],[6.67567568 6.32432432] ; [12.32432432 11.67567568],0
a5,1,0.016451,5.753979,[41 19] ; [116  23],[47.33668342 12.66331658] ; [109.66331658  29.33668342],0
p9,1,0.017681,5.627532,[51  9] ; [132   7],[55.1758794  4.8241206] ; [127.8241206  11.1758794],0
u3,1,0.025432,4.99424,[9 9] ; [22  5],[12.4  5.6] ; [18.6  8.4],0
d1,1,0.046129,3.976888,[35 25] ; [101  38],[41.00502513 18.99497487] ; [94.99497487 44.00502513],0
d5,1,0.062549,3.468484,[45 14] ; [120  18],[49.41624365  9.58375635] ; [115.58375635  22.41624365],0
a3,1,0.082597,3.013043,[42 18] ; [112  26],[46.66666667 13.33333333] ; [107.33333333  30.66666667],0
a7,1,0.087394,2.921724,[48 11] ; [96 42],[43.12690355 15.87309645] ; [100.87309645  37.12690355],0
u1,1,0.099996,2.705613,[11 49] ; [41 98],[15.67839196 44.32160804] ; [ 36.32160804 102.67839196],0
r2,1,0.118256,2.440273,[56  4] ; [134   3],[57.8680203  2.1319797] ; [132.1319797   4.8680203],0
p10,1,0.138608,2.193341,[50 10] ; [126  13],[53.06532663  6.93467337] ; [122.93467337  16.06532663],0
v2,1,0.143811,2.136697,[31 28] ; [86 49],[35.58247423 23.41752577] ; [81.41752577 53.58247423],0
p3,1,0.147086,2.102215,[36 24] ; [98 41],[40.40201005 19.59798995] ; [93.59798995 45.40201005],0
a8,1,0.158638,1.98716,[ 6 50] ; [ 25 106],[ 9.28342246 46.71657754] ; [ 21.71657754 109.28342246],0
p8,1,0.183508,1.768985,[37 23] ; [99 40],[41.00502513 18.99497487] ; [94.99497487 44.00502513],0
s6,1,0.197572,1.660235,[51  9] ; [124  12],[53.57142857  6.42857143] ; [121.42857143  14.57142857],0
u4,1,0.202736,1.622556,[ 1 59] ; [  8 131],[ 2.71356784 57.28643216] ; [  6.28643216 132.71356784],0
s3,1,0.237497,1.395388,[47 12] ; [120  19],[49.76262626  9.23737374] ; [117.23737374  21.76262626],0
n4,1,0.259276,1.27262,[47 13] ; [118  21],[49.74874372 10.25125628] ; [115.25125628  23.74874372],0
d2,1,0.292368,1.108685,[31 29] ; [83 56],[34.3718593 25.6281407] ; [79.6281407 59.3718593],0
n6,1,0.300535,1.071821,[51  8] ; [126  12],[53.01015228  5.98984772] ; [123.98984772  14.01015228],0
n3,1,0.301468,1.067688,[7 6] ; [17  7],[8.43243243 4.56756757] ; [15.56756757  8.43243243],0
p2,1,0.318352,0.995704,[51  9] ; [125  14],[53.06532663  6.93467337] ; [122.93467337  16.06532663],0
b2,1,0.359056,0.841193,[13 19] ; [47 47],[15.23809524 16.76190476] ; [44.76190476 49.23809524],0
b3,1,0.359056,0.841193,[13 19] ; [47 47],[15.23809524 16.76190476] ; [44.76190476 49.23809524],0
n5,1,0.366339,0.816047,[47 12] ; [118  21],[49.16666667  9.83333333] ; [115.83333333  23.16666667],0
p5,1,0.367041,0.813658,[10 50] ; [ 31 108],[12.36180905 47.63819095] ; [ 28.63819095 110.36180905],0
s1,1,0.36986,0.804136,[ 5 55] ; [  7 132],[ 3.61809045 56.38190955] ; [  8.38190955 130.61809045],0
p11,1,0.3764,0.782427,[45 15] ; [112  27],[47.33668342 12.66331658] ; [109.66331658  29.33668342],0
d4,1,0.413131,0.669771,[51  9] ; [123  15],[52.72727273  7.27272727] ; [121.27272727  16.72727273],0
b4,1,0.449826,0.571091,[35 25] ; [73 66],[32.56281407 27.43718593] ; [75.43718593 63.56281407],0
v4,1,0.455794,0.556204,[57  3] ; [135   4],[57.88944724  2.11055276] ; [134.11055276   4.88944724],0
s4,1,0.470509,0.520779,[17 40] ; [ 34 103],[14.98453608 42.01546392] ; [ 36.01546392 100.98453608],0
r4,1,0.504136,0.446219,[54  6] ; [129  10],[55.1758794  4.8241206] ; [127.8241206  11.1758794],0
r1,1,0.528689,0.39691,[51  9] ; [113  26],[49.44723618 10.55276382] ; [114.55276382  24.44723618],0
s5,1,0.564579,0.331838,[31 26] ; [76 53],[32.79032258 24.20967742] ; [74.20967742 54.79032258],0
p12,1,0.566208,0.329068,[ 8 52] ; [ 23 116],[ 9.34673367 50.65326633] ; [ 21.65326633 117.34673367],0
b5,1,0.571544,0.320106,[35 25] ; [87 52],[36.7839196 23.2160804] ; [85.2160804 53.7839196],0
p1,1,0.594351,0.2836,[ 7 53] ; [ 20 118],[ 8.18181818 51.81818182] ; [ 18.81818182 119.18181818],0
