Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,7.3e-05,15.732841,[ 37 117] ; [19 13],[ 46.3655914 107.6344086] ; [ 9.6344086 22.3655914],1
s6,1,0.000262,13.325844,[ 52 101] ; [22 10],[61.2 91.8] ; [12.8 19.2],1
s3,1,0.001019,10.793411,[ 49 100] ; [21 12],[57.30769231 91.69230769] ; [12.69230769 20.30769231],0
s7,1,0.002245,9.337268,[ 25 121] ; [13 18],[ 31.34463277 114.65536723] ; [ 6.65536723 24.34463277],0
u3,1,0.003142,8.72325,[28 34] ; [11  1],[32.67567568 29.32432432] ; [6.32432432 5.67567568],0
s5,1,0.003275,8.647833,[ 28 122] ; [13 17],[ 34.16666667 115.83333333] ; [ 6.83333333 23.16666667],0
a2,1,0.086146,2.944949,[ 21 133] ; [ 1 32],[ 18.11764706 135.88235294] ; [ 3.88235294 29.11764706],0
r2,1,0.090241,2.870075,[131  21] ; [31  1],[133.82608696  18.17391304] ; [28.17391304  3.82608696],0
p2,1,0.116491,2.463871,[108  43] ; [19 14],[104.22282609  46.77717391] ; [22.77717391 10.22282609],0
p11,1,0.122099,2.390186,[97 57] ; [16 17],[93.05882353 60.94117647] ; [19.94117647 13.05882353],0
p8,1,0.181029,1.789159,[62 90] ; [ 9 23],[58.65217391 93.34782609] ; [12.34782609 19.65217391],0
p10,1,0.265089,1.241985,[80 71] ; [21 12],[82.88586957 68.11413043] ; [18.11413043 14.88586957],0
p6,1,0.281908,1.157868,[ 28 120] ; [ 9 24],[ 30.25414365 117.74585635] ; [ 6.74585635 26.25414365],0
a5,1,0.282125,1.156823,[87 67] ; [22 11],[89.76470588 64.23529412] ; [19.23529412 13.76470588],0
n1,1,0.298713,1.079931,[11 40] ; [4 7],[12.33870968 38.66129032] ; [2.66129032 8.33870968],0
v3,1,0.310695,1.027719,[ 33 112] ; [10 22],[ 35.2259887 109.7740113] ; [ 7.7740113 24.2259887],0
d3,1,0.334415,0.931725,[102  52] ; [24  8],[104.32258065  49.67741935] ; [21.67741935 10.32258065],0
p3,1,0.345954,0.888241,[ 47 105] ; [13 20],[ 49.2972973 102.7027027] ; [10.7027027 22.2972973],0
n6,1,0.346236,0.887204,[89 65] ; [22 11],[91.41176471 62.58823529] ; [19.58823529 13.41176471],0
v1,1,0.375756,0.784539,[53 97] ; [ 9 24],[50.81967213 99.18032787] ; [11.18032787 21.81967213],0
u1,1,0.381648,0.765385,[ 11 143] ; [ 1 32],[  9.88235294 144.11764706] ; [ 2.11764706 30.88235294],0
d4,1,0.422937,0.642139,[126  28] ; [25  8],[124.35294118  29.64705882] ; [26.64705882  6.35294118],0
a4,1,0.428962,0.625631,[ 53 101] ; [ 9 24],[ 51.05882353 102.94117647] ; [10.94117647 22.05882353],0
v2,1,0.449949,0.57078,[71 77] ; [13 19],[69.06666667 78.93333333] ; [14.93333333 17.06666667],0
a7,1,0.464319,0.535462,[111  43] ; [21 11],[109.29032258  44.70967742] ; [22.70967742  9.29032258],0
n4,1,0.465691,0.532181,[57 97] ; [10 23],[55.17647059 98.82352941] ; [11.82352941 21.17647059],0
r4,1,0.518399,0.417077,[113  41] ; [26  7],[114.47058824  39.52941176] ; [24.52941176  8.47058824],0
p4,1,0.55611,0.346484,[59 93] ; [11 22],[57.51351351 94.48648649] ; [12.48648649 20.51351351],0
p9,1,0.571919,0.319483,[91 60] ; [21 11],[92.41530055 58.58469945] ; [19.58469945 12.41530055],0
p1,1,0.58428,0.299367,[  8 143] ; [ 1 32],[  7.38586957 143.61413043] ; [ 1.61413043 31.38586957],0
d2,1,0.587079,0.29493,[ 53 101] ; [13 20],[54.35294118 99.64705882] ; [11.64705882 21.35294118],0
a3,1,0.60923,0.261298,[90 63] ; [21 12],[91.30645161 61.69354839] ; [19.69354839 13.30645161],0
n3,1,0.610299,0.25974,[35 14] ; [7 4],[34.3 14.7] ; [7.7 3.3],0
p7,1,0.736432,0.113288,[74 78] ; [15 18],[73.12432432 78.87567568] ; [15.87567568 17.12432432],0
b4,1,0.764715,0.089578,[93 61] ; [19 14],[92.23529412 61.76470588] ; [19.76470588 13.23529412],0
v4,1,0.789437,0.071311,[131  21] ; [27  5],[130.52173913  21.47826087] ; [27.47826087  4.52173913],0
a1,1,0.812054,0.056538,[  6 148] ; [ 1 32],[  5.76470588 148.23529412] ; [ 1.23529412 31.76470588],0
a6,1,0.818297,0.052778,[92 62] ; [19 14],[91.41176471 62.58823529] ; [19.58823529 13.41176471],0
