Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,300.328654,[ 45 308] ; [291  89],[161.81173261 191.18826739] ; [174.18826739 205.81173261],1
s6,1,0.0,131.487558,[142 208] ; [308  68],[216.94214876 133.05785124] ; [233.05785124 142.94214876],1
s7,1,0.0,99.531596,[ 88 244] ; [235 131],[153.63323782 178.36676218] ; [169.36676218 196.63323782],1
s8,1,0.0,84.875649,[ 88 264] ; [222 156],[149.47945205 202.52054795] ; [160.52054795 217.47945205],1
s5,1,0.0,27.196815,[ 69 278] ; [138 229],[100.60084034 246.39915966] ; [106.39915966 260.60084034],1
u4,1,0.000399,12.538736,[  1 354] ; [ 16 364],[  8.21088435 346.78911565] ; [  8.78911565 371.21088435],1
p12,1,0.0004,12.533272,[ 15 335] ; [ 43 334],[ 27.92297111 322.07702889] ; [ 30.07702889 346.92297111],1
n4,1,0.00108,10.68536,[254 101] ; [309  69],[272.66712142  82.33287858] ; [290.33287858  87.66712142],0
r2,1,0.001557,10.009448,[325  26] ; [368   9],[334.125  16.875] ; [358.875  18.125],0
r4,1,0.001956,9.590246,[310  45] ; [357  23],[322.15646259  32.84353741] ; [344.84353741  35.15646259],0
n5,1,0.004635,8.016639,[244 108] ; [296  81],[260.74074074  91.25925926] ; [279.25925926  97.74074074],0
n1,1,0.006289,7.465619,[26 65] ; [40 42],[34.71676301 56.28323699] ; [31.28323699 50.71676301],0
p9,1,0.007376,7.179125,[274  73] ; [326  51],[287.56906077  59.43093923] ; [312.43093923  64.56906077],0
p10,1,0.008586,6.90707,[262  86] ; [312  63],[276.28215768  71.71784232] ; [297.71784232  77.28215768],0
r3,1,0.008993,6.82429,[329  25] ; [369  11],[336.63760218  17.36239782] ; [361.36239782  18.63760218],0
r1,1,0.010309,6.580789,[271  83] ; [317  60],[284.749658  69.250342] ; [303.250342  73.749658],0
v1,1,0.016059,5.796401,[175 176] ; [213 149],[191.00701262 159.99298738] ; [196.99298738 165.00701262],0
p4,1,0.021775,5.263693,[188 163] ; [233 143],[203.26134801 147.73865199] ; [217.73865199 158.26134801],0
a3,1,0.022761,5.186681,[236 118] ; [281  97],[250.02459016 103.97540984] ; [266.97540984 111.02459016],0
p7,1,0.0262,4.942774,[203 145] ; [243 123],[217.37815126 130.62184874] ; [228.62184874 137.37815126],0
n2,1,0.045252,4.009231,[61 31] ; [67 17],[66.90909091 25.09090909] ; [61.09090909 22.90909091],0
d1,1,0.046527,3.962405,[190 165] ; [231 149],[203.34013605 151.65986395] ; [217.65986395 162.34013605],0
v3,1,0.048972,3.8763,[127 216] ; [160 201],[139.83096591 203.16903409] ; [147.16903409 213.83096591],0
d4,1,0.053807,3.718671,[278  76] ; [317  60],[288.13953488  65.86046512] ; [306.86046512  70.13953488],0
s1,1,0.054135,3.708534,[  7 345] ; [ 17 357],[ 11.63636364 340.36363636] ; [ 12.36363636 361.63636364],0
u1,1,0.057582,3.605703,[ 48 307] ; [ 71 309],[ 57.47619048 297.52380952] ; [ 61.52380952 318.47619048],0
p5,1,0.057858,3.597736,[ 33 319] ; [ 52 322],[ 41.21212121 310.78787879] ; [ 43.78787879 330.21212121],0
d2,1,0.073247,3.20871,[155 198] ; [191 187],[167.08344733 185.91655267] ; [178.91655267 199.08344733],0
p6,1,0.078123,3.103517,[108 240] ; [139 234],[119.21775312 228.78224688] ; [127.78224688 245.21775312],0
a8,1,0.081424,3.036239,[ 39 277] ; [ 61 295],[ 47.02380952 268.97619048] ; [ 52.97619048 303.02380952],0
p3,1,0.098617,2.727764,[161 191] ; [195 181],[172.13186813 179.86813187] ; [183.86813187 192.13186813],0
p2,1,0.106134,2.61087,[283  69] ; [321  57],[291.24383562  60.75616438] ; [312.75616438  65.24383562],0
a2,1,0.110812,2.542607,[ 73 282] ; [ 97 283],[ 82.10884354 272.89115646] ; [ 87.89115646 292.10884354],0
p1,1,0.138167,2.198256,[ 24 330] ; [ 37 340],[ 29.54035568 324.45964432] ; [ 31.45964432 345.54035568],0
a1,1,0.146676,2.106488,[ 14 341] ; [ 24 356],[ 18.3537415 336.6462585] ; [ 19.6462585 360.3537415],0
a6,1,0.206853,1.593313,[249 106] ; [248 129],[241.03142077 113.96857923] ; [255.96857923 121.03142077],0
b3,1,0.23199,1.42862,[ 76 129] ; [104 140],[ 82.18262806 122.81737194] ; [ 97.81737194 146.18262806],0
b2,1,0.23199,1.42862,[ 76 129] ; [104 140],[ 82.18262806 122.81737194] ; [ 97.81737194 146.18262806],0
d3,1,0.239849,1.381481,[229 125] ; [260 118],[236.48360656 117.51639344] ; [252.51639344 125.48360656],0
b5,1,0.259809,1.269773,[220 135] ; [220 160],[212.5170068 142.4829932] ; [227.4829932 152.5170068],0
a5,1,0.325765,0.965659,[251 104] ; [281  99],[256.95238095  98.04761905] ; [275.04761905 104.95238095],0
b4,1,0.344119,0.895026,[197 158] ; [224 156],[203.34013605 151.65986395] ; [217.65986395 162.34013605],0
p11,1,0.350845,0.8704,[273  82] ; [303  77],[278.20408163  76.79591837] ; [297.79591837  82.20408163],0
n6,1,0.455932,0.555862,[291  64] ; [316  60],[294.78112175  60.21887825] ; [312.21887825  63.78112175],0
n3,1,0.485722,0.485989,[61 29] ; [61 23],[63.10344828 26.89655172] ; [58.89655172 25.10344828],0
v2,1,0.527901,0.39843,[192 151] ; [210 150],[196.13940256 146.86059744] ; [205.86059744 154.13940256],0
u3,1,0.54902,0.359076,[67 51] ; [59 38],[69.15348837 48.84651163] ; [56.84651163 40.15348837],0
a7,1,0.61883,0.247516,[251 103] ; [275 104],[254.03001364  99.96998636] ; [271.96998636 107.03001364],0
p8,1,0.652283,0.203034,[175 171] ; [197 180],[178.02489627 167.97510373] ; [193.97510373 183.02489627],0
a4,1,0.762785,0.091099,[153 201] ; [168 211],[155.02592087 198.97407913] ; [165.97407913 213.02592087],0
