Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000373,12.66187,[28  6] ; [ 5 11],[22.44 11.56] ; [10.56  5.44],1
s7,1,0.00303,8.789481,[28  6] ; [6 9],[23.59183673 10.40816327] ; [10.40816327  4.59183673],0
p2,1,0.017466,5.648926,[28  6] ; [8 8],[24.48  9.52] ; [11.52  4.48],0
s6,1,0.024887,5.031766,[29  5] ; [9 7],[25.84  8.16] ; [12.16  3.84],0
s5,1,0.030549,4.678112,[12 19] ; [ 1 13],[ 8.95555556 22.04444444] ; [4.04444444 9.95555556],0
n5,1,0.071383,3.250918,[25  8] ; [8 8],[22.2244898 10.7755102] ; [10.7755102  5.2244898],0
a6,1,0.101343,2.684282,[25  9] ; [8 8],[22.44 11.56] ; [10.56  5.44],0
a1,1,0.184298,1.76262,[ 1 33] ; [ 2 14],[ 2.04 31.96] ; [ 0.96 15.04],0
u2,1,0.252136,1.311429,[6 4] ; [6 1],[7.05882353 2.94117647] ; [4.94117647 2.05882353],0
b3,1,0.293661,1.102761,[11 13] ; [ 4 10],[ 9.47368421 14.52631579] ; [5.52631579 8.47368421],0
b2,1,0.293661,1.102761,[11 13] ; [ 4 10],[ 9.47368421 14.52631579] ; [5.52631579 8.47368421],0
v3,1,0.306119,1.047346,[12 20] ; [8 7],[13.61702128 18.38297872] ; [6.38297872 8.61702128],0
d3,1,0.356744,0.849324,[21 13] ; [12  4],[22.44 11.56] ; [10.56  5.44],0
d2,1,0.386282,0.750613,[19 15] ; [11  5],[20.4 13.6] ; [9.6 6.4],0
p3,1,0.408083,0.68438,[17 17] ; [ 6 10],[15.64 18.36] ; [7.36 8.64],0
p4,1,0.431725,0.618178,[21 13] ; [8 8],[19.72 14.28] ; [9.28 6.72],0
p9,1,0.431725,0.618178,[21 13] ; [8 8],[19.72 14.28] ; [9.28 6.72],0
a3,1,0.433517,0.613383,[23 11] ; [9 7],[21.76 12.24] ; [10.24  5.76],0
v1,1,0.478391,0.502528,[15 18] ; [9 7],[16.16326531 16.83673469] ; [7.83673469 8.16326531],0
p6,1,0.479018,0.501099,[15 19] ; [ 5 10],[13.87755102 20.12244898] ; [6.12244898 8.87755102],0
d1,1,0.499954,0.455033,[20 14] ; [11  5],[21.08 12.92] ; [9.92 6.08],0
n4,1,0.515316,0.423257,[24  9] ; [13  3],[24.91836735  8.08163265] ; [12.08163265  3.91836735],0
r4,1,0.54429,0.367647,[30  4] ; [15  1],[30.6  3.4] ; [14.4  1.6],0
v4,1,0.577556,0.310202,[33  1] ; [15  1],[32.64  1.36] ; [15.36  0.64],0
v2,1,0.617093,0.249974,[19 14] ; [8 8],[18.18367347 14.81632653] ; [8.81632653 7.18367347],0
b5,1,0.631214,0.230418,[21 13] ; [11  5],[21.76 12.24] ; [10.24  5.76],0
b4,1,0.631214,0.230418,[21 13] ; [11  5],[21.76 12.24] ; [10.24  5.76],0
d4,1,0.643293,0.214461,[28  6] ; [14  2],[28.56  5.44] ; [13.44  2.56],0
b1,1,0.67987,0.170272,[17 17] ; [9 7],[17.68 16.32] ; [8.32 7.68],0
n1,1,0.706879,0.141414,[5 6] ; [1 2],[4.71428571 6.28571429] ; [1.28571429 1.71428571],0
u1,1,0.725369,0.123406,[ 7 27] ; [ 4 12],[ 7.48 26.52] ; [ 3.52 12.48],0
n2,1,0.792147,0.069444,[7 5] ; [2 1],[7.2 4.8] ; [1.8 1.2],0
p11,1,0.804493,0.061275,[20 14] ; [10  6],[20.4 13.6] ; [9.6 6.4],0
p8,1,0.826663,0.047954,[16 18] ; [7 9],[15.64 18.36] ; [7.36 8.64],0
n6,1,0.841061,0.040215,[26  7] ; [13  3],[26.26530612  6.73469388] ; [12.73469388  3.26530612],0
a8,1,0.848705,0.036394,[ 8 23] ; [ 3 10],[ 7.75 23.25] ; [3.25 9.75],0
a4,1,0.863445,0.029581,[14 20] ; [7 9],[14.28 19.72] ; [6.72 9.28],0
r1,1,0.879514,0.022978,[27  7] ; [13  3],[27.2  6.8] ; [12.8  3.2],0
a7,1,0.879514,0.022978,[22 12] ; [10  6],[21.76 12.24] ; [10.24  5.76],0
a2,1,0.879514,0.022978,[ 7 27] ; [ 3 13],[ 6.8 27.2] ; [ 3.2 12.8],0
a5,1,0.894736,0.017507,[24 10] ; [11  5],[23.8 10.2] ; [11.2  4.8],0
p7,1,0.910432,0.012655,[15 18] ; [7 9],[14.81632653 18.18367347] ; [7.18367347 8.81632653],0
d5,1,0.924558,0.008967,[28  6] ; [13  3],[27.88  6.12] ; [13.12  2.88],0
r3,1,0.959275,0.002607,[32  2] ; [15  1],[31.96  2.04] ; [15.04  0.96],0
