Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1.4e-05,18.927698,[24  4] ; [ 2 11],[17.75609756 10.24390244] ; [8.24390244 4.75609756],1
p10,1,0.000194,13.887872,[21  7] ; [ 2 12],[15.33333333 12.66666667] ; [7.66666667 6.33333333],1
p2,1,0.000729,11.412625,[25  4] ; [5 9],[20.23255814  8.76744186] ; [9.76744186 4.23255814],1
p8,1,0.004596,8.031854,[15 14] ; [ 1 13],[10.79069767 18.20930233] ; [5.20930233 8.79069767],0
n6,1,0.004943,7.900229,[23  6] ; [5 9],[18.88372093 10.11627907] ; [9.11627907 4.88372093],0
n5,1,0.010704,6.513792,[22  7] ; [5 9],[18.20930233 10.79069767] ; [8.79069767 5.20930233],0
r3,1,0.010776,6.501812,[25  4] ; [7 7],[21.58139535  7.41860465] ; [10.41860465  3.58139535],0
n2,1,0.020116,5.401786,[7 2] ; [1 5],[4.8 4.2] ; [3.2 2.8],0
v1,1,0.030713,4.668924,[14 15] ; [ 2 12],[10.79069767 18.20930233] ; [5.20930233 8.79069767],0
b1,1,0.036807,4.35932,[13 16] ; [11  3],[16.18604651 12.81395349] ; [7.81395349 6.18604651],0
a5,1,0.03835,4.289409,[20  9] ; [5 9],[16.86046512 12.13953488] ; [8.13953488 5.86046512],0
p4,1,0.03835,4.289409,[20  9] ; [5 9],[16.86046512 12.13953488] ; [8.13953488 5.86046512],0
p7,1,0.064721,3.412087,[17 12] ; [ 4 10],[14.1627907 14.8372093] ; [6.8372093 7.1627907],0
s6,1,0.064721,3.412087,[17 12] ; [ 4 10],[14.1627907 14.8372093] ; [6.8372093 7.1627907],0
r4,1,0.075627,3.156471,[12 17] ; [ 2 12],[ 9.44186047 19.55813953] ; [4.55813953 9.44186047],0
s2,1,0.110612,2.545455,[ 8 20] ; [ 1 13],[ 6. 22.] ; [ 3. 11.],0
s5,1,0.122553,2.384389,[ 8 21] ; [ 1 13],[ 6.06976744 22.93023256] ; [ 2.93023256 11.06976744],0
v2,1,0.1262,2.338636,[17 11] ; [5 9],[14.66666667 13.33333333] ; [7.33333333 6.66666667],0
a3,1,0.159102,1.982743,[17 12] ; [5 9],[14.8372093 14.1627907] ; [7.1627907 6.8372093],0
a4,1,0.198349,1.654486,[12 17] ; [ 3 11],[10.11627907 18.88372093] ; [4.88372093 9.11627907],0
