Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3e-06,22.000121,[39  4] ; [ 4 10],[32.43859649 10.56140351] ; [10.56140351  3.43859649],1
r4,1,0.002222,9.356395,[38  5] ; [7 7],[33.94736842  9.05263158] ; [11.05263158  2.94736842],0
b1,1,0.010099,6.617325,[ 9 34] ; [8 6],[12.8245614 30.1754386] ; [4.1754386 9.8245614],0
a5,1,0.010511,6.546134,[29 14] ; [ 4 10],[24.89473684 18.10526316] ; [8.10526316 5.89473684],0
s2,1,0.014251,6.006822,[31 12] ; [5 9],[27.15789474 15.84210526] ; [8.84210526 5.15789474],0
v2,1,0.019247,5.478896,[20 20] ; [ 2 12],[16.2962963 23.7037037] ; [5.7037037 8.2962963],0
p11,1,0.03558,4.417111,[29 14] ; [5 9],[25.64912281 17.35087719] ; [8.35087719 5.64912281],0
r3,1,0.053929,3.714905,[41  2] ; [11  3],[39.22807018  3.77192982] ; [12.77192982  1.22807018],0
p3,1,0.069835,3.286901,[13 30] ; [8 6],[15.84210526 27.15789474] ; [5.15789474 8.84210526],0
v1,1,0.07306,3.212897,[17 25] ; [ 2 12],[14.25 27.75] ; [4.75 9.25],0
d3,1,0.074791,3.174603,[34  8] ; [8 6],[31.5 10.5] ; [10.5  3.5],0
a3,1,0.076179,3.144587,[27 16] ; [5 9],[24.14035088 18.85964912] ; [7.85964912 6.14035088],0
r2,1,0.081743,3.0299,[42  1] ; [12  2],[40.73684211  2.26315789] ; [13.26315789  0.73684211],0
n6,1,0.116888,2.458537,[33  9] ; [8 6],[30.75 11.25] ; [10.25  3.75],0
r1,1,0.140351,2.174108,[28 15] ; [6 8],[25.64912281 17.35087719] ; [8.35087719 5.64912281],0
a4,1,0.14341,2.140981,[15 28] ; [ 2 12],[12.8245614 30.1754386] ; [4.1754386 9.8245614],0
p4,1,0.144403,2.130399,[18 25] ; [9 5],[20.36842105 22.63157895] ; [6.63157895 7.36842105],0
s8,1,0.16866,1.894815,[18 25] ; [ 3 11],[15.84210526 27.15789474] ; [5.15789474 8.84210526],0
b4,1,0.16866,1.894815,[25 18] ; [11  3],[27.15789474 15.84210526] ; [8.84210526 5.15789474],0
a7,1,0.171857,1.866667,[32 10] ; [8 6],[30. 12.] ; [10.  4.],0
s5,1,0.1726,1.860213,[22 20] ; [4 9],[19.85454545 22.14545455] ; [6.14545455 6.85454545],0
a6,1,0.248833,1.329842,[26 17] ; [6 8],[24.14035088 18.85964912] ; [7.85964912 6.14035088],0
u2,1,0.270948,1.211939,[9 7] ; [3 6],[7.68 8.32] ; [4.32 4.68],0
d5,1,0.285049,1.142857,[33  9] ; [9 5],[31.5 10.5] ; [10.5  3.5],0
d4,1,0.31141,1.024687,[36  7] ; [10  4],[34.70175439  8.29824561] ; [11.29824561  2.70175439],0
d1,1,0.314659,1.011019,[22 21] ; [5 9],[20.36842105 22.63157895] ; [6.63157895 7.36842105],0
p6,1,0.375013,0.786987,[18 25] ; [ 4 10],[16.59649123 26.40350877] ; [5.40350877 8.59649123],0
s7,1,0.380335,0.769618,[22 20] ; [5 8],[20.61818182 21.38181818] ; [6.38181818 6.61818182],0
n2,1,0.412494,0.671601,[13  3] ; [6 3],[12.16  3.84] ; [6.84 2.16],0
s6,1,0.426905,0.631229,[35  8] ; [10  4],[33.94736842  9.05263158] ; [11.05263158  2.94736842],0
u3,1,0.431847,0.617851,[10  6] ; [7 2],[10.88  5.12] ; [6.12 2.88],0
p8,1,0.43297,0.614844,[16 26] ; [7 7],[17.25 24.75] ; [5.75 8.25],0
d2,1,0.460137,0.545562,[17 26] ; [ 4 10],[15.84210526 27.15789474] ; [5.15789474 8.84210526],0
p1,1,0.500085,0.454756,[ 6 37] ; [ 1 13],[ 5.28070175 37.71929825] ; [ 1.71929825 12.28070175],0
n3,1,0.509432,0.435233,[11  5] ; [5 4],[10.24  5.76] ; [5.76 3.24],0
s3,1,0.591144,0.288562,[28 15] ; [8 6],[27.15789474 15.84210526] ; [8.84210526 5.15789474],0
v4,1,0.597697,0.278483,[39  4] ; [12  2],[38.47368421  4.52631579] ; [12.52631579  1.47368421],0
n5,1,0.683909,0.165758,[18 25] ; [5 9],[17.35087719 25.64912281] ; [5.64912281 8.35087719],0
p2,1,0.688184,0.161058,[33 10] ; [10  4],[32.43859649 10.56140351] ; [10.56140351  3.43859649],0
p7,1,0.723428,0.125232,[25 15] ; [8 6],[24.44444444 15.55555556] ; [8.55555556 5.44444444],0
v3,1,0.82182,0.050717,[10 31] ; [ 3 11],[ 9.69090909 31.30909091] ; [ 3.30909091 10.69090909],0
n1,1,0.914641,0.011489,[ 5 11] ; [3 6],[ 5.12 10.88] ; [2.88 6.12],0
b5,1,0.954897,0.003199,[28 15] ; [9 5],[27.9122807 15.0877193] ; [9.0877193 4.9122807],0
