Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.001785,9.758442,[ 3 12] ; [9 2],[6.92307692 8.07692308] ; [5.07692308 5.92307692],0
r4,1,0.002869,8.888889,[10 20] ; [14  4],[15. 15.] ; [9. 9.],0
r3,1,0.006385,7.43833,[15 15] ; [16  2],[19.375 10.625] ; [11.625  6.375],0
r1,1,0.017073,5.688889,[11 19] ; [13  5],[15. 15.] ; [9. 9.],0
a4,1,0.05375,3.72044,[11 19] ; [ 2 16],[ 8.125 21.875] ; [ 4.875 13.125],0
v4,1,0.05711,3.61937,[18 11] ; [15  2],[20.80434783  8.19565217] ; [12.19565217  4.80434783],0
n4,1,0.060365,3.527337,[20 10] ; [ 7 11],[16.875 13.125] ; [10.125  7.875],0
s1,1,0.105645,2.618182,[ 1 29] ; [ 3 15],[ 2.5 27.5] ; [ 1.5 16.5],0
p1,1,0.109599,2.56,[ 3 27] ; [ 5 13],[ 5. 25.] ; [ 3. 15.],0
d3,1,0.111574,2.53178,[ 4 25] ; [ 6 12],[ 6.17021277 22.82978723] ; [ 3.82978723 14.17021277],0
r2,1,0.116836,2.459228,[20  9] ; [16  2],[22.21276596  6.78723404] ; [13.78723404  4.21276596],0
b5,1,0.117206,2.454261,[13 17] ; [12  6],[15.625 14.375] ; [9.375 8.625],0
s3,1,0.126598,2.333737,[ 7 23] ; [ 8 10],[ 9.375 20.625] ; [ 5.625 12.375],0
a6,1,0.13057,2.285714,[20 10] ; [ 8 10],[17.5 12.5] ; [10.5  7.5],0
p9,1,0.148111,2.091601,[17 11] ; [ 7 11],[14.60869565 13.39130435] ; [9.39130435 8.60869565],0
p11,1,0.178198,1.812587,[14 16] ; [12  6],[16.25 13.75] ; [9.75 8.25],0
p10,1,0.178663,1.808707,[15 13] ; [ 6 12],[12.7826087 15.2173913] ; [8.2173913 9.7826087],0
d2,1,0.208413,1.582418,[10 20] ; [ 3 15],[ 8.125 21.875] ; [ 4.875 13.125],0
v1,1,0.235762,1.405759,[ 8 21] ; [ 8 10],[ 9.87234043 19.12765957] ; [ 6.12765957 11.87234043],0
a8,1,0.269517,1.219202,[ 5 24] ; [ 1 16],[ 3.7826087 25.2173913] ; [ 2.2173913 14.7826087],0
p7,1,0.277663,1.178491,[16 13] ; [ 7 11],[14.19148936 14.80851064] ; [8.80851064 9.19148936],0
b4,1,0.295035,1.096503,[12 18] ; [10  8],[13.75 16.25] ; [8.25 9.75],0
n1,1,0.340144,0.90989,[8 8] ; [2 5],[6.95652174 9.04347826] ; [3.04347826 3.95652174],0
d5,1,0.364346,0.822857,[14 16] ; [ 6 12],[12.5 17.5] ; [ 7.5 10.5],0
a3,1,0.391307,0.734876,[15 14] ; [ 7 11],[13.57446809 15.42553191] ; [8.42553191 9.57446809],0
v2,1,0.438988,0.598927,[ 9 17] ; [ 4 13],[ 7.86046512 18.13953488] ; [ 5.13953488 11.86046512],0
s4,1,0.498962,0.457143,[ 3 27] ; [ 3 15],[ 3.75 26.25] ; [ 2.25 15.75],0
v3,1,0.503233,0.448113,[ 6 23] ; [ 5 12],[ 6.93478261 22.06521739] ; [ 4.06521739 12.93478261],0
p3,1,0.534803,0.385258,[ 6 24] ; [ 5 13],[ 6.875 23.125] ; [ 4.125 13.875],0
p2,1,0.598976,0.276543,[16 14] ; [11  7],[16.875 13.125] ; [10.125  7.875],0
a7,1,0.598976,0.276543,[14 16] ; [ 7 11],[13.125 16.875] ; [ 7.875 10.125],0
s5,1,0.60413,0.268811,[ 3 26] ; [ 1 16],[ 2.52173913 26.47826087] ; [ 1.47826087 15.52173913],0
s2,1,0.63307,0.22792,[ 5 25] ; [ 4 14],[ 5.625 24.375] ; [ 3.375 14.625],0
u2,1,0.691398,0.157576,[8 7] ; [5 6],[7.5 7.5] ; [5.5 5.5],0
s6,1,0.696819,0.151803,[10 20] ; [ 7 11],[10.625 19.375] ; [ 6.375 11.625],0
a5,1,0.709147,0.13913,[15 15] ; [ 8 10],[14.375 15.625] ; [8.625 9.375],0
p8,1,0.728742,0.12027,[11 17] ; [ 8 10],[11.56521739 16.43478261] ; [ 7.43478261 10.56521739],0
p6,1,0.733301,0.116102,[ 6 23] ; [ 3 15],[ 5.55319149 23.44680851] ; [ 3.44680851 14.55319149],0
n2,1,0.750824,0.10084,[11  6] ; [5 2],[11.33333333  5.66666667] ; [4.66666667 2.33333333],0
s7,1,0.758486,0.094538,[ 6 22] ; [ 3 14],[ 5.6 22.4] ; [ 3.4 13.6],0
p4,1,0.815163,0.054649,[11 19] ; [ 6 12],[10.625 19.375] ; [ 6.375 11.625],0
s8,1,0.85438,0.033684,[ 6 24] ; [ 4 14],[ 6.25 23.75] ; [ 3.75 14.25],0
b2,1,0.92036,0.009996,[ 6 11] ; [3 6],[ 5.88461538 11.11538462] ; [3.11538462 5.88461538],0
b3,1,0.92036,0.009996,[ 6 11] ; [3 6],[ 5.88461538 11.11538462] ; [3.11538462 5.88461538],0
b1,1,0.940115,0.005644,[17 13] ; [10  8],[16.875 13.125] ; [10.125  7.875],0
