Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.2e-05,17.978535,[100  17] ; [18 17],[90.82894737 26.17105263] ; [27.17105263  7.82894737],1
p7,1,0.00014,14.496487,[74 41] ; [11 27],[63.88888889 51.11111111] ; [21.11111111 16.88888889],1
p11,1,0.000321,12.942456,[92 26] ; [18 20],[83.20512821 34.79487179] ; [26.79487179 11.20512821],1
p10,1,0.000433,12.383322,[92 25] ; [18 19],[83.57142857 33.42857143] ; [26.42857143 10.57142857],1
a7,1,0.002817,8.922164,[91 26] ; [20 18],[83.78709677 33.21290323] ; [27.21290323 10.78709677],0
p8,1,0.00304,8.783076,[57 61] ; [ 8 30],[49.16666667 68.83333333] ; [15.83333333 22.16666667],0
d3,1,0.009831,6.665269,[85 32] ; [19 19],[78.50322581 38.49677419] ; [25.49677419 12.50322581],0
v4,1,0.025725,4.974422,[113   4] ; [33  5],[110.20645161   6.79354839] ; [35.79354839  2.20645161],0
a6,1,0.040211,4.208972,[75 43] ; [17 21],[69.58974359 48.41025641] ; [22.41025641 15.58974359],0
s1,1,0.084743,2.971507,[  1 117] ; [ 2 36],[  2.26923077 115.73076923] ; [ 0.73076923 37.26923077],0
r3,1,0.090901,2.85835,[112   6] ; [33  5],[109.67948718   8.32051282] ; [35.32051282  2.67948718],0
b5,1,0.092662,2.827509,[69 49] ; [28 10],[73.37179487 44.62820513] ; [23.62820513 14.37179487],0
n3,1,0.107034,2.59748,[30 15] ; [7 9],[27.29508197 17.70491803] ; [9.70491803 6.29508197],0
u1,1,0.115735,2.474106,[ 13 105] ; [ 1 37],[ 10.58974359 107.41025641] ; [ 3.41025641 34.58974359],0
r1,1,0.126762,2.331716,[84 34] ; [22 16],[80.17948718 37.82051282] ; [25.82051282 12.17948718],0
b1,1,0.148823,2.084271,[32 86] ; [15 23],[35.55128205 82.44871795] ; [11.44871795 26.55128205],0
p4,1,0.180041,1.797285,[55 63] ; [13 25],[51.43589744 66.56410256] ; [16.56410256 21.43589744],0
a4,1,0.210953,1.564877,[31 87] ; [14 24],[34.03846154 83.96153846] ; [10.96153846 27.03846154],0
p3,1,0.216269,1.528957,[44 74] ; [10 28],[40.84615385 77.15384615] ; [13.15384615 24.84615385],0
d2,1,0.227535,1.456202,[40 78] ; [17 21],[43.11538462 74.88461538] ; [13.88461538 24.11538462],0
s4,1,0.244225,1.35604,[29 89] ; [13 25],[31.76923077 86.23076923] ; [10.23076923 27.76923077],0
u2,1,0.348174,0.880102,[23 23] ; [5 9],[21.46666667 24.53333333] ; [6.53333333 7.46666667],0
s3,1,0.360558,0.83595,[53 64] ; [14 24],[50.57419355 66.42580645] ; [16.42580645 21.57419355],0
u4,1,0.395189,0.722917,[  1 117] ; [ 1 37],[  1.51282051 116.48717949] ; [ 0.48717949 37.51282051],0
a8,1,0.401188,0.704762,[  7 104] ; [ 1 36],[  6. 105.] ; [ 2. 35.],0
s5,1,0.402007,0.702315,[35 80] ; [14 23],[37.07236842 77.92763158] ; [11.92763158 25.07236842],0
a5,1,0.412372,0.671951,[71 47] ; [20 18],[68.83333333 49.16666667] ; [22.16666667 15.83333333],0
n2,1,0.421399,0.64641,[33 11] ; [11  6],[31.73770492 12.26229508] ; [12.26229508  4.73770492],0
d1,1,0.44173,0.591783,[55 63] ; [15 23],[52.94871795 65.05128205] ; [17.05128205 20.94871795],0
s8,1,0.469632,0.522842,[36 82] ; [ 9 28],[34.25806452 83.74193548] ; [10.74193548 26.25806452],0
n5,1,0.529551,0.395253,[46 72] ; [17 21],[47.65384615 70.34615385] ; [15.34615385 22.65384615],0
v2,1,0.533832,0.387092,[56 58] ; [16 21],[54.35761589 59.64238411] ; [17.64238411 19.35761589],0
r4,1,0.566458,0.328645,[98 20] ; [30  8],[96.82051282 21.17948718] ; [31.17948718  6.82051282],0
d4,1,0.585846,0.296878,[92 26] ; [28 10],[90.76923077 27.23076923] ; [29.23076923  8.76923077],0
p12,1,0.654404,0.200393,[  5 113] ; [ 1 37],[  4.53846154 113.46153846] ; [ 1.46153846 36.53846154],0
s6,1,0.66289,0.190032,[68 49] ; [23 14],[69.13636364 47.86363636] ; [21.86363636 15.13636364],0
a3,1,0.78559,0.074007,[71 46] ; [24 14],[71.70967742 45.29032258] ; [23.29032258 14.70967742],0
p1,1,0.790492,0.070581,[  5 113] ; [ 2 36],[  5.29487179 112.70512821] ; [ 1.70512821 36.29487179],0
s2,1,0.793483,0.068534,[49 68] ; [15 23],[48.30967742 68.69032258] ; [15.69032258 22.30967742],0
p6,1,0.795405,0.067235,[27 90] ; [ 8 30],[26.41935484 90.58064516] ; [ 8.58064516 29.41935484],0
