Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,51.133862,[14 28] ; [63  2],[30.22429907 11.77570093] ; [46.77570093 18.22429907],1
r4,1,1.8e-05,18.429833,[10 35] ; [42 24],[21.08108108 23.91891892] ; [30.91891892 35.08108108],1
r3,1,5.5e-05,16.281613,[25 20] ; [58  7],[33.95454545 11.04545455] ; [49.04545455 15.95454545],1
p11,1,0.000147,14.415782,[18 27] ; [50 16],[27.56756757 17.43243243] ; [40.43243243 25.56756757],1
p2,1,0.00086,11.107119,[17 28] ; [46 20],[25.54054054 19.45945946] ; [37.45945946 28.54054054],1
a1,1,0.002057,9.497693,[ 8 37] ; [ 1 65],[ 3.64864865 41.35135135] ; [ 5.35135135 60.64864865],0
p8,1,0.005803,7.610405,[ 3 42] ; [18 47],[ 8.59090909 36.40909091] ; [12.40909091 52.59090909],0
s2,1,0.009061,6.810818,[ 9 36] ; [29 37],[15.40540541 29.59459459] ; [22.59459459 43.40540541],0
b1,1,0.010702,6.514153,[26 19] ; [22 44],[19.45945946 25.54054054] ; [28.54054054 37.45945946],0
a7,1,0.010702,6.514153,[19 26] ; [44 22],[25.54054054 19.45945946] ; [37.45945946 28.54054054],0
p3,1,0.01337,6.119505,[ 5 39] ; [21 45],[10.4 33.6] ; [15.6 50.4],0
s3,1,0.015202,5.892857,[10 34] ; [30 36],[16. 28.] ; [24. 42.],0
v4,1,0.021039,5.323542,[28 17] ; [54 12],[33.24324324 11.75675676] ; [48.75675676 17.24324324],0
r2,1,0.021328,5.299814,[26 16] ; [54 12],[31.11111111 10.88888889] ; [48.88888889 17.11111111],0
v1,1,0.037634,4.321506,[10 33] ; [27 36],[15.00943396 27.99056604] ; [21.99056604 41.00943396],0
s5,1,0.04581,3.988575,[ 5 38] ; [17 44],[ 9.09615385 33.90384615] ; [12.90384615 48.09615385],0
b4,1,0.047444,3.929582,[23 22] ; [46 20],[27.97297297 17.02702703] ; [41.02702703 24.97297297],0
n6,1,0.056139,3.647918,[28 17] ; [52 14],[32.43243243 12.56756757] ; [47.56756757 18.43243243],0
s8,1,0.057369,3.611872,[ 5 40] ; [17 49],[ 8.91891892 36.08108108] ; [13.08108108 52.91891892],0
u3,1,0.060846,3.514173,[ 4 13] ; [15 14],[7.02173913 9.97826087] ; [11.97826087 17.02173913],0
s6,1,0.068071,3.328943,[13 32] ; [30 35],[17.59090909 27.40909091] ; [25.40909091 39.59090909],0
a4,1,0.092468,2.830882,[21 23] ; [21 45],[16.8 27.2] ; [25.2 40.8],0
u2,1,0.096921,2.755498,[ 4 13] ; [14 15],[ 6.65217391 10.34782609] ; [11.34782609 17.65217391],0
a2,1,0.100228,2.701917,[ 7 38] ; [ 4 62],[ 4.45945946 40.54054054] ; [ 6.54054054 59.45945946],0
n2,1,0.154334,2.028883,[13 10] ; [14  4],[15.14634146  7.85365854] ; [11.85365854  6.14634146],0
d2,1,0.181783,1.782987,[24 20] ; [27 38],[20.58715596 23.41284404] ; [30.41284404 34.58715596],0
d4,1,0.267496,1.229544,[29 16] ; [49 17],[31.62162162 13.37837838] ; [46.37837838 19.62162162],0
n5,1,0.320528,0.986791,[28 17] ; [47 19],[30.40540541 14.59459459] ; [44.59459459 21.40540541],0
a6,1,0.335866,0.926149,[26 19] ; [32 34],[23.51351351 21.48648649] ; [34.48648649 31.51351351],0
b5,1,0.340753,0.907596,[26 19] ; [44 22],[28.37837838 16.62162162] ; [41.62162162 24.37837838],0
n3,1,0.349898,0.873828,[12 11] ; [12  6],[13.46341463  9.53658537] ; [10.53658537  7.46341463],0
p4,1,0.362372,0.829655,[12 33] ; [23 43],[14.18918919 30.81081081] ; [20.81081081 45.18918919],0
a5,1,0.367238,0.812989,[22 23] ; [38 28],[24.32432432 20.67567568] ; [35.67567568 30.32432432],0
n1,1,0.435188,0.608938,[ 6 16] ; [ 7 11],[ 7.15 14.85] ; [ 5.85 12.15],0
p1,1,0.445051,0.583224,[ 4 41] ; [ 9 57],[ 5.27027027 39.72972973] ; [ 7.72972973 58.27027027],0
d3,1,0.464315,0.535472,[25 20] ; [32 34],[23.10810811 21.89189189] ; [33.89189189 32.10810811],0
a3,1,0.517637,0.418598,[28 17] ; [37 29],[26.35135135 18.64864865] ; [38.64864865 27.35135135],0
d5,1,0.561646,0.336862,[29 16] ; [46 20],[30.40540541 14.59459459] ; [44.59459459 21.40540541],0
s4,1,0.653703,0.201264,[ 9 36] ; [11 55],[ 8.10810811 36.89189189] ; [11.89189189 54.10810811],0
v2,1,0.667302,0.184774,[15 29] ; [19 44],[13.98130841 30.01869159] ; [20.01869159 42.98130841],0
s1,1,0.677498,0.172956,[ 2 42] ; [ 2 64],[ 1.6 42.4] ; [ 2.4 63.6],0
b3,1,0.705191,0.143128,[14 17] ; [15 15],[14.73770492 16.26229508] ; [14.26229508 15.73770492],0
b2,1,0.705191,0.143128,[14 17] ; [15 15],[14.73770492 16.26229508] ; [14.26229508 15.73770492],0
a8,1,0.743592,0.106994,[ 4 39] ; [ 7 55],[ 4.5047619 38.4952381] ; [ 6.4952381 55.5047619],0
p12,1,0.786702,0.073222,[ 1 44] ; [ 2 63],[ 1.22727273 43.77272727] ; [ 1.77272727 63.22727273],0
v3,1,0.787207,0.072867,[11 34] ; [14 49],[10.41666667 34.58333333] ; [14.58333333 48.41666667],0
p6,1,0.794356,0.067943,[ 8 35] ; [11 55],[ 7.49541284 35.50458716] ; [11.50458716 54.49541284],0
u1,1,0.803482,0.061923,[ 4 41] ; [ 5 61],[ 3.64864865 41.35135135] ; [ 5.35135135 60.64864865],0
s7,1,0.827022,0.047752,[11 31] ; [18 46],[11.49056604 30.50943396] ; [17.50943396 46.49056604],0
d1,1,0.83294,0.044493,[20 25] ; [28 38],[19.45945946 25.54054054] ; [28.54054054 37.45945946],0
n4,1,0.879532,0.022971,[28 17] ; [42 24],[28.37837838 16.62162162] ; [41.62162162 24.37837838],0
