Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4.2e-05,16.758125,[67 28] ; [67  3],[77.15151515 17.84848485] ; [56.84848485 13.15151515],1
v3,1,0.000476,12.208978,[13 77] ; [26 41],[22.3566879 67.6433121] ; [16.6433121 50.3566879],1
d5,1,0.00052,12.043433,[56 38] ; [60 11],[66.08484848 27.91515152] ; [49.91515152 21.08484848],1
v1,1,0.003003,8.805545,[29 64] ; [38 32],[38.22699387 54.77300613] ; [28.77300613 41.22699387],0
a3,1,0.005928,7.572025,[52 42] ; [54 17],[60.38787879 33.61212121] ; [45.61212121 25.38787879],0
d1,1,0.009398,6.745591,[33 62] ; [39 32],[41.20481928 53.79518072] ; [30.79518072 40.20481928],0
s6,1,0.014225,6.010058,[36 59] ; [40 30],[43.75757576 51.24242424] ; [32.24242424 37.75757576],0
a5,1,0.014356,5.993869,[49 46] ; [50 21],[56.65662651 38.34337349] ; [42.34337349 28.65662651],0
p4,1,0.033322,4.529139,[29 65] ; [33 37],[35.53658537 58.46341463] ; [26.46341463 43.53658537],0
s7,1,0.033487,4.520713,[20 67] ; [26 41],[25.98701299 61.01298701] ; [20.01298701 46.98701299],0
r1,1,0.047289,3.935091,[58 37] ; [53 17],[63.90909091 31.09090909] ; [47.09090909 22.90909091],0
p11,1,0.055361,3.671181,[46 49] ; [45 26],[52.07831325 42.92168675] ; [38.92168675 32.07831325],0
a1,1,0.057743,3.601064,[10 85] ; [ 2 69],[ 6.86746988 88.13253012] ; [ 5.13253012 65.86746988],0
v4,1,0.063476,3.44414,[71 23] ; [61  9],[75.65853659 18.34146341] ; [56.34146341 13.65853659],0
r4,1,0.065599,3.38984,[58 37] ; [53 18],[63.52409639 31.47590361] ; [47.47590361 23.52409639],0
d4,1,0.067095,3.352697,[65 29] ; [58 13],[70.07272727 23.92727273] ; [52.92727273 18.07272727],0
n3,1,0.072142,3.233589,[17 16] ; [18  6],[20.26315789 12.73684211] ; [14.73684211  9.26315789],0
p8,1,0.082023,3.02436,[28 67] ; [29 39],[33.2208589 61.7791411] ; [23.7791411 44.2208589],0
s2,1,0.08407,2.984406,[30 64] ; [32 39],[35.32121212 58.67878788] ; [26.67878788 44.32121212],0
p10,1,0.134048,2.244983,[46 49] ; [41 27],[50.70552147 44.29447853] ; [36.29447853 31.70552147],0
p7,1,0.136364,2.218512,[38 53] ; [37 32],[42.65625 48.34375] ; [32.34375 36.65625],0
d3,1,0.141644,2.160007,[51 42] ; [47 24],[55.57317073 37.42682927] ; [42.42682927 28.57317073],0
s1,1,0.146036,2.113171,[ 8 86] ; [ 2 66],[ 5.80246914 88.19753086] ; [ 4.19753086 63.80246914],0
p9,1,0.159757,1.976522,[53 42] ; [46 23],[57.34756098 37.65243902] ; [41.65243902 27.34756098],0
u2,1,0.184258,1.762939,[25 18] ; [13  4],[27.23333333 15.76666667] ; [10.76666667  6.23333333],0
a4,1,0.26419,1.246667,[36 59] ; [21 50],[32.62048193 62.37951807] ; [24.37951807 46.62048193],0
p3,1,0.269532,1.219128,[28 67] ; [26 43],[31.2804878 63.7195122] ; [22.7195122 46.2804878],0
n2,1,0.285409,1.141153,[20 15] ; [17  7],[21.94915254 13.05084746] ; [15.05084746  8.94915254],0
n5,1,0.31902,0.992961,[37 57] ; [33 37],[40.12195122 53.87804878] ; [29.87804878 40.12195122],0
s4,1,0.320679,0.986174,[19 76] ; [10 61],[16.59638554 78.40361446] ; [12.40361446 58.59638554],0
p2,1,0.389903,0.739243,[59 36] ; [48 22],[61.60606061 33.39393939] ; [45.39393939 24.60606061],0
a2,1,0.404103,0.696084,[15 80] ; [ 8 63],[13.1626506 81.8373494] ; [ 9.8373494 61.1626506],0
p6,1,0.408329,0.683661,[19 75] ; [17 49],[21.15 72.85] ; [14.85 51.15],0
a8,1,0.419113,0.6528,[11 81] ; [ 5 58],[ 9.49677419 82.50322581] ; [ 6.50322581 56.49677419],0
a7,1,0.496381,0.462664,[58 37] ; [47 24],[60.09036145 34.90963855] ; [44.90963855 26.09036145],0
r2,1,0.542159,0.371552,[77 17] ; [59 10],[78.42944785 15.57055215] ; [57.57055215 11.42944785],0
u1,1,0.556229,0.346276,[ 6 89] ; [ 3 68],[ 5.15060241 89.84939759] ; [ 3.84939759 67.15060241],0
s8,1,0.564647,0.331723,[23 72] ; [20 51],[24.60843373 70.39156627] ; [18.39156627 52.60843373],0
n4,1,0.574107,0.315859,[48 47] ; [39 32],[49.78915663 45.21084337] ; [37.21084337 33.78915663],0
b4,1,0.606523,0.265269,[52 43] ; [36 35],[50.36144578 44.63855422] ; [37.63855422 33.36144578],0
b1,1,0.703684,0.144668,[51 44] ; [36 35],[49.78915663 45.21084337] ; [37.21084337 33.78915663],0
s5,1,0.704021,0.144323,[17 75] ; [14 53],[17.93710692 74.06289308] ; [13.06289308 53.93710692],0
b5,1,0.736257,0.113444,[56 39] ; [40 31],[54.93975904 40.06024096] ; [41.06024096 29.93975904],0
b2,1,0.792106,0.069473,[18 43] ; [10 27],[17.42857143 43.57142857] ; [10.57142857 26.42857143],0
b3,1,0.792106,0.069473,[18 43] ; [10 27],[17.42857143 43.57142857] ; [10.57142857 26.42857143],0
s3,1,0.803731,0.061763,[47 46] ; [34 36],[46.21472393 46.78527607] ; [34.78527607 35.21472393],0
n1,1,0.872859,0.025609,[12 23] ; [ 8 14],[12.28070175 22.71929825] ; [ 7.71929825 14.28070175],0
a6,1,0.898744,0.016192,[60 34] ; [46 25],[60.38787879 33.61212121] ; [45.61212121 25.38787879],0
u3,1,0.961376,0.002345,[25 18] ; [10  7],[25.08333333 17.91666667] ; [9.91666667 7.08333333],0
p1,1,0.989086,0.000187,[ 8 86] ; [ 6 65],[ 7.97575758 86.02424242] ; [ 6.02424242 64.97575758],0
d2,1,0.99222,9.5e-05,[37 57] ; [28 43],[37.03030303 56.96969697] ; [27.96969697 43.03030303],0
