Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-05,19.52,[48 24] ; [13 37],[36. 36.] ; [25. 25.],1
a6,1,0.000164,14.205294,[52 20] ; [19 31],[41.90163934 30.09836066] ; [29.09836066 20.90163934],1
a2,1,0.000208,13.759816,[20 52] ; [ 1 49],[12.39344262 59.60655738] ; [ 8.60655738 41.39344262],1
d5,1,0.000587,11.818019,[55 17] ; [23 27],[46.03278689 25.96721311] ; [31.96721311 18.03278689],1
d1,1,0.003312,8.62718,[41 31] ; [15 35],[33.04918033 38.95081967] ; [22.95081967 27.04918033],0
a3,1,0.008151,7.0,[49 21] ; [23 27],[42. 28.] ; [30. 20.],0
d4,1,0.0117,6.355743,[57 15] ; [29 21],[50.75409836 21.24590164] ; [35.24590164 14.75409836],0
a5,1,0.014846,5.93466,[49 23] ; [23 27],[42.49180328 29.50819672] ; [29.50819672 20.49180328],0
v2,1,0.018495,5.548609,[33 37] ; [12 35],[26.92307692 43.07692308] ; [18.07692308 28.92307692],0
u1,1,0.024144,5.084277,[10 62] ; [ 1 49],[ 6.49180328 65.50819672] ; [ 4.50819672 45.49180328],0
b5,1,0.053889,3.716128,[43 29] ; [21 29],[37.7704918 34.2295082] ; [26.2295082 23.7704918],0
r1,1,0.05706,3.620842,[47 25] ; [24 26],[41.90163934 30.09836066] ; [29.09836066 20.90163934],0
p10,1,0.070652,3.26781,[36 34] ; [17 32],[31.17647059 38.82352941] ; [21.82352941 27.17647059],0
a4,1,0.081181,3.041104,[33 38] ; [15 34],[28.4 42.6] ; [19.6 29.4],0
b4,1,0.11205,2.52507,[45 27] ; [24 26],[40.72131148 31.27868852] ; [28.27868852 21.72131148],0
u2,1,0.123902,2.367288,[13 10] ; [ 9 17],[10.32653061 12.67346939] ; [11.67346939 14.32653061],0
b2,1,0.136037,2.222222,[16 32] ; [16 16],[19.2 28.8] ; [12.8 19.2],0
b3,1,0.136037,2.222222,[16 32] ; [16 16],[19.2 28.8] ; [12.8 19.2],0
v4,1,0.136781,2.213807,[55 17] ; [32 18],[51.3442623 20.6557377] ; [35.6557377 14.3442623],0
s6,1,0.147163,2.101412,[25 47] ; [11 38],[21.4214876 50.5785124] ; [14.5785124 34.4214876],0
r4,1,0.157396,1.99907,[48 24] ; [27 23],[44.26229508 27.73770492] ; [30.73770492 19.26229508],0
n2,1,0.165802,1.920497,[14 13] ; [17  7],[16.41176471 10.58823529] ; [14.58823529  9.41176471],0
v1,1,0.178501,1.810062,[19 52] ; [ 8 41],[15.975 55.025] ; [11.025 37.975],0
b1,1,0.186168,1.747683,[33 39] ; [29 21],[36.59016393 35.40983607] ; [25.40983607 24.59016393],0
p6,1,0.186507,1.744994,[ 6 65] ; [ 8 41],[ 8.28333333 62.71666667] ; [ 5.71666667 43.28333333],0
v3,1,0.226029,1.465678,[24 47] ; [11 36],[21.05932203 49.94067797] ; [13.94067797 33.05932203],0
p5,1,0.226465,1.462929,[ 7 64] ; [ 2 48],[ 5.28099174 65.71900826] ; [ 3.71900826 46.28099174],0
a1,1,0.235759,1.405773,[ 9 63] ; [ 3 47],[ 7.08196721 64.91803279] ; [ 4.91803279 45.08196721],0
p9,1,0.308466,1.037234,[35 35] ; [19 28],[32.30769231 37.69230769] ; [21.69230769 25.30769231],0
r3,1,0.364659,0.821784,[53 19] ; [33 17],[50.75409836 21.24590164] ; [35.24590164 14.75409836],0
s5,1,0.479605,0.499761,[ 9 62] ; [ 8 38],[10.31623932 60.68376068] ; [ 6.68376068 39.31623932],0
s3,1,0.51141,0.431182,[15 56] ; [ 8 41],[13.60833333 57.39166667] ; [ 9.39166667 39.60833333],0
p8,1,0.544027,0.368127,[16 55] ; [ 9 41],[14.66942149 56.33057851] ; [10.33057851 39.66942149],0
p11,1,0.545263,0.365872,[32 40] ; [25 25],[33.63934426 38.36065574] ; [23.36065574 26.63934426],0
n5,1,0.584504,0.29901,[45 27] ; [33 16],[46.41322314 25.58677686] ; [31.58677686 17.41322314],0
n1,1,0.585588,0.297287,[11 15] ; [12 12],[11.96 14.04] ; [11.04 12.96],0
r2,1,0.613106,0.255677,[58 12] ; [38 10],[56.94915254 13.05084746] ; [39.05084746  8.94915254],0
p4,1,0.620667,0.244931,[15 56] ; [12 36],[16.1092437 54.8907563] ; [10.8907563 37.1092437],0
n6,1,0.634795,0.225614,[47 24] ; [31 19],[45.76859504 25.23140496] ; [32.23140496 17.76859504],0
a8,1,0.659614,0.193993,[ 7 59] ; [ 4 45],[ 6.31304348 59.68695652] ; [ 4.68695652 44.31304348],0
s7,1,0.664804,0.18774,[15 53] ; [ 9 39],[14.06896552 53.93103448] ; [ 9.93103448 38.06896552],0
p3,1,0.73195,0.117329,[19 52] ; [12 38],[18.19008264 52.80991736] ; [12.80991736 37.19008264],0
p1,1,0.751928,0.099918,[ 6 66] ; [ 5 45],[ 6.49180328 65.50819672] ; [ 4.50819672 45.49180328],0
p7,1,0.761443,0.092164,[18 53] ; [11 37],[17.30252101 53.69747899] ; [11.69747899 36.30252101],0
u4,1,0.793765,0.068343,[ 1 71] ; [ 1 49],[ 1.18032787 70.81967213] ; [ 0.81967213 49.18032787],0
u3,1,0.811014,0.057178,[11 12] ; [12 15],[10.58 12.42] ; [12.42 14.58],0
n3,1,0.821193,0.051081,[14 12] ; [12  9],[14.38297872 11.61702128] ; [11.61702128  9.38297872],0
s1,1,0.826372,0.048118,[ 5 67] ; [ 4 46],[ 5.31147541 66.68852459] ; [ 3.68852459 46.31147541],0
n4,1,0.831592,0.045224,[46 26] ; [31 19],[45.44262295 26.55737705] ; [31.55737705 18.44262295],0
d2,1,0.881235,0.022321,[34 38] ; [22 26],[33.6 38.4] ; [22.4 25.6],0
s4,1,0.923415,0.009241,[ 8 62] ; [ 6 44],[ 8.16666667 61.83333333] ; [ 5.83333333 44.16666667],0
p12,1,0.963576,0.002085,[ 3 69] ; [ 2 48],[ 2.95081967 69.04918033] ; [ 2.04918033 47.95081967],0
s8,1,0.965183,0.001905,[13 59] ; [ 9 40],[13.09090909 58.90909091] ; [ 8.90909091 40.09090909],0
