Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,183.320891,[ 23 101] ; [257  39],[82.66666667 41.33333333] ; [197.33333333  98.66666667],1
p11,1,0.0,64.223398,[53 72] ; [243  55],[87.47044917 37.52955083] ; [208.52955083  89.47044917],1
p2,1,0.0,57.912684,[62 63] ; [250  44],[93.07875895 31.92124105] ; [218.92124105  75.07875895],1
r3,1,0.0,30.510784,[93 31] ; [279  18],[109.56769596  14.43230404] ; [262.43230404  34.56769596],1
r4,1,0.0,26.867597,[77 48] ; [252  46],[97.22222222 27.77777778] ; [231.77777778  66.22222222],1
v4,1,1e-06,24.443688,[93 29] ; [278  20],[107.76666667  14.23333333] ; [263.23333333  34.76666667],1
n6,1,4e-06,21.485362,[71 52] ; [236  60],[90.12171838 32.87828162] ; [216.87828162  79.12171838],1
n5,1,9e-06,19.702847,[64 60] ; [218  77],[83.45584726 40.54415274] ; [198.54415274  96.45584726],1
p4,1,0.000166,14.182382,[39 85] ; [152 143],[56.52505967 67.47494033] ; [134.47494033 160.52505967],1
p8,1,0.000276,13.228984,[35 89] ; [139 154],[51.74100719 72.25899281] ; [122.25899281 170.74100719],1
r2,1,0.000785,11.2772,[98 24] ; [271  24],[107.95683453  14.04316547] ; [261.04316547  33.95683453],1
v2,1,0.000816,11.204731,[43 79] ; [151 132],[58.43950617 63.56049383] ; [135.56049383 147.43950617],1
b1,1,0.002108,9.453449,[65 60] ; [107 191],[50.82742317 74.17257683] ; [121.17257683 176.82742317],0
a6,1,0.002304,9.289726,[72 53] ; [216  81],[85.30805687 39.69194313] ; [202.69194313  94.30805687],0
v1,1,0.002581,9.081969,[41 84] ; [142 149],[54.98798077 70.01201923] ; [128.01201923 162.98798077],0
s1,1,0.003073,8.763415,[ 10 113] ; [  6 289],[  4.70813397 118.29186603] ; [ 11.29186603 283.70813397],0
p7,1,0.003462,8.546242,[51 71] ; [168 124],[64.53623188 57.46376812] ; [154.46376812 137.53623188],0
d5,1,0.003533,8.509386,[79 46] ; [228  68],[91.152019 33.847981] ; [215.847981  80.152019],0
n2,1,0.003791,8.381461,[23 24] ; [56 19],[30.43442623 16.56557377] ; [48.56557377 26.43442623],0
s6,1,0.003803,8.375354,[37 88] ; [132 163],[50.29761905 74.70238095] ; [118.70238095 176.29761905],0
n3,1,0.004826,7.94345,[25 21] ; [59 16],[31.9338843 14.0661157] ; [52.0661157 22.9338843],0
a7,1,0.005885,7.585069,[78 46] ; [226  71],[89.5391924 34.4608076] ; [214.4608076  82.5391924],0
d3,1,0.017468,5.648691,[70 55] ; [201  94],[80.6547619 44.3452381] ; [190.3452381 104.6547619],0
a5,1,0.024131,5.085182,[69 56] ; [199  99],[79.19621749 45.80378251] ; [188.80378251 109.19621749],0
p6,1,0.040389,4.201452,[ 20 102] ; [ 75 217],[27.99516908 94.00483092] ; [ 67.00483092 224.99516908],0
a3,1,0.04385,4.062316,[67 57] ; [191 105],[76.17142857 47.82857143] ; [181.82857143 114.17142857],0
d4,1,0.053957,3.714026,[84 40] ; [228  69],[91.89548694 32.10451306] ; [220.10451306  76.89548694],0
p3,1,0.057997,3.593746,[35 88] ; [113 183],[43.44630072 79.55369928] ; [104.55369928 191.44630072],0
b5,1,0.067168,3.350902,[70 55] ; [195 103],[78.30969267 46.69030733] ; [186.69030733 111.30969267],0
d1,1,0.069133,3.303478,[50 75] ; [148 150],[58.5106383 66.4893617] ; [139.4893617 158.5106383],0
v3,1,0.083894,2.987798,[30 91] ; [ 96 191],[37.36764706 83.63235294] ; [ 88.63235294 198.36764706],0
p1,1,0.176485,1.826975,[ 10 114] ; [ 14 283],[  7.06888361 116.93111639] ; [ 16.93111639 280.06888361],0
n4,1,0.196556,1.66778,[79 45] ; [209  89],[84.62559242 39.37440758] ; [203.37440758  94.62559242],0
u2,1,0.227353,1.457343,[25 32] ; [57 49],[28.67484663 28.32515337] ; [53.32515337 52.67484663],0
a4,1,0.256056,1.289957,[42 81] ; [119 178],[47.15 75.85] ; [113.85 183.15],0
d2,1,0.282995,1.152652,[52 72] ; [108 189],[47.12589074 76.87410926] ; [112.87410926 184.12589074],0
a8,1,0.286786,1.134647,[  9 106] ; [ 31 240],[ 11.91709845 103.08290155] ; [ 28.08290155 242.91709845],0
r1,1,0.317579,0.99889,[83 41] ; [214  84],[87.27014218 36.72985782] ; [209.72985782  88.27014218],0
p12,1,0.321854,0.981396,[  2 122] ; [ 10 286],[  3.54285714 120.45714286] ; [  8.45714286 287.54285714],0
b2,1,0.365455,0.81906,[25 47] ; [ 44 109],[22.08 49.92] ; [ 46.92 106.08],0
b3,1,0.365455,0.81906,[25 47] ; [ 44 109],[22.08 49.92] ; [ 46.92 106.08],0
p5,1,0.413396,0.669014,[  3 121] ; [ 12 285],[  4.41805226 119.58194774] ; [ 10.58194774 286.41805226],0
n1,1,0.492695,0.470636,[14 34] ; [26 48],[15.73770492 32.26229508] ; [24.26229508 49.73770492],0
a2,1,0.494956,0.465734,[ 20 105] ; [ 56 242],[ 22.45862884 102.54137116] ; [ 53.54137116 244.45862884],0
s2,1,0.514113,0.425687,[28 96] ; [ 76 221],[30.63182898 93.36817102] ; [ 73.36817102 223.63182898],0
s4,1,0.538684,0.377985,[ 16 108] ; [ 32 264],[ 14.17142857 109.82857143] ; [ 33.82857143 262.17142857],0
a1,1,0.584246,0.29942,[  7 118] ; [ 13 285],[  5.91016548 119.08983452] ; [ 14.08983452 283.91016548],0
s7,1,0.638456,0.220768,[22 94] ; [ 60 225],[23.72069825 92.27930175] ; [ 58.27930175 226.72069825],0
u1,1,0.763105,0.090846,[ 13 112] ; [ 34 264],[ 13.88888889 111.11111111] ; [ 33.11111111 264.88888889],0
u3,1,0.795276,0.067323,[28 30] ; [48 56],[27.20987654 30.79012346] ; [48.79012346 55.20987654],0
u4,1,0.841145,0.040172,[  1 124] ; [  3 295],[  1.1820331 123.8179669] ; [  2.8179669 295.1820331],0
b4,1,0.842804,0.039326,[70 55] ; [170 128],[70.92198582 54.07801418] ; [169.07801418 128.92198582],0
s3,1,0.982905,0.000459,[44 80] ; [104 190],[43.90430622 80.09569378] ; [104.09569378 189.90430622],0
