Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,32.121714,[31 41] ; [130  32],[49.53846154 22.46153846] ; [111.46153846  50.53846154],1
a6,1,0.0,31.344916,[29 43] ; [126  36],[47.69230769 24.30769231] ; [107.30769231  54.69230769],1
d1,1,0.000137,14.537321,[30 42] ; [111  52],[43.2 28.8] ; [97.8 65.2],1
a2,1,0.000411,12.483529,[ 9 63] ; [ 57 106],[20.2212766 51.7787234] ; [ 45.7787234 117.2212766],1
u1,1,0.002328,9.270821,[ 7 65] ; [ 45 118],[15.93191489 56.06808511] ; [ 36.06808511 126.93191489],0
b1,1,0.002364,9.243121,[39 33] ; [ 54 109],[28.49361702 43.50638298] ; [64.50638298 98.49361702],0
b5,1,0.004334,8.138456,[33 39] ; [107  56],[42.89361702 29.10638298] ; [97.10638298 65.89361702],0
d5,1,0.005934,7.570327,[52 20] ; [141  21],[59.38461538 12.61538462] ; [133.61538462  28.38461538],0
r4,1,0.008517,6.921434,[57 15] ; [149  14],[63.11489362  8.88510638] ; [142.88510638  20.11489362],0
s6,1,0.00925,6.773958,[51 19] ; [140  21],[57.87878788 12.12121212] ; [133.12121212  27.87878788],0
b2,1,0.015587,5.848823,[27 27] ; [34 77],[19.96363636 34.03636364] ; [41.03636364 69.96363636],0
b3,1,0.015587,5.848823,[27 27] ; [34 77],[19.96363636 34.03636364] ; [41.03636364 69.96363636],0
n1,1,0.01859,5.539651,[15  8] ; [11 22],[10.67857143 12.32142857] ; [15.32142857 17.67857143],0
n4,1,0.024944,5.027791,[63  8] ; [123  39],[56.67811159 14.32188841] ; [129.32188841  32.67811159],0
d4,1,0.032218,4.586856,[54 18] ; [140  22],[59.69230769 12.30769231] ; [134.30769231  27.69230769],0
v2,1,0.055326,3.672219,[34 36] ; [97 59],[40.57522124 29.42477876] ; [90.42477876 65.57522124],0
v4,1,0.057255,3.615156,[63  7] ; [155   6],[66.06060606  3.93939394] ; [151.93939394   9.06060606],0
