Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,143.668966,[596  13] ; [24 18],[580.  29.] ; [40.  2.],1
r1,1,0.0,128.034546,[526  83] ; [ 8 36],[498.01837672 110.98162328] ; [35.98162328  8.01837672],1
v4,1,0.0,109.993893,[599  12] ; [28 15],[585.77522936  25.22477064] ; [41.22477064  1.77522936],1
a7,1,1.8e-05,18.40614,[448 162] ; [19 25],[435.58103976 174.41896024] ; [31.41896024 12.58103976],1
n6,1,0.000153,14.334846,[560  50] ; [32 11],[553.01684533  56.98315467] ; [38.98315467  4.01684533],1
a6,1,0.002056,9.498415,[426 182] ; [21 23],[416.83435583 191.16564417] ; [30.16564417 13.83435583],0
s5,1,0.002994,8.811384,[213 374] ; [ 6 37],[204.05238095 382.94761905] ; [14.94761905 28.05238095],0
a5,1,0.003656,8.447151,[467 144] ; [25 19],[458.94961832 152.05038168] ; [33.05038168 10.94961832],0
d5,1,0.004238,8.178796,[506 103] ; [29 15],[498.95099541 110.04900459] ; [36.04900459  7.95099541],0
d1,1,0.007759,7.088369,[375 237] ; [18 26],[366.6402439 245.3597561] ; [26.3597561 17.6402439],0
p4,1,0.012546,6.232097,[397 210] ; [20 23],[389.41384615 217.58615385] ; [27.58615385 15.41384615],0
d3,1,0.01369,6.077668,[422 187] ; [22 21],[414.71779141 194.28220859] ; [29.28220859 13.71779141],0
p7,1,0.014378,5.991134,[404 190] ; [22 22],[396.62068966 197.37931034] ; [29.37931034 14.62068966],0
s6,1,0.014592,5.965126,[430 168] ; [24 20],[422.8847352 175.1152648] ; [31.1152648 12.8847352],0
a4,1,0.017156,5.680394,[293 316] ; [13 31],[285.381317 323.618683] ; [20.618683 23.381317],0
v1,1,0.019418,5.463457,[359 239] ; [17 24],[351.87480438 246.12519562] ; [24.12519562 16.87480438],0
a2,1,0.02144,5.290694,[166 446] ; [ 5 39],[159.5304878 452.4695122] ; [11.4695122 32.5304878],0
p8,1,0.031393,4.631351,[338 261] ; [17 26],[331.22274143 267.77725857] ; [23.77725857 19.22274143],0
p3,1,0.03541,4.425288,[327 281] ; [16 27],[320.34408602 287.65591398] ; [22.65591398 20.34408602],0
