Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,90.117934,[ 98 114] ; [491 120],[151.72296476  60.27703524] ; [437.27703524 173.72296476],1
d2,1,0.0,85.471186,[ 46 168] ; [354 254],[104.13625304 109.86374696] ; [295.86374696 312.13625304],1
d1,1,0.0,80.982607,[ 71 143] ; [418 194],[126.69007264  87.30992736] ; [362.30992736 249.69007264],1
a4,1,0.0,73.935048,[ 43 170] ; [331 279],[ 96.79465371 116.20534629] ; [277.20534629 332.79465371],1
u1,1,0.0,42.307773,[  8 206] ; [146 466],[ 39.89830508 174.10169492] ; [114.10169492 497.89830508],1
d5,1,0.0,33.630252,[145  68] ; [524  85],[173.3540146  39.6459854] ; [495.6459854 113.3540146],1
a6,1,0.0,30.998488,[115  99] ; [452 157],[147.43377886  66.56622114] ; [419.56622114 189.43377886],1
d4,1,0.0,28.200213,[150  63] ; [527  82],[175.4270073  37.5729927] ; [501.5729927 107.4270073],1
n4,1,0.0,27.978814,[137  76] ; [499 110],[164.80291971  48.19708029] ; [471.19708029 137.80291971],1
r1,1,5e-06,20.791036,[163  50] ; [543  66],[182.94160584  30.05839416] ; [523.05839416  85.94160584],1
d3,1,5e-05,16.459475,[124  89] ; [446 164],[147.52126367  65.47873633] ; [422.47873633 187.52126367],1
p4,1,5.8e-05,16.150637,[101 110] ; [385 220],[125.66911765  85.33088235] ; [360.33088235 244.66911765],1
v2,1,0.000106,15.023816,[ 91 110] ; [359 230],[114.49367089  86.50632911] ; [335.50632911 253.49367089],1
p3,1,0.000193,13.895738,[ 84 129] ; [330 278],[107.40803898 105.59196102] ; [306.59196102 301.40803898],1
p10,1,0.000232,13.551394,[150  58] ; [506  98],[168.03940887  39.96059113] ; [487.96059113 116.03940887],1
s7,1,0.00025,13.410657,[ 78 125] ; [311 272],[100.46692112 102.53307888] ; [288.53307888 294.46692112],1
s8,1,0.000269,13.276615,[ 74 140] ; [296 308],[ 96.79706601 117.20293399] ; [273.20293399 330.79706601],1
s5,1,0.000518,12.05108,[ 51 153] ; [225 360],[ 71.36121673 132.63878327] ; [204.63878327 380.36121673],1
b3,1,0.001083,10.679356,[30 88] ; [161 221],[45.076 72.924] ; [145.924 236.076],0
b2,1,0.001083,10.679356,[30 88] ; [161 221],[45.076 72.924] ; [145.924 236.076],0
v1,1,0.002175,9.395692,[ 95 113] ; [346 251],[113.94782609  94.05217391] ; [327.05217391 269.94782609],0
n5,1,0.002589,9.076556,[141  70] ; [470 138],[157.41269841  53.58730159] ; [453.58730159 154.41269841],0
p9,1,0.004047,8.262704,[161  45] ; [522  81],[173.91594561  32.08405439] ; [509.08405439  93.91594561],0
p2,1,0.007495,7.150363,[164  49] ; [516  91],[176.63414634  36.36585366] ; [503.36585366 103.63414634],0
p8,1,0.010354,6.57288,[ 95 116] ; [330 267],[110.98391089 100.01608911] ; [314.01608911 282.98391089],0
s6,1,0.018807,5.519371,[129  79] ; [422 174],[142.54726368  65.45273632] ; [408.45273632 187.54726368],0
v3,1,0.027184,4.879067,[ 69 135] ; [249 335],[ 82.3248731 121.6751269] ; [235.6751269 348.3248731],0
v4,1,0.030189,4.698497,[204   9] ; [601  10],[208.08859223   4.91140777] ; [596.91140777  14.08859223],0
s2,1,0.033857,4.501895,[ 97 115] ; [328 277],[110.28151775 101.71848225] ; [314.71848225 290.28151775],0
p11,1,0.068237,3.324938,[159  55] ; [491 121],[168.40193705  45.59806295] ; [481.59806295 130.40193705],0
p12,1,0.085363,2.959721,[ 11 200] ; [ 54 550],[ 16.82822086 194.17177914] ; [ 48.17177914 555.82822086],0
a1,1,0.092365,2.832659,[  5 209] ; [ 31 581],[  9.32687651 204.67312349] ; [ 26.67312349 585.32687651],0
u4,1,0.100217,2.702095,[  2 212] ; [ 18 594],[  5.18159806 208.81840194] ; [ 14.81840194 597.18159806],0
n6,1,0.107771,2.5866,[173  39] ; [524  84],[180.2  31.8] ; [516.8  91.2],0
p7,1,0.127626,2.321142,[122  83] ; [390 206],[131.03620474  73.96379526] ; [380.96379526 215.03620474],0
a7,1,0.139348,2.185142,[148  64] ; [459 153],[156.16990291  55.83009709] ; [450.83009709 161.16990291],0
p6,1,0.219936,1.504788,[ 69 138] ; [229 372],[ 76.34405941 130.65594059] ; [221.65594059 379.34405941],0
n1,1,0.308579,1.036748,[22 25] ; [49 79],[19.06857143 27.93142857] ; [51.93142857 76.06857143],0
b1,1,0.320289,0.987764,[ 74 140] ; [235 377],[ 80.05569007 133.94430993] ; [228.94430993 383.05569007],0
s1,1,0.36302,0.82742,[  9 200] ; [ 18 583],[  6.96666667 202.03333333] ; [ 20.03333333 580.96666667],0
p5,1,0.439582,0.597372,[ 20 191] ; [ 69 536],[ 23.01348039 187.98651961] ; [ 65.98651961 539.01348039],0
b5,1,0.468662,0.52513,[134  80] ; [366 246],[129.53995157  84.46004843] ; [370.46004843 241.53995157],0
a8,1,0.46994,0.522116,[ 25 175] ; [ 80 469],[ 28.03738318 171.96261682] ; [ 76.96261682 472.03738318],0
n2,1,0.567914,0.326185,[34 12] ; [103  29],[35.40449438 10.59550562] ; [101.59550562  30.40449438],0
r3,1,0.612036,0.257221,[207   5] ; [600  11],[207.87849332   4.12150668] ; [599.12150668  11.87849332],0
s4,1,0.682499,0.167327,[ 38 173] ; [101 501],[ 36.07503075 174.92496925] ; [102.92496925 499.07503075],0
n3,1,0.702131,0.146265,[37 10] ; [98 31],[36.05113636 10.94886364] ; [98.94886364 30.05113636],0
p1,1,0.719907,0.128582,[ 20 193] ; [ 52 554],[ 18.72527473 194.27472527] ; [ 53.27472527 552.72527473],0
s3,1,0.805763,0.060464,[119  91] ; [347 255],[120.51724138  89.48275862] ; [345.48275862 256.51724138],0
u3,1,0.90021,0.015724,[70 45] ; [74 46],[70.46808511 44.53191489] ; [73.53191489 46.46808511],0
u2,1,0.962283,0.002236,[64 50] ; [67 53],[63.82051282 50.17948718] ; [67.17948718 52.82051282],0
b4,1,0.982565,0.000478,[125  89] ; [358 254],[125.13559322  88.86440678] ; [357.86440678 254.13559322],0
