Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.021282,5.303571,[7 5] ; [ 4 17],[4. 8.] ; [ 7. 14.],0
b5,1,0.041292,4.163997,[3 9] ; [13  8],[5.81818182 6.18181818] ; [10.18181818 10.81818182],0
d1,1,0.074447,3.182143,[9 3] ; [ 9 12],[6.54545455 5.45454545] ; [11.45454545  9.54545455],0
b2,1,0.076225,3.143601,[3 6] ; [ 1 15],[1.44 7.56] ; [ 2.56 13.44],0
b3,1,0.076225,3.143601,[3 6] ; [ 1 15],[1.44 7.56] ; [ 2.56 13.44],0
s7,1,0.082237,3.020131,[8 4] ; [ 7 13],[5.625 6.375] ; [ 9.375 10.625],0
v3,1,0.12471,2.357143,[ 2 10] ; [ 9 12],[4. 8.] ; [ 7. 14.],0
b1,1,0.125778,2.343851,[9 3] ; [10 11],[6.90909091 5.09090909] ; [12.09090909  8.90909091],0
d4,1,0.151191,2.06019,[11  1] ; [14  6],[9.375 2.625] ; [15.625  4.375],0
p6,1,0.151317,2.058924,[4 7] ; [ 3 18],[2.40625 8.59375] ; [ 4.59375 16.40625],0
p7,1,0.169084,1.891045,[7 4] ; [ 8 13],[5.15625 5.84375] ; [ 9.84375 11.15625],0
p2,1,0.20082,1.636401,[9 3] ; [11 10],[7.27272727 4.72727273] ; [12.72727273  8.27272727],0
s4,1,0.205483,1.602968,[ 1 10] ; [ 6 15],[2.40625 8.59375] ; [ 4.59375 16.40625],0
n3,1,0.279401,1.17,[4 1] ; [4 4],[3.07692308 1.92307692] ; [4.92307692 3.07692308],0
n1,1,0.279401,1.17,[4 1] ; [4 4],[3.07692308 1.92307692] ; [4.92307692 3.07692308],0
p8,1,0.282932,1.15295,[5 7] ; [ 5 16],[3.63636364 8.36363636] ; [ 6.36363636 14.63636364],0
n6,1,0.301071,1.069444,[10  2] ; [14  7],[8.72727273 3.27272727] ; [15.27272727  5.72727273],0
r4,1,0.301071,1.069444,[10  2] ; [14  7],[8.72727273 3.27272727] ; [15.27272727  5.72727273],0
a7,1,0.314355,1.012288,[7 5] ; [ 8 12],[5.625 6.375] ; [ 9.375 10.625],0
v4,1,0.408937,0.681888,[11  1] ; [17  4],[10.18181818  1.81818182] ; [17.81818182  3.18181818],0
s3,1,0.424427,0.638024,[8 4] ; [11 10],[6.90909091 5.09090909] ; [12.09090909  8.90909091],0
r1,1,0.442695,0.589286,[10  2] ; [15  6],[9.09090909 2.90909091] ; [15.90909091  5.09090909],0
s6,1,0.442695,0.589286,[7 5] ; [15  6],[8. 4.] ; [14.  7.],0
v2,1,0.465209,0.533333,[7 5] ; [ 9 11],[6. 6.] ; [10. 10.],0
a4,1,0.553564,0.350972,[7 5] ; [10 11],[6.18181818 5.81818182] ; [10.81818182 10.18181818],0
p4,1,0.553564,0.350972,[5 7] ; [11 10],[5.81818182 6.18181818] ; [10.18181818 10.81818182],0
d2,1,0.554628,0.349091,[9 3] ; [13  7],[8.25 3.75] ; [13.75  6.25],0
a5,1,0.59015,0.29011,[8 4] ; [12  9],[7.27272727 4.72727273] ; [12.72727273  8.27272727],0
s1,1,0.614271,0.254002,[ 1 11] ; [ 3 18],[ 1.45454545 10.54545455] ; [ 2.54545455 18.45454545],0
b4,1,0.616311,0.251087,[9 3] ; [14  7],[8.36363636 3.63636364] ; [14.63636364  6.36363636],0
u1,1,0.687421,0.161892,[3 9] ; [ 4 17],[2.54545455 9.45454545] ; [ 4.45454545 16.54545455],0
a2,1,0.687421,0.161892,[3 9] ; [ 4 17],[2.54545455 9.45454545] ; [ 4.45454545 16.54545455],0
n2,1,0.715388,0.132955,[4 1] ; [7 1],[4.23076923 0.76923077] ; [6.76923077 1.23076923],0
s2,1,0.74114,0.109127,[5 7] ; [10 11],[5.45454545 6.54545455] ; [ 9.54545455 11.45454545],0
n4,1,0.78443,0.07483,[8 4] ; [13  8],[7.63636364 4.36363636] ; [13.36363636  7.63636364],0
p3,1,0.78443,0.07483,[4 8] ; [ 8 13],[4.36363636 7.63636364] ; [ 7.63636364 13.36363636],0
a8,1,0.803785,0.061728,[ 1 11] ; [ 2 16],[ 1.2 10.8] ; [ 1.8 16.2],0
p5,1,0.908893,0.013095,[ 1 11] ; [ 2 19],[ 1.09090909 10.90909091] ; [ 1.90909091 19.09090909],0
d3,1,0.946929,0.004431,[7 5] ; [12  9],[6.90909091 5.09090909] ; [12.09090909  8.90909091],0
v1,1,0.946929,0.004431,[5 7] ; [ 9 12],[5.09090909 6.90909091] ; [ 8.90909091 12.09090909],0
a6,1,0.946929,0.004431,[7 5] ; [12  9],[6.90909091 5.09090909] ; [12.09090909  8.90909091],0
n5,1,0.946929,0.004431,[7 5] ; [12  9],[6.90909091 5.09090909] ; [12.09090909  8.90909091],0
p11,1,0.946929,0.004431,[7 5] ; [12  9],[6.90909091 5.09090909] ; [12.09090909  8.90909091],0
