Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,42.858238,[128  32] ; [26 46],[106.20689655  53.79310345] ; [47.79310345 24.20689655],1
a2,1,2e-06,22.70596,[ 57 105] ; [ 4 68],[ 42.23076923 119.76923077] ; [18.76923077 53.23076923],1
d3,1,9e-06,19.718287,[132  29] ; [39 33],[118.15879828  42.84120172] ; [52.84120172 19.15879828],1
u1,1,0.000217,13.678917,[ 43 119] ; [ 4 68],[ 32.53846154 129.46153846] ; [14.46153846 57.53846154],1
b5,1,0.000907,11.007613,[103  59] ; [29 43],[91.38461538 70.61538462] ; [40.61538462 31.38461538],1
r2,1,0.00163,9.925437,[159   3] ; [62  8],[154.31896552   7.68103448] ; [66.68103448  3.31896552],0
p12,1,0.016749,5.722435,[ 25 137] ; [ 3 67],[ 19.55172414 142.44827586] ; [ 8.44827586 61.55172414],0
p1,1,0.025685,4.977107,[ 26 135] ; [ 4 68],[ 20.72961373 140.27038627] ; [ 9.27038627 62.72961373],0
b4,1,0.037061,4.347625,[98 64] ; [33 39],[90.69230769 71.30769231] ; [40.30769231 31.69230769],0
u3,1,0.062631,3.466313,[24 15] ; [ 5 10],[20.94444444 18.05555556] ; [8.05555556 6.94444444],0
s8,1,0.063482,3.443985,[83 76] ; [47 25],[89.48051948 69.51948052] ; [40.51948052 31.48051948],0
b1,1,0.083287,2.999572,[ 55 107] ; [33 39],[ 60.92307692 101.07692308] ; [27.07692308 44.92307692],0
v2,1,0.083584,2.99379,[134  25] ; [53 18],[129.27391304  29.72608696] ; [57.72608696 13.27391304],0
d1,1,0.086762,2.933448,[111  51] ; [41 31],[105.23076923  56.76923077] ; [46.76923077 25.23076923],0
n4,1,0.090947,2.857531,[135  27] ; [66  6],[139.15384615  22.84615385] ; [61.84615385 10.15384615],0
r1,1,0.096816,2.757233,[141  20] ; [57 15],[136.81545064  24.18454936] ; [61.18454936 10.81545064],0
