Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,171.713458,[ 75 277] ; [136  30],[143.38223938 208.61776062] ; [67.61776062 98.38223938],1
s6,1,0.0,84.210755,[120 237] ; [126  38],[168.56429942 188.43570058] ; [77.43570058 86.56429942],1
s7,1,0.0,56.690561,[ 49 289] ; [74 89],[ 82.98203593 255.01796407] ; [ 40.01796407 122.98203593],1
s5,1,0.0,39.782405,[ 46 310] ; [ 60 102],[ 72.84942085 283.15057915] ; [ 33.15057915 128.84942085],1
s4,1,0.0,27.811536,[ 37 320] ; [ 47 117],[ 57.55854127 299.44145873] ; [ 26.44145873 137.55854127],1
p10,1,0.001252,10.411765,[225 128] ; [130  37],[240.99038462 112.00961538] ; [114.00961538  52.99038462],0
s1,1,0.005333,7.762821,[  8 347] ; [ 12 152],[ 13.68015414 341.31984586] ; [  6.31984586 157.68015414],0
d4,1,0.006298,7.462987,[263  94] ; [141  26],[275.24427481  81.75572519] ; [128.75572519  38.24427481],0
r3,1,0.009876,6.657213,[310  46] ; [156   9],[318.4184261  37.5815739] ; [147.5815739  17.4184261],0
a7,1,0.015303,5.881195,[241 116] ; [130  37],[252.76145038 104.23854962] ; [118.23854962  48.76145038],0
p12,1,0.018652,5.533853,[  6 350] ; [  9 159],[ 10.19083969 345.80916031] ; [  4.80916031 163.19083969],0
p9,1,0.020334,5.382967,[244 108] ; [129  34],[254.94368932  97.05631068] ; [118.05631068  44.94368932],0
p4,1,0.022842,5.18046,[152 202] ; [90 78],[164.11494253 189.88505747] ; [77.88505747 90.11494253],0
n2,1,0.024185,5.081331,[67 37] ; [35  7],[72.65753425 31.34246575] ; [29.34246575 12.65753425],0
p7,1,0.026955,4.893708,[177 175] ; [99 64],[188.64466019 163.35533981] ; [87.35533981 75.64466019],0
p6,1,0.027139,4.881942,[ 75 276] ; [ 50 115],[ 85.02906977 265.97093023] ; [ 39.97093023 125.02906977],0
u1,1,0.027301,4.871643,[ 34 325] ; [ 27 141],[ 41.5540797 317.4459203] ; [ 19.4459203 148.5540797],0
r1,1,0.029304,4.749681,[245 112] ; [130  37],[255.48664122 101.51335878] ; [119.51335878  47.48664122],0
r4,1,0.034261,4.481643,[277  82] ; [143  25],[286.11005693  72.88994307] ; [133.88994307  34.11005693],0
d3,1,0.041167,4.16913,[224 134] ; [119  47],[234.33969466 123.66030534] ; [108.66030534  57.33969466],0
a8,1,0.046206,3.974085,[ 28 297] ; [ 23 135],[ 34.31677019 290.68322981] ; [ 16.68322981 141.31677019],0
u3,1,0.093527,2.812601,[61 78] ; [32 24],[66.29230769 72.70769231] ; [26.70769231 29.29230769],0
r2,1,0.123323,2.374598,[313  38] ; [156  11],[317.7972973  33.2027027] ; [151.2027027  15.7972973],0
d1,1,0.149274,2.079656,[166 193] ; [89 79],[173.70967742 185.29032258] ; [81.29032258 86.70967742],0
n5,1,0.183153,1.771849,[227 128] ; [116  50],[233.71401152 121.28598848] ; [109.28598848  56.71401152],0
n4,1,0.195766,1.673681,[237 120] ; [121  47],[243.44 113.56] ; [114.56  53.44],0
v4,1,0.20254,1.62396,[312  43] ; [153  14],[316.23563218  38.76436782] ; [148.76436782  18.23563218],0
n1,1,0.230667,1.436744,[38 66] ; [11 31],[34.90410959 69.09589041] ; [14.09589041 27.90410959],0
v3,1,0.233196,1.421262,[ 95 252] ; [ 53 110],[100.69803922 246.30196078] ; [ 47.30196078 115.69803922],0
n6,1,0.247172,1.339218,[263  95] ; [129  36],[268.32887189  89.67112811] ; [123.67112811  41.32887189],0
p2,1,0.251187,1.316689,[264  93] ; [132  36],[269.28  87.72] ; [126.72  41.28],0
p1,1,0.252479,1.309533,[ 24 333] ; [  7 160],[ 21.12022901 335.87977099] ; [  9.87977099 157.12022901],0
a2,1,0.252882,1.30731,[ 62 297] ; [ 36 132],[ 66.75901328 292.24098672] ; [ 31.24098672 136.75901328],0
a5,1,0.278265,1.175546,[224 135] ; [113  55],[229.56925996 129.43074004] ; [107.43074004  60.56925996],0
b3,1,0.349697,0.874557,[ 61 133] ; [22 63],[ 57.71326165 136.28673835] ; [25.28673835 59.71326165],0
b2,1,0.349697,0.874557,[ 61 133] ; [22 63],[ 57.71326165 136.28673835] ; [25.28673835 59.71326165],0
u2,1,0.363555,0.825575,[64 74] ; [30 26],[66.86597938 71.13402062] ; [27.13402062 28.86597938],0
a3,1,0.402612,0.70051,[219 136] ; [110  58],[223.31739962 131.68260038] ; [105.68260038  62.31739962],0
a6,1,0.40637,0.689395,[239 120] ; [105  62],[234.78326996 124.21673004] ; [109.21673004  57.78326996],0
d2,1,0.422767,0.64261,[137 219] ; [70 96],[141.17241379 214.82758621] ; [ 65.82758621 100.17241379],0
a1,1,0.445371,0.582407,[ 14 345] ; [  9 159],[ 15.66793169 343.33206831] ; [  7.33206831 160.66793169],0
p3,1,0.454883,0.558456,[129 228] ; [ 66 101],[132.85305344 224.14694656] ; [ 62.14694656 104.85305344],0
p11,1,0.49198,0.472194,[248 111] ; [121  47],[251.36812144 107.63187856] ; [117.63187856  50.36812144],0
b4,1,0.513207,0.427522,[205 154] ; [101  67],[208.4516129 150.5483871] ; [97.5483871 70.4516129],0
a4,1,0.522444,0.409067,[140 216] ; [71 97],[143.35114504 212.64885496] ; [ 67.64885496 100.35114504],0
v2,1,0.534279,0.386247,[165 179] ; [82 79],[168.25346535 175.74653465] ; [78.74653465 82.25346535],0
v1,1,0.647381,0.209218,[150 204] ; [73 91],[152.3976834 201.6023166] ; [70.6023166 93.3976834],0
d5,1,0.657674,0.196362,[266  93] ; [126  40],[268.05333333  90.94666667] ; [123.94666667  42.05333333],0
p8,1,0.749381,0.102052,[149 205] ; [67 98],[147.32947977 206.67052023] ; [68.67052023 96.32947977],0
u4,1,0.76697,0.087818,[  3 356] ; [  1 167],[  2.72485769 356.27514231] ; [  1.27514231 166.72485769],0
b5,1,0.888297,0.019729,[216 143] ; [100  68],[215.26375712 143.73624288] ; [100.73624288  67.26375712],0
b1,1,0.907352,0.013544,[137 222] ; [ 65 103],[137.60531309 221.39468691] ; [ 64.39468691 103.60531309],0
n3,1,0.949328,0.004039,[71 30] ; [30 13],[70.84027778 30.15972222] ; [30.15972222 12.84027778],0
