Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,41.463356,[47 38] ; [265  40],[68. 17.] ; [244.  61.],1
p10,1,0.0,34.389371,[44 41] ; [251  53],[64.46015424 20.53984576] ; [230.53984576  73.46015424],1
p8,1,2.3e-05,17.931329,[26 61] ; [167 133],[43.3875969 43.6124031] ; [149.6124031 150.3875969],1
p2,1,0.000233,13.546649,[57 31] ; [253  52],[69.41475827 18.58524173] ; [240.58524173  64.41475827],1
n6,1,0.000713,11.454977,[62 26] ; [264  43],[72.6278481 15.3721519] ; [253.3721519  53.6278481],1
s2,1,0.000958,10.906096,[23 65] ; [ 36 268],[13.24489796 74.75510204] ; [ 45.75510204 258.24489796],1
p7,1,0.002488,9.149504,[38 49] ; [188 116],[50.28644501 36.71355499] ; [175.71355499 128.28644501],0
b1,1,0.003589,8.480642,[44 45] ; [100 207],[32.36363636 56.63636364] ; [111.63636364 195.36363636],0
n5,1,0.005165,7.82087,[49 39] ; [218  87],[59.78625954 28.21374046] ; [207.21374046  97.78625954],0
p4,1,0.006534,7.39678,[36 51] ; [177 129],[47.15267176 39.84732824] ; [165.84732824 140.15267176],0
n4,1,0.007048,7.260781,[54 35] ; [231  76],[64.0530303 24.9469697] ; [220.9469697  86.0530303],0
r4,1,0.007334,7.189355,[73 16] ; [282  25],[79.78535354  9.21464646] ; [275.21464646  31.78535354],0
s1,1,0.015759,5.829514,[ 5 83] ; [  4 301],[ 2.01526718 85.98473282] ; [  6.98473282 298.01526718],0
v4,1,0.020127,5.400852,[79 10] ; [293  14],[83.60606061  5.39393939] ; [288.39393939  18.60606061],0
a2,1,0.024495,5.059255,[26 63] ; [ 56 251],[18.42929293 70.57070707] ; [ 63.57070707 243.42929293],0
p1,1,0.043172,4.088657,[ 2 87] ; [ 26 280],[ 6.30886076 82.69113924] ; [ 21.69113924 284.30886076],0
b5,1,0.051218,3.801146,[64 25] ; [186 121],[56.18686869 32.81313131] ; [193.81313131 113.18686869],0
v1,1,0.058545,3.57813,[37 52] ; [160 142],[44.84143223 44.15856777] ; [152.15856777 149.84143223],0
n2,1,0.080851,3.047708,[17 13] ; [52 18],[20.7  9.3] ; [48.3 21.7],0
p5,1,0.082513,3.014698,[ 4 83] ; [ 33 274],[ 8.17005076 78.82994924] ; [ 28.82994924 278.17005076],0
b3,1,0.095945,2.771688,[12 35] ; [ 71 113],[16.88744589 30.11255411] ; [ 66.11255411 117.88744589],0
b2,1,0.095945,2.771688,[12 35] ; [ 71 113],[16.88744589 30.11255411] ; [ 66.11255411 117.88744589],0
a6,1,0.111472,2.533224,[55 34] ; [217  90],[61.13131313 27.86868687] ; [210.86868687  96.13131313],0
s4,1,0.112531,2.518317,[13 75] ; [ 27 275],[ 9.02564103 78.97435897] ; [ 30.97435897 271.02564103],0
p12,1,0.11612,2.468885,[ 1 86] ; [ 15 289],[ 3.5601023 83.4398977] ; [ 12.4398977 291.5601023],0
n3,1,0.125362,2.349015,[18 11] ; [54 16],[21.09090909  7.90909091] ; [50.90909091 19.09090909],0
a8,1,0.139484,2.183647,[ 6 73] ; [ 38 237],[ 9.81920904 69.18079096] ; [ 34.18079096 240.81920904],0
v2,1,0.14855,2.087074,[43 45] ; [171 126],[48.91428571 39.08571429] ; [165.08571429 131.91428571],0
a4,1,0.14948,2.077548,[44 45] ; [125 181],[38.07848101 50.92151899] ; [130.92151899 175.07848101],0
d5,1,0.204779,1.60796,[75 13] ; [243  64],[70.84556962 17.15443038] ; [247.15443038  59.84556962],0
u2,1,0.264785,1.243568,[13 17] ; [56 46],[15.68181818 14.31818182] ; [53.31818182 48.68181818],0
p3,1,0.270319,1.215128,[35 53] ; [142 164],[39.53299492 48.46700508] ; [137.46700508 168.53299492],0
a5,1,0.277319,1.180182,[60 29] ; [225  82],[64.0530303 24.9469697] ; [220.9469697  86.0530303],0
r1,1,0.277868,1.177488,[63 25] ; [237  70],[66.83544304 21.16455696] ; [233.16455696  73.83544304],0
s5,1,0.338069,0.917739,[22 63] ; [ 63 237],[18.76623377 66.23376623] ; [ 66.23376623 233.76623377],0
d1,1,0.378759,0.774725,[44 45] ; [168 139],[47.64646465 41.35353535] ; [164.35353535 142.64646465],0
s6,1,0.386833,0.748874,[42 45] ; [130 172],[38.46786632 48.53213368] ; [133.53213368 168.46786632],0
u3,1,0.392612,0.730837,[14 17] ; [55 47],[16.08270677 14.91729323] ; [52.91729323 49.08270677],0
p6,1,0.401427,0.704047,[25 61] ; [102 199],[28.22222222 57.77777778] ; [ 98.77777778 202.22222222],0
d2,1,0.533294,0.388112,[42 47] ; [133 173],[39.43037975 49.56962025] ; [135.56962025 170.43037975],0
s7,1,0.594103,0.283981,[25 57] ; [ 80 211],[23.08310992 58.91689008] ; [ 81.91689008 209.08310992],0
n1,1,0.69559,0.153101,[ 9 19] ; [20 51],[ 8.2020202 19.7979798] ; [20.7979798 50.2020202],0
b4,1,0.785986,0.073726,[49 40] ; [174 133],[50.11868687 38.88131313] ; [172.88131313 134.11868687],0
u1,1,0.802467,0.062578,[14 75] ; [ 45 262],[13.26010101 75.73989899] ; [ 45.73989899 261.26010101],0
a1,1,0.804884,0.061024,[ 4 85] ; [ 12 295],[ 3.5959596 85.4040404] ; [ 12.4040404 294.5959596],0
a7,1,0.819649,0.051982,[65 23] ; [223  84],[64.16202532 23.83797468] ; [223.83797468  83.16202532],0
d4,1,0.820063,0.05174,[72 17] ; [245  62],[71.24494949 17.75505051] ; [245.75505051  61.24494949],0
s8,1,0.872257,0.025854,[22 65] ; [ 80 226],[22.58015267 64.41984733] ; [ 79.41984733 226.58015267],0
d3,1,0.880006,0.02279,[58 29] ; [202 105],[57.41116751 29.58883249] ; [202.58883249 104.41116751],0
v3,1,0.90354,0.014687,[30 54] ; [105 195],[29.53125 54.46875] ; [105.46875 194.53125],0
r2,1,0.904317,0.01445,[81  8] ; [277  26],[81.28061224  7.71938776] ; [276.71938776  26.28061224],0
a3,1,0.924654,0.008944,[58 30] ; [204 103],[58.36962025 29.63037975] ; [203.63037975 103.36962025],0
