Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,35.646985,[ 8 26] ; [57 11],[21.66666667 12.33333333] ; [43.33333333 24.66666667],1
r1,1,0.005656,7.656623,[20 14] ; [57 11],[25.66666667  8.33333333] ; [51.33333333 16.66666667],0
s7,1,0.005697,7.6436,[10 23] ; [40 27],[16.5 16.5] ; [33.5 33.5],0
u1,1,0.009396,6.746032,[ 2 32] ; [19 49],[ 7. 27.] ; [14. 54.],0
n6,1,0.013014,6.167218,[19 15] ; [54 14],[24.33333333  9.66666667] ; [48.66666667 19.33333333],0
r4,1,0.021878,5.255488,[23 11] ; [59  9],[27.33333333  6.66666667] ; [54.66666667 13.33333333],0
v4,1,0.023996,5.094905,[27  7] ; [64  4],[30.33333333  3.66666667] ; [60.66666667  7.33333333],0
d2,1,0.029508,4.73771,[12 22] ; [39 28],[17.16831683 16.83168317] ; [33.83168317 33.16831683],0
p11,1,0.035692,4.411765,[12 22] ; [39 29],[17. 17.] ; [34. 34.],0
a4,1,0.039493,4.239514,[ 9 25] ; [32 35],[13.8019802 20.1980198] ; [27.1980198 39.8019802],0
s4,1,0.05769,3.602589,[12 22] ; [12 54],[ 8.16 25.84] ; [15.84 50.16],0
s3,1,0.069573,3.293056,[19 15] ; [48 17],[23.01010101 10.98989899] ; [43.98989899 21.01010101],0
a5,1,0.083831,2.989011,[17 17] ; [46 22],[21. 13.] ; [42. 26.],0
a3,1,0.09901,2.72142,[16 18] ; [43 24],[19.86138614 14.13861386] ; [39.13861386 27.86138614],0
s8,1,0.111176,2.537418,[ 9 25] ; [29 39],[12.66666667 21.33333333] ; [25.33333333 42.66666667],0
p9,1,0.112502,2.518713,[10 23] ; [31 35],[13.66666667 19.33333333] ; [27.33333333 38.66666667],0
u2,1,0.145946,2.114122,[ 6 11] ; [14 10],[8.29268293 8.70731707] ; [11.70731707 12.29268293],0
p6,1,0.15321,2.04,[ 6 28] ; [21 47],[ 9. 25.] ; [18. 50.],0
a2,1,0.180152,1.796368,[ 5 29] ; [18 50],[ 7.66666667 26.33333333] ; [15.33333333 52.66666667],0
v1,1,0.182249,1.779186,[12 22] ; [33 34],[15.14851485 18.85148515] ; [29.85148515 37.14851485],0
n1,1,0.192622,1.697452,[4 8] ; [13 10],[5.82857143 6.17142857] ; [11.17142857 11.82857143],0
p2,1,0.194749,1.681319,[18 16] ; [45 23],[21. 13.] ; [42. 26.],0
d4,1,0.196715,1.666598,[30  4] ; [52 15],[27.6039604  6.3960396] ; [54.3960396 12.6039604],0
b4,1,0.244028,1.357173,[19 15] ; [46 22],[21.66666667 12.33333333] ; [43.33333333 24.66666667],0
p3,1,0.251288,1.316129,[16 18] ; [24 44],[13.33333333 20.66666667] ; [26.66666667 41.33333333],0
a1,1,0.267978,1.227068,[ 1 33] ; [ 6 62],[ 2.33333333 31.66666667] ; [ 4.66666667 63.33333333],0
s1,1,0.267978,1.227068,[ 1 33] ; [ 6 62],[ 2.33333333 31.66666667] ; [ 4.66666667 63.33333333],0
d3,1,0.283221,1.151567,[24 10] ; [40 27],[21.54455446 12.45544554] ; [42.45544554 24.54455446],0
v3,1,0.315769,1.006389,[ 9 23] ; [25 40],[11.21649485 20.78350515] ; [22.78350515 42.21649485],0
p8,1,0.337216,0.920986,[15 19] ; [23 44],[12.79207921 21.20792079] ; [25.20792079 41.79207921],0
n2,1,0.345976,0.888162,[7 5] ; [17  6],[8.22857143 3.77142857] ; [15.77142857  7.22857143],0
a6,1,0.441862,0.591441,[20 14] ; [34 33],[18.17821782 15.82178218] ; [35.82178218 31.17821782],0
r3,1,0.458977,0.548387,[30  4] ; [63  5],[31.  3.] ; [62.  6.],0
b1,1,0.483503,0.490951,[16 18] ; [37 31],[17.66666667 16.33333333] ; [35.33333333 32.66666667],0
n3,1,0.506379,0.441543,[7 5] ; [16  7],[7.88571429 4.11428571] ; [15.11428571  7.88571429],0
d5,1,0.579017,0.307826,[28  6] ; [52 15],[26.93069307  7.06930693] ; [53.06930693 13.93069307],0
r2,1,0.637718,0.221739,[30  4] ; [62  6],[30.66666667  3.33333333] ; [61.33333333  6.66666667],0
a7,1,0.653448,0.201581,[24 10] ; [45 23],[23. 11.] ; [46. 22.],0
p7,1,0.683081,0.166678,[14 20] ; [30 36],[14.96 19.04] ; [29.04 36.96],0
s2,1,0.71287,0.135427,[19 15] ; [40 27],[19.86138614 14.13861386] ; [39.13861386 27.86138614],0
s5,1,0.723285,0.125367,[11 22] ; [20 47],[10.23 22.77] ; [20.77 46.23],0
d1,1,0.779269,0.078552,[17 17] ; [36 32],[17.66666667 16.33333333] ; [35.33333333 32.66666667],0
p1,1,0.810866,0.057269,[ 3 31] ; [ 5 62],[ 2.69306931 31.30693069] ; [ 5.30693069 61.69306931],0
b5,1,0.880062,0.022768,[23 11] ; [47 21],[23.33333333 10.66666667] ; [46.66666667 21.33333333],0
u3,1,0.92666,0.008473,[12  6] ; [17  8],[12.13953488  5.86046512] ; [16.86046512  8.13953488],0
v2,1,0.945699,0.004639,[16 17] ; [32 35],[15.84 17.16] ; [32.16 34.84],0
b2,1,0.963481,0.002096,[ 5 12] ; [15 35],[ 5.07462687 11.92537313] ; [14.92537313 35.07462687],0
b3,1,0.963481,0.002096,[ 5 12] ; [15 35],[ 5.07462687 11.92537313] ; [14.92537313 35.07462687],0
p4,1,1.0,0.0,[18 16] ; [36 32],[18. 16.] ; [36. 32.],0
