Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,32.46299,[159   9] ; [41 21],[146.08695652  21.91304348] ; [53.91304348  8.08695652],1
a5,1,0.000605,11.759721,[137  31] ; [37 25],[127.09565217  40.90434783] ; [46.90434783 15.09565217],1
p5,1,0.000751,11.35759,[ 53 115] ; [ 6 56],[ 43.09565217 124.90434783] ; [15.90434783 46.09565217],1
p10,1,0.000757,11.343837,[154  13] ; [47 15],[146.58078603  20.41921397] ; [54.41921397  7.58078603],1
n4,1,0.001912,9.632339,[148  20] ; [44 18],[140.24347826  27.75652174] ; [51.75652174 10.24347826],0
u1,1,0.002323,9.275255,[ 41 127] ; [ 4 58],[ 32.86956522 135.13043478] ; [12.13043478 49.86956522],0
s7,1,0.00353,8.511269,[104  54] ; [27 34],[94.51141553 63.48858447] ; [36.48858447 24.51141553],0
a2,1,0.004397,8.111952,[ 46 122] ; [ 6 56],[ 37.9826087 130.0173913] ; [14.0173913 47.9826087],0
p9,1,0.00588,7.586789,[158  10] ; [51 11],[152.66086957  15.33913043] ; [56.33913043  5.66086957],0
s5,1,0.011031,6.460266,[82 76] ; [20 41],[73.5890411 84.4109589] ; [28.4109589 32.5890411],0
p2,1,0.015078,5.907304,[158  10] ; [52 10],[153.39130435  14.60869565] ; [56.60869565  5.39130435],0
a3,1,0.016918,5.704848,[128  38] ; [38 24],[120.85964912  45.14035088] ; [45.14035088 16.85964912],0
b5,1,0.017078,5.688342,[87 81] ; [43 19],[94.95652174 73.04347826] ; [35.04347826 26.95652174],0
r3,1,0.017657,5.629869,[161   4] ; [56  6],[157.73127753   7.26872247] ; [59.26872247  2.73127753],0
a6,1,0.039156,4.254079,[111  56] ; [32 30],[104.28384279  62.71615721] ; [38.71615721 23.28384279],0
p12,1,0.042625,4.110214,[ 32 135] ; [ 5 57],[ 26.98253275 140.01746725] ; [10.01746725 51.98253275],0
n6,1,0.056037,3.650951,[154  13] ; [51 10],[150.15350877  16.84649123] ; [54.84649123  6.15350877],0
a4,1,0.068736,3.312943,[85 83] ; [23 39],[78.88695652 89.11304348] ; [29.11304348 32.88695652],0
v2,1,0.072496,3.225582,[101  65] ; [29 32],[95.0660793 70.9339207] ; [34.9339207 26.0660793],0
a1,1,0.091974,2.839486,[ 17 151] ; [ 2 60],[ 13.87826087 154.12173913] ; [ 5.12173913 56.87826087],0
p7,1,0.105551,2.619598,[156  11] ; [52  8],[153.02202643  13.97797357] ; [54.97797357  5.02202643],0
d1,1,0.166469,1.914459,[114  54] ; [36 26],[109.56521739  58.43478261] ; [40.43478261 21.56521739],0
r1,1,0.173392,1.853368,[142  25] ; [48 14],[138.55895197  28.44104803] ; [51.44104803 10.55895197],0
n3,1,0.182227,1.779364,[13  9] ; [12  3],[14.86486486  7.13513514] ; [10.13513514  4.86486486],0
a7,1,0.189119,1.724464,[125  42] ; [41 21],[121.05676856  45.94323144] ; [44.94323144 17.05676856],0
s1,1,0.217609,1.520069,[  5 163] ; [ 4 57],[  6.60262009 161.39737991] ; [ 2.39737991 58.60262009],0
d2,1,0.225215,1.47083,[91 77] ; [28 34],[86.92173913 81.07826087] ; [32.07826087 29.92173913],0
s2,1,0.226969,1.459755,[103  63] ; [33 29],[99.01754386 66.98245614] ; [36.98245614 25.01754386],0
n5,1,0.296868,1.088211,[144  23] ; [50 12],[141.47598253  25.52401747] ; [52.52401747  9.47598253],0
s4,1,0.305269,1.051035,[ 41 124] ; [11 49],[ 38.13333333 126.86666667] ; [13.86666667 46.13333333],0
v3,1,0.30782,1.040004,[77 87] ; [24 37],[73.61777778 90.38222222] ; [27.38222222 33.61777778],0
